NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
1137,202.0251,-167.08,202.0332,-188.44,202.0365,-160.63,0.0363,21.35,126.94
1138,202.0569,-162.5,202.0695,-196.56,202.0764,-170.63,0.1038,34.06,338.44
1139,202.1664,-157.6,202.1733,-187.81,202.1796,-158.13,0.033,30.21,184.03
1140,202.1982,-155.63,202.2063,-186.25,202.2129,-160.94,0.1143,30.63,255.56
1141,202.3143,-153.65,202.3206,-180.31,202.3272,-159.38,0.0381,26.67,200.22
1142,202.3485,-167.5,202.3587,-197.19,202.3617,-180.31,0.0501,29.69,221.06
1143,202.4031,-178.65,202.4088,-205.31,202.4208,-174.38,0.1821,26.67,260.34
1144,202.5846,-168.13,202.5909,-186.25,202.605,-161.56,0.045,18.13,147.94
1145,202.6314,-178.85,202.6359,-196.25,202.6503,-168.44,0.1341,17.4,90.16
1146,202.7649,-173.54,202.77,-195.94,202.7826,-174.38,0.102,22.4,208.97
1147,202.8669,-169.58,202.872,-196.56,202.8777,-173.13,0.1191,26.98,136.81
1148,202.9818,-165.21,202.9911,-195.31,203.0037,-173.44,0.0429,30.1,392.78
1149,203.0268,-170.21,203.034,-201.56,203.0409,-172.81,0.0243,31.35,192.84
1150,203.0523,-170.31,203.0583,-191.88,203.0619,-166.56,0.0336,21.56,115.41
1151,203.0871,-174.06,203.0919,-195,203.0988,-172.19,0.0786,20.94,102.84
1152,203.1627,-171.88,203.1705,-211.88,203.1771,-177.81,0.0408,40,282.09
1153,203.2053,-182.71,203.2113,-206.56,203.2212,-174.38,0,23.85,154.5
1154,203.2722,-164.38,203.2113,-206.56,203.2896,-170.94,0.1191,42.19,297.47
1155,203.3235,-174.9,203.3304,-191.56,203.3349,-169.69,0.1494,16.67,78.47
1156,203.4771,-190.1,203.4798,-202.81,203.4903,-168.13,0.0348,12.71,0
1157,203.5068,-171.25,203.5146,-198.13,203.5203,-162.5,0.0618,26.88,129.56
1158,203.568,-180.21,203.5764,-193.44,203.58,-170.31,0.0789,13.23,5.13
1159,203.6409,-177.6,203.6553,-212.19,203.6592,-185,0.0435,34.58,393.97
1160,203.6922,-175,203.6988,-215.31,203.7084,-180.94,0.1287,40.31,329.81
