NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
0,4.4964,-66.69,4.5015,-82.97,4.5141,-66.69,3.3675,16.28,113.48
1,7.8651,-59.33,7.869,-77.5,7.8816,-59.33,17.6751,18.17,144
2,25.5384,-45.24,25.5441,-69.69,25.5567,-45.24,0.4479,24.45,167.95
3,25.9884,-44.73,25.992,-68.91,26.0046,-44.73,3.1533,24.18,248.17
4,29.1402,-48.8,29.1453,-80.16,29.1579,-48.8,1.7472,31.35,284.58
5,30.8883,-36.38,30.8925,-56.56,30.9051,-36.38,2.3151,20.19,176.78
6,33.204,-36.08,33.2076,-61.09,33.2202,-36.08,0.8175,25.01,233.8
7,34.0194,-43.84,34.0251,-65.16,34.0377,-43.84,0.6912,21.31,170.29
8,34.7124,-38.04,34.7163,-60.47,34.7289,-38.04,1.515,22.43,150.09
9,36.2277,-37.45,36.2313,-56.09,36.2439,-37.45,1.0998,18.65,137.78
10,37.3278,-40.23,37.3311,-66.88,37.3437,-40.23,1.2648,26.65,213.69
11,38.5917,-41.75,38.5959,-61.72,38.6085,-41.75,0.4335,19.97,119.32
12,39.0243,-38.05,39.0294,-60.62,39.042,-38.05,6.1917,22.57,204.98
13,45.2172,-38.72,45.2211,-62.34,45.2337,-38.72,4.119,23.62,139.74
14,49.3365,-37.82,49.3401,-69.22,49.3527,-37.82,2.4687,31.4,235.33
15,51.8049,-40.55,51.8088,-72.19,51.8214,-40.55,4.3098,31.64,225.76
16,56.115,-37.21,56.1186,-67.81,56.1291,-37.21,2.7282,30.6,170.89
17,58.8414,-41.09,58.8468,-61.56,58.8558,-41.09,1.1247,20.47,120.42
18,59.9676,-42.63,59.9715,-59.37,59.9841,-42.63,0.09,16.75,97.51
19,60.0576,-40.07,60.0615,-57.5,60.0741,-40.07,0.0537,17.43,128.9
20,60.1095,-40.79,60.1152,-65.16,60.1248,-40.79,1.6386,24.36,142.76
21,61.749,-38.31,61.7538,-69.38,61.7664,-38.31,1.1877,31.06,221.35
22,62.9361,-42.65,62.9415,-64.53,62.9541,-42.65,1.6932,21.89,169.83
23,64.6299,-36.4,64.6347,-66.56,64.6473,-36.4,0.1764,30.17,194.15
24,64.8066,-45.32,64.8111,-66.09,64.8183,-45.32,2.3727,20.77,81.48
25,67.1835,-31.8,67.1838,-60.62,67.1964,-31.8,0.5304,28.82,103.67
26,67.7091,-40.35,67.7142,-67.03,67.7268,-40.35,3.8004,26.68,142.13
27,71.5095,-35.43,71.5146,-57.5,71.5272,-35.43,0.9828,22.07,179.06
28,72.492,-46.71,72.4974,-77.5,72.5088,-46.71,0.435,30.79,184.54
29,72.927,-40.81,72.9324,-65.16,72.9429,-40.81,2.2935,24.34,140.49
30,75.2202,-40.06,75.2259,-67.03,75.2385,-40.06,1.8459,26.97,249.38
31,77.0691,-36.45,77.0718,-57.81,77.0844,-36.45,0.5997,21.36,143.96
32,77.6679,-37.11,77.6715,-65,77.6841,-37.11,0.6801,27.89,206.98
33,78.3477,-37.71,78.3516,-54.53,78.3642,-37.71,4.1175,16.82,77.45
34,82.4637,-46.97,82.4691,-69.69,82.4739,-46.97,5.3574,22.72,87.75
35,87.8226,-39.98,87.8265,-57.5,87.8391,-39.98,0.2199,17.52,142.48
36,88.0422,-42.17,88.0464,-65.94,88.0584,-42.17,2.271,23.77,171.53
37,90.312,-42.97,90.3174,-75.47,90.33,-42.97,2.3994,32.5,243.98
38,92.7135,-50.89,92.7168,-75.31,92.7294,-50.89,0.7764,24.43,158.86
39,93.4893,-38.28,93.4932,-54.69,93.5058,-38.28,1.5894,16.41,126.14
40,95.0802,-39.78,95.0826,-61.72,95.0952,-39.78,0.9447,21.94,204.07
41,96.0222,-41.06,96.0273,-64.38,96.0399,-41.06,0.9606,23.31,185.39
