NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
0,0.0588,8.85,0.0669,-25.31,0.0729,5,0.0162,34.17,197.53
1,0.0804,14.58,0.0831,-24.69,0.0879,5.94,0.0189,39.27,161
2,0.0999,17.5,0.102,-50,0.1062,0,0.0168,67.5,251.16
3,0.1137,9.69,0.1188,-46.88,0.1269,9.06,0.0726,56.56,376.5
4,0.1881,0.52,0.1914,-58.13,0.1977,-0.94,0.0375,58.65,282.47
5,0.2256,9.38,0.2289,-20,0.2337,14.38,0.0903,29.38,98.06
6,0.3168,15.94,0.3192,-14.69,0.3267,13.13,0.0336,30.63,173.44
7,0.3501,4.48,0.3528,-65,0.3603,2.19,0.0357,69.48,306.81
8,0.3861,9.38,0.3885,-27.5,0.3921,0.94,0.057,36.88,142.69
9,0.4428,3.23,0.4455,-19.06,0.4509,7.81,0.1359,22.29,68.19
10,0.5793,14.27,0.5814,-35,0.5922,15.63,0.0315,49.27,281.66
11,0.6093,11.46,0.6129,-21.56,0.6273,8.13,0.0726,33.02,248.22
12,0.6807,13.23,0.6855,-14.69,0.6897,15,0.0534,27.92,102.97
13,0.7365,1.35,0.7389,-16.25,0.7449,12.5,0.0888,17.6,38.5
14,0.8226,10.42,0.8277,-18.13,0.834,13.13,0.0549,28.54,112.22
15,0.8778,15,0.8826,-12.5,0.8868,12.5,0.0681,27.5,132.66
16,0.9459,11.15,0.9507,-32.19,0.9537,-1.25,0.0111,43.33,210.75
17,0.9573,3.96,0.9618,-32.81,0.9714,4.38,0,36.77,243.75
18,0.9981,20.83,0.9618,-32.81,1.005,15,0.1359,53.65,96.19
19,1.0947,-5.21,1.0977,-43.75,1.1064,4.38,0.1038,38.54,129.5
20,1.1997,28.54,1.2015,-15.31,1.2099,21.88,0.0522,43.85,245.78
21,1.2516,13.44,1.2537,-37.81,1.2597,20.31,0.0348,51.25,190.97
22,1.2864,13.44,1.2885,-22.5,1.2957,12.5,0.2625,35.94,141.66
23,1.5447,24.06,1.551,-25.63,1.554,10.63,0.0594,49.69,269.25
24,1.6071,18.33,1.6104,-18.75,1.6146,16.88,0.0285,37.08,133.34
25,1.635,13.54,1.6389,-25,1.6467,15,0.0438,38.54,183.69
26,1.6791,13.75,1.6827,-23.75,1.689,15.63,0.0213,37.5,144.84
27,1.7019,23.54,1.704,-12.81,1.7118,25.31,0.1557,36.35,202.16
28,1.8579,29.48,1.8597,4.06,1.8648,29.06,0.1467,25.42,92.72
29,2.0031,23.23,2.0064,-10,2.0109,15.94,0.0309,33.23,154.59
30,2.0343,23.23,2.0373,-12.19,2.0439,22.19,0.0216,35.42,165.75
31,2.0562,23.54,2.0589,4.06,2.0664,27.5,0.0291,19.48,118.75
32,2.0859,28.02,2.088,-0.31,2.094,32.19,0.1203,28.33,118.38
33,2.2062,22.92,2.2083,-22.19,2.2158,17.81,0.0432,45.1,213.28
34,2.2488,29.69,2.2515,-10.31,2.2563,18.44,0.0192,40,147.66
35,2.2659,22.5,2.2707,-20.94,2.274,24.38,0.0912,43.44,127.59
36,2.3595,17.08,2.3619,-28.44,2.3664,13.44,0.0162,45.52,142.41
37,2.3754,18.75,2.3781,-31.87,2.3853,10,0.0381,50.63,284.44
38,2.4132,13.65,2.4162,-15.94,2.4213,15.63,0.045,29.58,99.63
39,2.4546,11.56,2.4612,-18.13,2.4711,10.94,0.0519,29.69,215.25
40,2.511,20.52,2.5131,-9.69,2.5206,23.44,0.0186,30.21,109.22
41,2.529,26.35,2.5317,-12.19,2.5362,18.75,0.0363,38.54,176.38
42,2.5629,16.67,2.568,-58.75,2.5773,9.38,0.0282,75.42,528.87
43,2.592,18.13,2.5962,-28.44,2.604,4.06,0.0237,46.56,309.38
44,2.6142,19.79,2.6199,-36.56,2.6283,9.38,0.1032,56.35,458.16
45,2.7201,27.71,2.7231,-25,2.7306,23.44,0.0213,52.71,268.5
46,2.742,21.25,2.7444,-8.75,2.7537,24.69,0.0603,30,130.41
47,2.8026,26.25,2.8047,5,2.8089,30.31,0.0285,21.25,49.13
48,2.8275,28.23,2.8332,-8.13,2.8401,25,0.0834,36.35,201.13
49,2.9139,35.42,2.9166,4.38,2.9286,29.69,0.0444,31.04,224.22
50,2.9556,28.75,2.961,-41.88,2.9664,20,0.0264,70.63,442.5
51,2.9841,22.92,2.9874,-30,2.994,27.5,0.0774,52.92,255.69
52,3.0615,20.52,3.0648,-8.13,3.0666,26.25,0.078,28.65,49.12
53,3.138,20.21,3.1428,-9.38,3.1464,22.81,0.0126,29.58,94.91
54,3.1524,31.46,3.1554,-10.31,3.1611,25,0.0744,41.77,197.81
55,3.2265,27.6,3.2298,-34.06,3.2418,21.56,0.0387,61.67,357.69
56,3.2661,17.08,3.2685,-12.19,3.2718,11.88,0.006,29.27,89.94
