NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
84,64.3401,-162.34,64.3482,-181.25,64.3548,-159.84,0.2331,18.91,135.09
85,64.5777,-165.47,64.5813,-183.13,64.5924,-161.72,0.5253,17.66,135.94
86,65.0994,-164.58,65.1066,-193.91,65.1153,-164.38,0.5064,29.32,185.91
87,65.6037,-157.76,65.613,-182.5,65.619,-164.69,0.1743,24.74,246.48
88,65.7759,-161.72,65.7873,-180.16,65.7945,-160.31,1.2804,18.44,146.25
89,67.0632,-152.86,67.0677,-175.31,67.0788,-157.03,0.1701,22.45,195.67
90,67.2312,-155.31,67.2378,-174.69,67.2504,-151.09,0.267,19.38,194.53
91,67.4997,-152.45,67.5048,-170.47,67.5144,-151.88,0.5277,18.02,119.8
92,68.0214,-162.6,68.0325,-184.06,68.0427,-161.88,1.074,21.46,196.41
93,69.1002,-155.16,69.1065,-173.59,69.1167,-150.16,0.045,18.44,79.69
94,69.1476,-152.81,69.1515,-179.69,69.1701,-156.25,0.8841,26.88,255.42
95,70.0305,-166.72,70.0356,-190.94,70.0476,-169.38,0.0711,24.22,216.14
96,70.1025,-165.47,70.1067,-204.22,70.1232,-171.88,0.0816,38.75,382.41
97,70.1745,-164.43,70.1883,-185.78,70.1949,-165.16,0.2772,21.35,143.02
98,70.4607,-157.5,70.4655,-180.47,70.4739,-160.16,0.4224,22.97,136.83
99,70.878,-152.03,70.8879,-173.91,70.8936,-148.44,3.3603,21.88,148.13
100,74.2425,-148.96,74.2482,-178.44,74.256,-152.97,0.1863,29.48,224.28
101,74.4291,-161.77,74.4345,-187.5,74.4426,-161.09,0.5052,25.73,127.63
102,74.9334,-161.41,74.9397,-181.56,74.949,-158.59,0.1062,20.16,119.25
103,75.0408,-159.22,75.0459,-180.78,75.0531,-153.59,0.0507,21.56,81.19
104,75.0933,-153.28,75.0966,-196.25,75.1083,-155.16,0.3069,42.97,272.39
105,75.4002,-153.91,75.4035,-176.09,75.417,-156.88,1.1886,22.19,199.5
106,76.5882,-157.86,76.5921,-175.63,76.5999,-154.22,0.2922,17.76,90.55
107,76.8768,-158.23,76.8843,-179.06,76.896,-156.25,0.6018,20.83,205.3
108,77.4816,-158.54,77.4861,-179.38,77.4957,-160.31,0.291,20.83,150
109,77.7744,-154.58,77.7771,-188.91,77.7945,-166.88,1.2729,34.32,373.09
110,79.047,-173.91,79.05,-201.72,79.0638,-171.56,0.1491,27.81,184.97
111,79.1961,-165.99,79.1991,-196.88,79.2123,-167.19,0.8922,30.89,224.7
112,80.0871,-166.67,80.0913,-196.72,80.1057,-167.81,1.326,30.05,217.36
113,81.4119,-172.29,81.4173,-200,81.4326,-181.56,0.1026,27.71,351.86
114,81.5169,-168.7,81.5199,-194.06,81.5277,-173.75,0.5139,25.36,181.61
115,82.0314,-166.77,82.0338,-193.13,82.0527,-177.81,0.2799,26.35,306.61
116,82.3098,-175.94,82.3137,-194.06,82.3293,-175.63,1.4844,18.13,170.81
117,83.7819,-177.71,83.7981,-199.38,83.8089,-174.84,0.2238,21.67,172.48
118,84.0141,-166.56,84.0219,-185.47,84.0306,-161.72,1.3038,18.91,159.33
119,85.3179,-177.71,85.3257,-198.13,85.3389,-170.63,1.1217,20.42,93.48
120,86.4348,-162.34,86.4474,-186.25,86.4564,-164.22,1.7049,23.91,198.8
121,88.1472,-174.74,88.1523,-194.06,88.1673,-173.59,0.0333,19.32,168.77
122,88.1805,-170.94,88.1856,-191.88,88.1934,-171.09,0.5931,20.94,128.67
123,88.7757,-185.63,88.7787,-226.09,88.7871,-184.53,0,40.47,196.31
124,88.9293,-183.91,88.7787,-226.09,88.9431,-181.25,0.1917,42.19,93.28
125,88.9626,-182.92,88.9704,-201.56,88.9764,-178.91,0.2349,18.65,90.12
126,89.1894,-177.4,89.2053,-196.72,89.2092,-176.56,0.4464,19.32,150.5
127,89.6481,-178.39,89.6517,-201.56,89.6682,-175.63,0.5652,23.18,191.7
128,90.213,-170.99,90.2169,-208.44,90.2283,-177.66,0.8049,37.45,315.13
129,91.0143,-184.48,91.0218,-216.25,91.0293,-187.34,0.2193,31.77,254.06
130,91.2324,-179.84,91.2411,-205.31,91.2486,-179.84,0.7491,25.47,211.64
131,91.9863,-175,91.9902,-193.59,92.0034,-175.47,0.192,18.59,159
132,92.175,-181.25,92.1822,-200.63,92.196,-179.06,1.3563,19.38,166.13
133,93.5322,-175.47,93.5385,-196.09,93.5457,-174.84,1.5393,20.63,126.42
134,95.0718,-175.57,95.0778,-203.13,95.0829,-179.84,0.0204,27.55,182.7
135,95.0934,-182.66,95.0982,-201.09,95.1075,-172.81,1.8804,18.44,49.97
136,96.9756,-177.08,96.9786,-204.84,96.987,-180.16,0.5214,27.76,182.11
137,97.4892,-182.97,97.5,-201.56,97.5075,-179.22,0.2346,18.59,153.66
138,97.7295,-186.2,97.7346,-207.97,97.7496,-186.56,0.3051,21.77,185
139,98.0361,-193.33,98.0397,-211.09,98.0589,-194.38,0.2004,17.76,125.73
140,98.2356,-182.19,98.2401,-200.31,98.2482,-183.13,2.2989,18.13,107.16
141,100.5351,-175.99,100.539,-201.88,100.5489,-179.06,0.5031,25.89,176.5
142,101.037,-179.58,101.0421,-198.28,101.0607,-184.22,0.0699,18.7,219.25
143,101.1096,-173.65,101.112,-198.13,101.1279,-176.09,1.4709,24.48,222.02
144,102.5751,-187.29,102.5829,-212.34,102.5907,-191.56,0.651,25.05,183.08
145,103.2303,-179.64,103.2339,-200,103.2465,-180.16,0.825,20.36,147.72
146,104.0547,-177.24,104.0589,-196.72,104.0676,-177.03,0.7977,19.48,152.83
147,104.8539,-190.83,104.8566,-218.13,104.8656,-184.22,0,27.29,131.8
148,106.8711,-185.21,104.8566,-218.13,106.8888,-181.72,2.7213,32.92,116.34
149,107.5668,-180.68,107.5779,-202.5,107.5923,-177.97,0.6453,21.82,194.17
150,108.2094,-185.36,108.2232,-213.75,108.2295,-192.66,0.603,28.39,312.02
151,108.8127,-182.81,108.8262,-201.41,108.8394,-177.97,0.1479,18.59,151.31
152,108.9678,-182.6,108.9741,-200.78,108.9837,-177.03,0.7188,18.18,124.92
153,109.6896,-181.04,109.6929,-205.63,109.7034,-180.63,0.8766,24.58,171.27
154,110.5668,-182.55,110.5695,-209.53,110.5812,-185.94,1.6659,26.98,210.36
155,112.2303,-194.32,112.2354,-216.56,112.2444,-188.28,0.0537,22.24,118.64
156,112.2858,-180.63,112.2891,-207.66,112.2981,-183.91,1.8849,27.03,160.83
157,114.1683,-191.51,114.174,-218.28,114.1851,-191.72,1.4319,26.77,201.52
158,115.5999,-194.38,115.6059,-216.56,115.6158,-193.59,0.0453,22.19,179.58
159,115.6419,-192.97,115.6512,-234.22,115.6608,-196.88,1.2033,41.25,260.86
160,116.8512,-197.92,116.8545,-225,116.8626,-194.84,1.0464,27.08,149.81
161,117.8979,-182.81,117.9009,-211.09,117.9159,-187.5,0.9252,28.28,251.02
162,118.8213,-191.41,118.8261,-209.22,118.8342,-186.25,0.5925,17.81,80.44
163,119.412,-192.45,119.4186,-217.66,119.427,-190.31,0.651,25.21,154.5
164,120.0636,-186.56,120.0696,-207.19,120.0777,-186.56,3.2589,20.63,138.38
165,123.324,-178.75,123.3285,-195.31,123.3384,-175.47,0.183,16.56,86.95
166,123.5028,-176.46,123.5115,-197.03,123.519,-177.5,1.0983,20.57,165.36
167,124.6071,-184.17,124.6098,-198.44,124.6155,-180.63,1.7625,14.27,46.3
168,126.3666,-187.4,126.3723,-207.66,126.3783,-185.16,0.2916,20.26,107.38
169,126.6585,-188.49,126.6639,-203.44,126.6741,-183.91,0.3522,14.95,63.86
170,127.0047,-191.04,127.0161,-213.59,127.0251,-186.88,0.6096,22.55,146.77
