,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,25_09_11_cell1_3_ch1,ccp,1,458,0,0.0,215.568603515625,7.931399822235107,0.03819999843835831,simple
1,25_09_11_cell1_3_ch1,ccp,1,458,1,10.0,204.431396484375,-3.205899953842163,-0.015399999916553497,simple
2,25_09_11_cell1_3_ch1,ccp,1,458,2,20.0,208.3332977294922,0.6960999965667725,0.0034000000450760126,simple
3,25_09_11_cell1_3_ch1,ccp,1,458,3,30.0,202.2156982421875,-5.421599864959717,-0.026100000366568565,simple
4,25_09_11_cell1_3_ch1,ccp,1,458,4,40.0,200.13720703125,-7.5,-0.03610000014305115,simple
5,25_09_11_cell1_3_ch1,ccp,1,458,5,50.0,196.7843017578125,-10.852899551391602,-0.052299998700618744,simple
6,25_09_11_cell1_3_ch1,ccp,1,458,6,60.0,192.92160034179688,-14.715700149536133,-0.07090000063180923,simple
7,25_09_11_cell1_3_ch1,ccp,1,458,7,70.0,192.68629455566406,-14.951000213623047,-0.07199999690055847,simple
8,25_09_11_cell1_3_ch1,ccp,1,458,8,80.0,185.31370544433594,-22.32349967956543,-0.10750000178813934,simple
9,25_09_11_cell1_3_ch1,ccp,1,458,9,90.0,176.92160034179688,-30.715700149536133,-0.14790000021457672,simple
10,25_09_11_cell1_3_ch1,ccp,1,458,10,100.0,176.7646942138672,-30.872499465942383,-0.14869999885559082,simple
11,25_09_11_cell1_3_ch1,ccp,1,458,11,110.0,177.58819580078125,-30.048999786376953,-0.14470000565052032,simple
12,25_09_11_cell1_3_ch1,ccp,1,458,12,120.0,175.70590209960938,-31.931400299072266,-0.15379999577999115,simple
13,25_09_11_cell1_3_ch1,ccp,1,458,13,130.0,173.9803924560547,-33.656898498535156,-0.16210000216960907,simple
14,25_09_11_cell1_3_ch1,ccp,1,458,14,140.0,172.39219665527344,-35.24509811401367,-0.1696999967098236,simple
15,25_09_11_cell1_3_ch1,ccp,1,458,15,150.0,169.568603515625,-38.068599700927734,-0.18330000340938568,simple
16,25_09_11_cell1_3_ch1,ccp,1,458,16,160.0,169.80389404296875,-37.83330154418945,-0.18219999969005585,simple
17,25_09_11_cell1_3_ch1,ccp,1,458,17,170.0,165.37249755859375,-42.26470184326172,-0.20360000431537628,simple
18,25_09_11_cell1_3_ch1,ccp,1,458,18,180.0,160.27450561523438,-47.362701416015625,-0.2281000018119812,simple
19,25_09_11_cell1_3_ch1,ccp,1,458,19,190.0,156.27450561523438,-51.362701416015625,-0.24740000069141388,simple
20,25_09_11_cell1_3_ch1,ccp,1,458,20,200.0,147.92160034179688,-59.7156982421875,-0.28760001063346863,simple
21,25_09_11_cell1_3_ch1,ccp,1,458,22,210.0,148.94119262695312,-58.69609832763672,-0.2827000021934509,simple
22,25_09_11_cell1_3_ch1,ccp,2,524,0,0.0,100.04620361328125,7.411499977111816,0.07999999821186066,simple
23,25_09_11_cell1_3_ch1,ccp,2,524,1,10.0,96.3385009765625,3.7037999629974365,0.03999999910593033,simple
24,25_09_11_cell1_3_ch1,ccp,2,524,2,20.0,90.29229736328125,-2.3422999382019043,-0.025299999862909317,simple
25,25_09_11_cell1_3_ch1,ccp,2,524,3,30.0,83.86150360107422,-8.773099899291992,-0.09470000118017197,simple
26,25_09_11_cell1_3_ch1,ccp,2,524,4,40.0,79.18460083007812,-13.449999809265137,-0.1451999992132187,simple
27,25_09_11_cell1_3_ch1,ccp,2,524,5,50.0,76.15380096435547,-16.48080062866211,-0.17790000140666962,simple
28,25_09_11_cell1_3_ch1,ccp,2,524,6,60.0,74.2614974975586,-18.37310028076172,-0.19830000400543213,simple
29,25_09_11_cell1_3_ch1,ccp,2,524,7,70.0,71.49230194091797,-21.14229965209961,-0.2282000035047531,simple
30,25_09_11_cell1_3_ch1,ccp,2,524,8,80.0,70.6614990234375,-21.973100662231445,-0.23720000684261322,simple
31,25_09_11_cell1_3_ch1,ccp,2,524,9,90.0,69.10769653320312,-23.526899337768555,-0.2540000081062317,simple
32,25_09_11_cell1_3_ch1,ccp,2,524,10,100.0,66.0154037475586,-26.619199752807617,-0.2874000072479248,simple
33,25_09_11_cell1_3_ch1,ccp,2,524,11,110.0,64.9845962524414,-27.649999618530273,-0.2985000014305115,simple
34,25_09_11_cell1_3_ch1,ccp,2,524,12,120.0,61.20000076293945,-31.434600830078125,-0.3393000066280365,simple
35,25_09_11_cell1_3_ch1,ccp,2,524,13,130.0,63.35380172729492,-29.280799865722656,-0.31610000133514404,simple
36,25_09_11_cell1_3_ch1,ccp,2,524,14,140.0,62.56919860839844,-30.065399169921875,-0.3246000111103058,simple
37,25_09_11_cell1_3_ch1,ccp,2,524,15,150.0,60.75379943847656,-31.880800247192383,-0.3441999852657318,simple
38,25_09_11_cell1_3_ch1,ccp,2,524,16,160.0,59.56919860839844,-33.065399169921875,-0.35690000653266907,simple
39,25_09_11_cell1_3_ch1,ccp,2,524,17,170.0,57.43080139160156,-35.203800201416016,-0.3799999952316284,simple
40,25_09_11_cell1_3_ch1,ccp,2,524,18,180.0,57.476898193359375,-35.15769958496094,-0.37950000166893005,simple
41,25_09_11_cell1_3_ch1,ccp,2,524,19,190.0,56.815399169921875,-35.81919860839844,-0.38670000433921814,simple
42,25_09_11_cell1_3_ch1,ccp,2,524,20,200.0,56.1692008972168,-36.46540069580078,-0.3935999870300293,simple
43,25_09_11_cell1_3_ch1,ccp,2,524,22,210.0,56.476898193359375,-36.15769958496094,-0.3903000056743622,simple
44,25_09_11_cell1_3_ch1,ccp,3,509,0,0.0,105.25,10.406200408935547,0.10970000177621841,simple
45,25_09_11_cell1_3_ch1,ccp,3,509,1,10.0,98.59380340576172,3.75,0.039500001817941666,simple
46,25_09_11_cell1_3_ch1,ccp,3,509,2,20.0,91.5,-3.3438000679016113,-0.03530000150203705,simple
47,25_09_11_cell1_3_ch1,ccp,3,509,3,30.0,84.03119659423828,-10.8125,-0.11400000005960464,simple
48,25_09_11_cell1_3_ch1,ccp,3,509,4,40.0,80.625,-14.218799591064453,-0.14990000426769257,simple
49,25_09_11_cell1_3_ch1,ccp,3,509,5,50.0,79.09380340576172,-15.75,-0.16609999537467957,simple
50,25_09_11_cell1_3_ch1,ccp,3,509,6,60.0,75.8125,-19.031200408935547,-0.20069999992847443,simple
51,25_09_11_cell1_3_ch1,ccp,3,509,7,70.0,72.78119659423828,-22.0625,-0.23260000348091125,simple
52,25_09_11_cell1_3_ch1,ccp,3,509,8,80.0,69.96880340576172,-24.875,-0.2623000144958496,simple
53,25_09_11_cell1_3_ch1,ccp,3,509,9,90.0,68.53119659423828,-26.3125,-0.2773999869823456,simple
54,25_09_11_cell1_3_ch1,ccp,3,509,10,100.0,68.71880340576172,-26.125,-0.27549999952316284,simple
55,25_09_11_cell1_3_ch1,ccp,3,509,11,110.0,68.15619659423828,-26.6875,-0.28139999508857727,simple
56,25_09_11_cell1_3_ch1,ccp,3,509,12,120.0,65.0625,-29.781200408935547,-0.3140000104904175,simple
57,25_09_11_cell1_3_ch1,ccp,3,509,13,130.0,64.0625,-30.781200408935547,-0.3244999945163727,simple
58,25_09_11_cell1_3_ch1,ccp,3,509,14,140.0,62.625,-32.21879959106445,-0.33970001339912415,simple
59,25_09_11_cell1_3_ch1,ccp,3,509,15,150.0,61.6875,-33.15620040893555,-0.3495999872684479,simple
