cell,feature,time,int
cell8_04,nucl,1,872.027
cell8_04,nucl,2,868.346
cell8_04,nucl,3,868.561
cell8_04,nucl,4,862.581
cell8_04,nucl,5,876.588
cell8_04,nucl,6,874.396
cell8_04,nucl,7,865.794
cell8_04,nucl,8,852.715
cell8_04,nucl,9,870.323
cell8_04,nucl,10,873.24
cell8_04,nucl,11,873.463
cell8_04,nucl,12,858.911
cell8_04,nucl,13,866.372
cell8_04,nucl,14,871.178
cell8_04,nucl,15,873.505
cell8_04,nucl,16,859.26
cell8_04,nucl,17,862.211
cell8_04,nucl,18,861.651
cell8_04,nucl,19,865.541
cell8_04,nucl,20,871.003
cell8_04,nucl,21,968.823
cell8_04,nucl,22,945.784
cell8_04,nucl,23,938.346
cell8_04,nucl,24,921.616
cell8_04,nucl,25,935.149
cell8_04,nucl,26,930.768
cell8_04,nucl,27,911.719
cell8_04,nucl,28,900.611
cell8_04,nucl,29,905.229
cell8_04,nucl,30,898.688
cell8_04,nucl,31,901.446
cell8_04,nucl,32,886.634
cell8_04,nucl,33,878.723
cell8_04,nucl,34,872.305
cell8_04,nucl,35,881.833
cell8_04,nucl,36,865.125
cell8_04,nucl,37,867.783
cell8_04,nucl,38,873.802
cell8_04,nucl,39,857.782
cell8_04,nucl,40,859.96
cell8_04,nucl,41,873.155
cell8_04,nucl,42,864.282
cell8_04,nucl,43,853.429
cell8_04,nucl,44,847.171
cell8_04,nucl,45,842.671
cell8_04,nucl,46,855.916
cell8_04,nucl,47,841.565
cell8_04,nucl,48,846.304
cell8_04,nucl,49,841.036
cell8_04,nucl,50,843.721
cell8_04,nucl,51,837.247
cell8_04,nucl,52,836.961
cell8_04,nucl,53,841.447
cell8_04,nucl,54,827.193
cell8_04,nucl,55,840.357
cell8_04,nucl,56,824.497
cell8_04,nucl,57,838.927
cell8_04,nucl,58,837.108
cell8_04,nucl,59,823.478
cell8_04,nucl,60,814.325
cell8_04,nucl,61,826.773
cell8_04,nucl,62,823.561
cell8_04,nucl,63,832.27
cell8_04,nucl,64,823.258
cell8_04,nucl,65,820.227
cell8_04,nucl,66,829.149
cell8_04,nucl,67,813.786
cell8_04,nucl,68,820.593
cell8_04,nucl,69,835.859
cell8_04,nucl,70,818.942
cell8_04,nucl,71,819.084
cell8_04,nucl,72,822.818
cell8_04,nucl,73,826.082
cell8_04,nucl,74,815.923
cell8_04,nucl,75,821.685
cell8_04,nucl,76,827.667
cell8_04,nucl,77,816.364
cell8_04,nucl,78,804.806
cell8_04,nucl,79,814.349
cell8_04,nucl,80,811.07
cell8_04,nucl,81,810.892
cell8_04,nucl,82,822.202
cell8_04,nucl,83,816.975
cell8_04,nucl,84,819.018
cell8_04,nucl,85,817.759
cell8_04,nucl,86,820.617
cell8_04,nucl,87,816.701
cell8_04,nucl,88,815.737
cell8_04,nucl,89,815.661
cell8_04,nucl,90,817.259
cell8_04,nucl,91,817.304
cell8_04,nucl,92,812.659
cell8_04,nucl,93,811.394
cell8_04,nucl,94,803.35
cell8_04,nucl,95,798.408
cell8_04,nucl,96,806.526
cell8_04,nucl,97,809.938
cell8_04,nucl,98,813.662
cell8_04,nucl,99,823.834
cell8_04,nucl,100,814.907
cell8_04,nucl,101,806.627
cell8_04,nucl,102,817.82
cell8_04,nucl,103,812.936
cell8_04,nucl,104,803.988
cell8_04,nucl,105,811.735
cell8_04,nucl,106,812.969
cell8_04,nucl,107,807.126
cell8_04,nucl,108,808.764
cell8_04,nucl,109,805.697
cell8_04,nucl,110,818.152
cell8_04,nucl,111,815.245
cell8_04,nucl,112,811.378
cell8_04,nucl,113,812.872
cell8_04,nucl,114,805.599
cell8_04,nucl,115,821.107
cell8_04,nucl,116,808.886
cell8_04,nucl,117,807.868
cell8_04,nucl,118,809.784
cell8_04,nucl,119,811.791
cell8_04,nucl,120,796.588
cell8_04,nucl,121,809.929
cell8_04,nucl,122,803.131
cell8_04,nucl,123,812.006
cell8_04,nucl,124,807.892
cell8_04,nucl,125,810.691
cell8_04,nucl,126,798.978
cell8_04,nucl,127,805.208
cell8_04,nucl,128,813.803
cell8_04,nucl,129,803.68
cell8_04,nucl,130,812.429
cell8_04,nucl,131,808.293
cell8_04,nucl,132,805.666
cell8_04,nucl,133,809.875
cell8_04,nucl,134,821.075
cell8_04,nucl,135,805.907
cell8_04,nucl,136,807.468
cell8_04,nucl,137,801.097
cell8_04,nucl,138,814.818
cell8_04,nucl,139,812.424
cell8_04,nucl,140,794.351
cell8_04,nucl,141,809.131
