cell,feature,time,int
cell5_01,cyto,1,1433.48
cell5_01,cyto,2,1443.612
cell5_01,cyto,3,1455.045
cell5_01,cyto,4,1442.905
cell5_01,cyto,5,1470.33
cell5_01,cyto,6,1439.043
cell5_01,cyto,7,1458.215
cell5_01,cyto,8,1440.997
cell5_01,cyto,9,1444.225
cell5_01,cyto,10,1441.496
cell5_01,cyto,11,1443.177
cell5_01,cyto,12,1421.517
cell5_01,cyto,13,1439.426
cell5_01,cyto,14,1464.651
cell5_01,cyto,15,1426.456
cell5_01,cyto,16,1425.824
cell5_01,cyto,17,1410.247
cell5_01,cyto,18,1438.766
cell5_01,cyto,19,1437.055
cell5_01,cyto,20,1546.927
cell5_01,cyto,21,1534.98
cell5_01,cyto,22,1544.568
cell5_01,cyto,23,1543.577
cell5_01,cyto,24,1531.942
cell5_01,cyto,25,1532.839
cell5_01,cyto,26,1523.689
cell5_01,cyto,27,1510.044
cell5_01,cyto,28,1492.949
cell5_01,cyto,29,1527.542
cell5_01,cyto,30,1492.006
cell5_01,cyto,31,1499.552
cell5_01,cyto,32,1495.269
cell5_01,cyto,33,1471.283
cell5_01,cyto,34,1488.047
cell5_01,cyto,35,1489.396
cell5_01,cyto,36,1484.214
cell5_01,cyto,37,1499.623
cell5_01,cyto,38,1469.766
cell5_01,cyto,39,1481.352
cell5_01,cyto,40,1466.084
cell5_01,cyto,41,1461.216
cell5_01,cyto,42,1458.659
cell5_01,cyto,43,1466.21
cell5_01,cyto,44,1436.059
cell5_01,cyto,45,1463.656
cell5_01,cyto,46,1452.435
cell5_01,cyto,47,1461.051
cell5_01,cyto,48,1469.589
cell5_01,cyto,49,1441.575
cell5_01,cyto,50,1480.836
cell5_01,cyto,51,1464.294
cell5_01,cyto,52,1463.55
cell5_01,cyto,53,1435.861
cell5_01,cyto,54,1452.934
cell5_01,cyto,55,1448.987
cell5_01,cyto,56,1439.563
cell5_01,cyto,57,1450.2
cell5_01,cyto,58,1464.478
cell5_01,cyto,59,1448.017
cell5_01,cyto,60,1450.584
cell5_01,cyto,61,1455.254
cell5_01,cyto,62,1459.185
cell5_01,cyto,63,1447.359
cell5_01,cyto,64,1457.232
cell5_01,cyto,65,1457.531
cell5_01,cyto,66,1443.269
cell5_01,cyto,67,1449.301
cell5_01,cyto,68,1467.676
cell5_01,cyto,69,1463.878
cell5_01,cyto,70,1440.894
cell5_01,cyto,71,1472.857
cell5_01,cyto,72,1459.925
cell5_01,cyto,73,1450.341
cell5_01,cyto,74,1468.526
cell5_01,cyto,75,1462.816
cell5_01,cyto,76,1431.042
cell5_01,cyto,77,1414.376
cell5_01,cyto,78,1442.812
cell5_01,cyto,79,1456.35
cell5_01,cyto,80,1459.164
cell5_01,cyto,81,1423.682
cell5_01,cyto,82,1435.763
cell5_01,cyto,83,1444.716
cell5_01,cyto,84,1457.022
cell5_01,cyto,85,1438.744
cell5_01,cyto,86,1443.586
cell5_01,cyto,87,1460.497
cell5_01,cyto,88,1430.533
cell5_01,cyto,89,1429.016
cell5_01,cyto,90,1433.393
cell5_01,cyto,91,1440.936
cell5_01,cyto,92,1437.607
cell5_01,cyto,93,1443.167
cell5_01,cyto,94,1447.181
cell5_01,cyto,95,1446.092
cell5_01,cyto,96,1222.237
cell5_01,cyto,97,1442.178
cell5_01,cyto,98,1443.707
cell5_01,cyto,99,1446.627
cell5_01,cyto,100,1435.642
cell5_01,cyto,101,1444.041
cell5_01,cyto,102,1445.602
cell5_01,cyto,103,1425.81
cell5_01,cyto,104,1422.047
cell5_01,cyto,105,1429.807
cell5_01,cyto,106,1411.591
cell5_01,cyto,107,1426.852
cell5_01,cyto,108,1427.733
cell5_01,cyto,109,1433.483
cell5_01,cyto,110,1438.228
cell5_01,cyto,111,1423.212
cell5_01,cyto,112,1419.458
cell5_01,cyto,113,1391.694
cell5_01,cyto,114,1429.287
cell5_01,cyto,115,1423.487
cell5_01,cyto,116,1195.627
cell5_01,cyto,117,1416.024
cell5_01,cyto,118,1418.892
cell5_01,cyto,119,1431.838
cell5_01,cyto,120,1435.068
cell5_01,cyto,121,1408.653
cell5_01,cyto,122,1408.509
cell5_01,cyto,123,1419.432
cell5_01,cyto,124,1411.42
cell5_01,cyto,125,1411.459
cell5_01,cyto,126,1425.552
cell5_01,cyto,127,1414.022
cell5_01,cyto,128,1422.168
cell5_01,cyto,129,1432.43
cell5_01,cyto,130,1420.251
cell5_01,cyto,131,1411.15
cell5_01,cyto,132,1421.853
cell5_01,cyto,133,1392.738
cell5_01,cyto,134,1408.927
cell5_01,cyto,135,1411.752
cell5_01,cyto,136,1231.854
cell5_01,cyto,137,1411.576
cell5_01,cyto,138,1415.999
cell5_01,cyto,139,1385.378
cell5_01,cyto,140,1220.625
cell5_01,cyto,141,1213.072
cell5_01,cyto,142,1407.371
cell5_01,cyto,143,1399.916
cell5_01,cyto,144,1401.99
cell5_01,cyto,145,1398.053
cell5_01,cyto,146,1404.944
cell5_01,cyto,147,1401.005
cell5_01,cyto,148,1431.584
cell5_01,cyto,149,1409.305
cell5_01,cyto,150,1418.345
cell5_01,cyto,151,1394.131
cell5_01,cyto,152,1415.247
cell5_01,cyto,153,1393.135
cell5_01,cyto,154,1415.083
cell5_01,cyto,155,1409.51
cell5_01,cyto,156,1414.681
cell5_01,cyto,157,1409.411
cell5_01,cyto,158,1419.152
cell5_01,cyto,159,1401.695
cell5_01,cyto,160,1374.778
cell5_01,cyto,161,1399.032
cell5_01,cyto,162,1183.638
cell5_01,cyto,163,1386.483
cell5_01,cyto,164,1191.321
cell5_01,cyto,165,1203.232
cell5_01,cyto,166,1393.203
cell5_01,cyto,167,1398.23
cell5_01,cyto,168,1374.148
cell5_01,cyto,169,1382.292
cell5_01,cyto,170,1391.571
cell5_01,cyto,171,1383.099
cell5_01,cyto,172,1411.648
cell5_01,cyto,173,1383.857
cell5_01,cyto,174,1391.15
cell5_01,cyto,175,1404.631
cell5_01,cyto,176,1398.514
cell5_01,cyto,177,1392.711
cell5_01,cyto,178,1407.773
cell5_01,cyto,179,1361.872
cell5_01,cyto,180,1385.515
cell5_03,cyto,1,1378.494
cell5_03,cyto,2,1393.413
cell5_03,cyto,3,1355.702
