cell,feature,time,int
cell10_01,nucl,165,1739.419
cell10_01,nucl,166,1696.75
cell10_01,nucl,167,1711.044
cell10_01,nucl,168,1730.54
cell10_01,nucl,169,1699.418
cell10_01,nucl,170,1700.527
cell10_01,nucl,171,1762.471
cell10_01,nucl,172,1703.579
cell10_01,nucl,173,1723.208
cell10_01,nucl,174,1757.98
cell10_01,nucl,175,1738.194
cell10_01,nucl,176,1733.509
cell10_01,nucl,177,1764.269
cell10_01,nucl,178,1720.099
cell10_01,nucl,179,1729.004
cell10_01,nucl,180,1697.758
cell10_02,nucl,1,1760.082
cell10_02,nucl,2,1767.769
cell10_02,nucl,3,1776.356
cell10_02,nucl,4,1774.355
cell10_02,nucl,5,1731.439
cell10_02,nucl,6,1714.664
cell10_02,nucl,7,1730.483
cell10_02,nucl,8,1738.21
cell10_02,nucl,9,1727.08
cell10_02,nucl,10,1729.486
cell10_02,nucl,11,1766.821
cell10_02,nucl,12,1717.22
cell10_02,nucl,13,1730.296
cell10_02,nucl,14,1739.018
cell10_02,nucl,15,1746.422
cell10_02,nucl,16,1754.737
cell10_02,nucl,17,1749.709
cell10_02,nucl,18,1739.766
cell10_02,nucl,19,1724.761
cell10_02,nucl,20,1748.369
cell10_02,nucl,21,1932.467
cell10_02,nucl,22,1932.277
cell10_02,nucl,23,1886.998
cell10_02,nucl,24,1894.081
cell10_02,nucl,25,1889.691
cell10_02,nucl,26,1881.801
cell10_02,nucl,27,1844.691
cell10_02,nucl,28,1839.457
cell10_02,nucl,29,1834.97
cell10_02,nucl,30,1850.911
cell10_02,nucl,31,1830.455
cell10_02,nucl,32,1799.327
cell10_02,nucl,33,1807.979
cell10_02,nucl,34,1797.574
cell10_02,nucl,35,1823.488
cell10_02,nucl,36,1763.802
cell10_02,nucl,37,1771.95
cell10_02,nucl,38,1756.657
cell10_02,nucl,39,1746.512
cell10_02,nucl,40,1726.899
cell10_02,nucl,41,1747.715
cell10_02,nucl,42,1727.489
cell10_02,nucl,43,1692.956
cell10_02,nucl,44,1732.449
cell10_02,nucl,45,1722.533
cell10_02,nucl,46,1717.079
cell10_02,nucl,47,1676.289
cell10_02,nucl,48,1732.874
cell10_02,nucl,49,1705.225
cell10_02,nucl,50,1721.409
cell10_02,nucl,51,1689.68
cell10_02,nucl,52,1686.159
cell10_02,nucl,53,1714.435
cell10_02,nucl,54,1699.374
cell10_02,nucl,55,1679.913
cell10_02,nucl,56,1672.152
cell10_02,nucl,57,1701.181
cell10_02,nucl,58,1680.223
cell10_02,nucl,59,1691.456
cell10_02,nucl,60,1665.268
cell10_02,nucl,61,1678.83
cell10_02,nucl,62,1652.893
cell10_02,nucl,63,1663.686
cell10_02,nucl,64,1690.828
cell10_02,nucl,65,1631.829
cell10_02,nucl,66,1686.36
cell10_02,nucl,67,1666.768
cell10_02,nucl,68,1657.551
cell10_02,nucl,69,1704.275
cell10_02,nucl,70,1650.997
cell10_02,nucl,71,1682.598
cell10_02,nucl,72,1663.707
cell10_02,nucl,73,1655.197
cell10_02,nucl,74,1676.904
cell10_02,nucl,75,1656.574
cell10_02,nucl,76,1664.264
cell10_02,nucl,77,1646.436
cell10_02,nucl,78,1680.387
cell10_02,nucl,79,1638.453
cell10_02,nucl,80,1683.488
cell10_02,nucl,81,1666.221
cell10_02,nucl,82,1683.48
cell10_02,nucl,83,1665.369
cell10_02,nucl,84,1689.832
cell10_02,nucl,85,1623.94
cell10_02,nucl,86,1658.807
cell10_02,nucl,87,1653.157
cell10_02,nucl,88,1674.81
cell10_02,nucl,89,1671.693
cell10_02,nucl,90,1683.561
cell10_02,nucl,91,1665.604
cell10_02,nucl,92,1647.585
cell10_02,nucl,93,1629.031
cell10_02,nucl,94,1672.012
cell10_02,nucl,95,1653.382
cell10_02,nucl,96,1643.331
cell10_02,nucl,97,1652.688
cell10_02,nucl,98,1628.279
cell10_02,nucl,99,1667.907
cell10_02,nucl,100,1658.858
cell10_02,nucl,101,1648.573
cell10_02,nucl,102,1649.678
cell10_02,nucl,103,1660.209
cell10_02,nucl,104,1656.468
cell10_02,nucl,105,1675.468
cell10_02,nucl,106,1631.419
cell10_02,nucl,107,1663.61
cell10_02,nucl,108,1651.735
cell10_02,nucl,109,1622.856
cell10_02,nucl,110,1674.964
cell10_02,nucl,111,1627.741
cell10_02,nucl,112,1667.509
cell10_02,nucl,113,1632.786
cell10_02,nucl,114,1636.904
cell10_02,nucl,115,1601.107
cell10_02,nucl,116,1661.566
cell10_02,nucl,117,1667.787
cell10_02,nucl,118,1668.007
cell10_02,nucl,119,1657.555
cell10_02,nucl,120,1666.81
cell10_02,nucl,121,1662.894
cell10_02,nucl,122,1652.12
cell10_02,nucl,123,1662.761
cell10_02,nucl,124,1633.651
cell10_02,nucl,125,1637.506
cell10_02,nucl,126,1622.5
cell10_02,nucl,127,1657.2
cell10_02,nucl,128,1641.475
cell10_02,nucl,129,1631.031
cell10_02,nucl,130,1635.335
cell10_02,nucl,131,1672.18
cell10_02,nucl,132,1646.014
cell10_02,nucl,133,1650.442
cell10_02,nucl,134,1617.442
cell10_02,nucl,135,1638.335
cell10_02,nucl,136,1643.018
cell10_02,nucl,137,1638.895
cell10_02,nucl,138,1622.537
cell10_02,nucl,139,1660.836
cell10_02,nucl,140,1649.271
cell10_02,nucl,141,1638.14
cell10_02,nucl,142,1668.444
cell10_02,nucl,143,1653.472
cell10_02,nucl,144,1645.235
cell10_02,nucl,145,1630.256
cell10_02,nucl,146,1658.916
cell10_02,nucl,147,1646.099
cell10_02,nucl,148,1648.123
cell10_02,nucl,149,1638.367
cell10_02,nucl,150,1676.325
cell10_02,nucl,151,1639.568
cell10_02,nucl,152,1654.375
cell10_02,nucl,153,1652.755
