TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
551.2776,-3.91,551.2808,-35.16,551.2924,-8.13,0.0704,31.25,230.81,220512_s23,-70post
551.348,-6.98,551.3512,-20.16,551.3672,-9.84,0.6362,13.18,206.2,220512_s23,-70post
551.984,-1.67,551.9874,-15.47,552.0034,-3.13,0.4054,13.8,124.58,220512_s23,-70post
552.3892,-2.66,552.3928,-14.53,552.4042,-3.91,0.343,11.88,107.75,220512_s23,-70post
552.733,-3.02,552.7358,-20.63,552.7482,-2.03,0,17.6,130.76,220512_s23,-70post
552.9844,-1.98,552.7358,-20.63,553.0036,-2.66,0.2898,18.65,112.2,220512_s23,-70post
553.0224,-1.51,553.0256,-27.03,553.0378,-3.91,0.2416,25.52,192.78,220512_s23,-70post
553.2636,-2.92,553.2672,-16.25,553.2762,-3.13,0,13.33,86.1,220512_s23,-70post
553.5042,-1.61,553.2672,-16.25,553.5154,-2.19,0.3264,14.64,72.37,220512_s23,-70post
553.5894,-2.76,553.5936,-21.09,553.609,-5.16,0.0672,18.33,195.47,220512_s23,-70post
553.6558,-1.51,553.6608,-19.53,553.6746,-3.91,0.3032,18.02,173.46,220512_s23,-70post
553.9594,-4.84,553.964,-24.38,553.975,-5.16,0.079,19.53,137.97,220512_s23,-70post
554.0376,-4.43,554.043,-13.59,554.0546,-2.97,0.182,9.17,61.14,220512_s23,-70post
554.2214,-1.3,554.225,-17.19,554.2338,-3.75,0.4274,15.89,118.72,220512_s23,-70post
554.649,-2.76,554.6524,-13.59,554.6652,-2.81,0.035,10.83,94.82,220512_s23,-70post
554.684,-2.97,554.6874,-14.84,554.6954,-0.94,0.124,11.87,60.94,220512_s23,-70post
554.8084,-3.59,554.8114,-24.53,554.826,-5.47,0.4804,20.94,196.53,220512_s23,-70post
555.2876,-6.72,555.2918,-17.19,555.2998,-4.22,0.0634,10.47,54.34,220512_s23,-70post
555.353,-1.2,555.3552,-16.41,555.371,-1.25,0.0642,15.21,121.64,220512_s23,-70post
555.4132,-3.7,555.4194,-18.91,555.4326,-3.91,0.1476,15.21,152.05,220512_s23,-70post
555.5624,-3.28,555.567,-23.13,555.5748,-4.22,0.0334,19.84,134.13,220512_s23,-70post
555.5978,-4.58,555.6004,-18.28,555.6118,-3.75,0.0766,13.7,90.79,220512_s23,-70post
555.6734,-3.33,555.677,-14.69,555.6906,-2.66,0.2968,11.35,102.66,220512_s23,-70post
555.9682,-3.59,555.9738,-18.59,555.9836,-5.94,0.1614,15,131.09,220512_s23,-70post
556.1308,-4.22,556.1352,-22.5,556.1468,-3.91,0.2208,18.28,132.91,220512_s23,-70post
556.3532,-0.78,556.356,-14.84,556.3696,-0.94,0.151,14.06,123.53,220512_s23,-70post
556.5026,-4.17,556.507,-14.38,556.5228,-1.09,0.1712,10.21,42.69,220512_s23,-70post
556.676,-2.86,556.6782,-18.59,556.6904,-3.13,0.3022,15.73,114.43,220512_s23,-70post
556.9772,-3.13,556.9804,-17.5,556.9926,-2.5,0.1234,14.38,122.78,220512_s23,-70post
557.0992,-1.82,557.1038,-20.63,557.1158,-4.38,0.1284,18.8,181.09,220512_s23,-70post
557.2272,-3.75,557.2322,-15.31,557.2396,-3.75,0.0238,11.56,63.28,220512_s23,-70post
557.2538,-2.81,557.256,-14.38,557.2706,-2.97,0.0444,11.56,100.41,220512_s23,-70post
557.2974,-2.14,557.3004,-21.41,557.3102,-0.94,0,19.27,118.36,220512_s23,-70post
557.3418,-4.43,557.3004,-21.41,557.357,-2.97,0,16.98,68.48,220512_s23,-70post
557.376,-4.79,557.3004,-21.41,557.3966,-7.66,0.116,16.61,236.55,220512_s23,-70post
557.4132,-2.55,557.4164,-12.81,557.4314,-2.5,0.2744,10.26,99.73,220512_s23,-70post
557.6896,-5.73,557.6908,-21.41,557.71,-6.41,0.1132,15.68,234.95,220512_s23,-70post
557.7996,-2.97,557.804,-27.19,557.8168,-5,0.1858,24.22,219.97,220512_s23,-70post
557.986,-1.3,557.9898,-15.94,558.0008,-2.97,0.0518,14.64,109.16,220512_s23,-70post
558.0386,-2.08,558.0416,-20.31,558.0552,-2.03,0.1022,18.23,140.75,220512_s23,-70post
558.1388,-2.76,558.1438,-12.03,558.1538,-1.56,0.0754,9.27,65.2,220512_s23,-70post
558.2162,-1.93,558.2192,-13.91,558.233,-1.56,0.1386,11.98,89.71,220512_s23,-70post
558.3546,-2.45,558.3578,-13.59,558.3698,-2.03,0.0436,11.15,104.3,220512_s23,-70post
558.3988,-5.99,558.4014,-17.34,558.4154,-1.25,0,11.35,42,220512_s23,-70post
558.4494,-2.71,558.4014,-17.34,558.47,0.31,0.5652,14.64,77.6,220512_s23,-70post
558.963,-1.35,558.9666,-19.84,558.9786,-2.66,0.1644,18.49,144.1,220512_s23,-70post
559.1276,-3.85,559.131,-15.78,559.1412,-1.25,0.0668,11.93,64.81,220512_s23,-70post
559.1926,-3.23,559.1978,-18.28,559.2106,-3.59,0.189,15.05,128.51,220512_s23,-70post
559.3834,-3.7,559.3868,-18.75,559.3992,-2.03,0.2714,15.05,109.49,220512_s23,-70post
559.652,-1.41,559.6582,-20.94,559.6678,-3.44,0.038,19.53,160.88,220512_s23,-70post
559.6934,-3.91,559.6962,-11.41,559.7094,-0.63,0.2684,7.5,36.78,220512_s23,-70post
559.9592,-4.69,559.9646,-44.84,559.9758,-10.78,0.19,40.16,406.97,220512_s23,-70post
560.1492,-8.07,560.1546,-13.44,560.1674,-3.75,0.4008,5.36,20.83,220512_s23,-70post
560.5506,-0.68,560.5554,-15.47,560.5696,-4.84,0.0428,14.79,186.38,220512_s23,-70post
560.5938,-8.39,560.5982,-19.69,560.6082,-6.56,0.0654,11.3,65.2,220512_s23,-70post
560.6606,-5.63,560.6636,-18.59,560.6832,-8.28,0.2444,12.97,183.97,220512_s23,-70post
560.9046,-2.34,560.908,-14.53,560.9232,-3.13,0.0588,12.19,112,220512_s23,-70post
560.965,-5.83,560.9668,-18.28,560.9882,-9.06,0.316,12.45,135.88,220512_s23,-70post
561.2778,-2.14,561.2828,-12.66,561.2934,-1.09,0.0826,10.52,66.39,220512_s23,-70post
561.363,-5.73,561.3654,-21.88,561.373,-6.41,0.0274,16.15,83.09,220512_s23,-70post
561.3896,-3.07,561.3928,-16.09,561.4034,-3.91,0.0462,13.02,102.6,220512_s23,-70post
561.433,-1.3,561.439,-19.69,561.4526,-6.25,0.2278,18.39,227.19,220512_s23,-70post
561.6622,-5.26,561.6668,-17.66,561.6838,-7.5,0.2088,12.4,189.89,220512_s23,-70post
561.872,-2.71,561.8756,-16.09,561.889,-4.84,0.311,13.39,136.98,220512_s23,-70post
562.1832,-0.89,562.1866,-11.56,562.201,-0.63,0.1158,10.68,76.69,220512_s23,-70post
562.2976,-3.28,562.3024,-35.31,562.3112,-8.28,0.502,32.03,273.31,220512_s23,-70post
562.799,-3.7,562.8044,-11.88,562.8182,-2.5,0.0618,8.18,75.73,220512_s23,-70post
562.8616,-2.6,562.8662,-17.81,562.8828,-4.53,0.2758,15.21,166.46,220512_s23,-70post
563.1376,-5.78,563.142,-17.66,563.1518,-4.84,0.4154,11.88,94.44,220512_s23,-70post
563.5538,-0.47,563.5574,-12.34,563.5662,-2.5,0.3422,11.88,86.56,220512_s23,-70post
563.8952,-1.56,563.8996,-27.03,563.9096,-4.22,0.0872,25.47,199.56,220512_s23,-70post
563.9826,-2.5,563.9868,-11.25,563.9964,-1.56,0.293,8.75,58,220512_s23,-70post
564.2746,-9.22,564.2798,-15.94,564.2922,-1.25,0.2668,6.72,1.44,220512_s23,-70post
564.541,-10.47,564.5466,-23.28,564.5626,-13.44,0.1256,12.81,201.72,220512_s23,-70post
564.667,-15.16,564.6722,-26.56,564.6832,-13.44,0.0324,11.41,74.28,220512_s23,-70post
564.702,-16.67,564.7046,-36.25,564.7148,-17.97,0.0278,19.58,114.3,220512_s23,-70post
564.7288,-14.22,564.7324,-32.5,564.741,-14.84,0.0698,18.28,114.53,220512_s23,-70post
564.7968,-10.99,564.8022,-25.31,564.8114,-9.84,0.2002,14.32,107.64,220512_s23,-70post
564.999,-7.45,565.0024,-38.28,565.0148,-11.25,0.3974,30.83,249.58,220512_s23,-70post
565.398,-4.95,565.3998,-20.31,565.4122,-3.91,0,15.36,89.81,220512_s23,-70post
565.8678,-1.72,565.3998,-20.31,565.8872,-1.87,1.2002,18.59,93.38,220512_s23,-70post
566.5936,-3.44,566.6,-23.59,566.61,-6.09,0.4838,20.16,211.28,220512_s23,-70post
567.0788,-3.8,567.0838,-15.78,567.0954,-4.53,0.3826,11.98,127.91,220512_s23,-70post
567.4612,-2.92,567.4664,-15.94,567.4764,-3.13,0.418,13.02,92.77,220512_s23,-70post
567.882,-3.39,567.8844,-20.94,567.8974,-4.06,0.364,17.55,127.69,220512_s23,-70post
568.2452,-1.72,568.2484,-17.66,568.2612,-3.75,0.1674,15.94,127.38,220512_s23,-70post
568.4112,-1.67,568.4158,-21.09,568.4294,-3.13,0.1202,19.43,190.18,220512_s23,-70post
568.534,-4.9,568.536,-17.5,568.5492,-3.59,0,12.6,73.95,220512_s23,-70post
