"","id","roi","int","index","time","cell_id","app_time"
"55","03.04.2024_(2.4)_ch1","3",-0.0619243869545262,14,14,"03_04_24_cell2","0.5"
"56","03.04.2024_(2.4)_ch1","3",-0.0593995241644637,15,15,"03_04_24_cell2","0.5"
"57","03.04.2024_(2.4)_ch1","3",-0.0357106257436997,16,16,"03_04_24_cell2","0.5"
"58","03.04.2024_(2.4)_ch1","3",-0.062468346386574,17,17,"03_04_24_cell2","0.5"
"59","03.04.2024_(2.4)_ch1","3",-0.0811048189085233,18,18,"03_04_24_cell2","0.5"
"60","03.04.2024_(2.4)_ch1","3",-0.0385804013629535,20,19,"03_04_24_cell2","0.5"
"61","03.04.2024_(2.4)_ch1","4",-0.00115387343006407,0,0,"03_04_24_cell2","0.5"
"62","03.04.2024_(2.4)_ch1","4",-0.0124400803292903,1,1,"03_04_24_cell2","0.5"
"63","03.04.2024_(2.4)_ch1","4",0.00150366914193432,2,2,"03_04_24_cell2","0.5"
"64","03.04.2024_(2.4)_ch1","4",0.00824315589822661,3,3,"03_04_24_cell2","0.5"
"65","03.04.2024_(2.4)_ch1","4",0.00384712871919375,4,4,"03_04_24_cell2","0.5"
"66","03.04.2024_(2.4)_ch1","4",0.0369411160851781,5,5,"03_04_24_cell2","0.5"
"67","03.04.2024_(2.4)_ch1","4",0.137468422729103,6,6,"03_04_24_cell2","0.5"
"68","03.04.2024_(2.4)_ch1","4",0.15456148895072,7,7,"03_04_24_cell2","0.5"
"69","03.04.2024_(2.4)_ch1","4",0.149606094933462,8,8,"03_04_24_cell2","0.5"
"70","03.04.2024_(2.4)_ch1","4",0.125718146991199,9,9,"03_04_24_cell2","0.5"
"71","03.04.2024_(2.4)_ch1","4",0.113764622196907,10,10,"03_04_24_cell2","0.5"
"72","03.04.2024_(2.4)_ch1","4",0.0670039112155722,11,11,"03_04_24_cell2","0.5"
"73","03.04.2024_(2.4)_ch1","4",0.0562506239680451,12,12,"03_04_24_cell2","0.5"
"74","03.04.2024_(2.4)_ch1","4",0.0386364210923247,13,13,"03_04_24_cell2","0.5"
"75","03.04.2024_(2.4)_ch1","4",0.00876722038544487,14,14,"03_04_24_cell2","0.5"
"76","03.04.2024_(2.4)_ch1","4",-0.00508617313973239,15,15,"03_04_24_cell2","0.5"
