ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,7,12.0,down,1,95.605,0.020749165079392316,5.209582702215828
cell4_02_2_2022,3,fp,8,14.0,down,1,95.634,0.02105879036873177,5.154998181112757
cell4_02_2_2022,3,fp,9,16.0,down,1,95.542,0.020076530830137527,5.112431917729059
cell4_02_2_2022,3,fp,10,18.0,down,1,98.051,0.046864456725061385,5.301325165399741
cell4_02_2_2022,3,fp,11,20.0,down,1,98.519,0.051861168290953955,5.325924077213029
cell4_02_2_2022,3,fp,12,22.0,down,1,98.127,0.04767588851781309,5.362400587197343
cell4_02_2_2022,3,fp,13,24.0,down,1,96.182,0.02690964066383672,5.292015208821762
cell4_02_2_2022,3,fp,14,26.0,down,1,95.773,0.02254285641073827,5.102972912921108
cell4_02_2_2022,3,fp,15,28.0,down,1,96.227,0.027390093699018715,5.157294299504727
cell4_02_2_2022,3,fp,16,30.0,down,1,96.315,0.028329646301152287,5.199611261380673
cell4_02_2_2022,3,fp,17,32.0,down,1,96.75,0.03297402564124473,5.190301610218019
cell4_02_2_2022,3,fp,18,34.0,down,1,96.531,0.03063582087002585,5.1192252693671945
cell4_02_2_2022,3,fp,19,36.0,down,1,96.635,0.03174620121800196,5.2029268779261
cell4_02_2_2022,3,fp,20,38.0,down,1,96.542,0.03075326494529251,5.167109027203949
cell4_02_2_2022,3,fp,21,40.0,down,1,96.516,0.03047566985829852,5.210098768114566
cell4_02_2_2022,3,fp,22,42.0,down,1,96.751,0.032984702375359935,5.200199416829467
cell4_02_2_2022,3,fp,23,44.0,down,1,96.778,0.03327297419646913,5.18845535981315
cell4_02_2_2022,3,fp,24,46.0,down,1,96.846,0.03399899211629965,5.122397705076769
cell4_02_2_2022,3,fp,25,48.0,down,1,96.631,0.03170349428154129,5.244612283572652
cell4_02_2_2022,3,fp,26,50.0,down,1,96.602,0.03139386899220183,5.132426301791679
cell4_02_2_2022,3,fp,27,52.0,down,1,96.424,0.029493410319704275,5.2806750805433875
cell4_02_2_2022,3,fp,28,54.0,down,1,96.833,0.03386019457280258,5.188442868599626
cell4_02_2_2022,3,fp,29,56.0,down,1,97.251,0.03832306943293743,5.1779262421072305
cell4_02_2_2022,3,fp,30,58.0,down,1,97.099,0.03670020584743386,5.188279268133077
cell4_02_2_2022,3,fp,1,0.0,up,1,624.354,0.09893657204390857,0.012414183869568853
cell4_02_2_2022,3,fp,1,0.0,up,2,367.512,-0.03954991250389395,0.05181557992208022
cell4_02_2_2022,3,fp,1,0.0,up,3,552.893,-0.11807961278594978,0.018988446035576
cell4_02_2_2022,3,fp,1,0.0,up,4,547.368,0.019104580318104605,0.09844569045718532
cell4_02_2_2022,3,fp,1,0.0,up,5,455.044,-0.008501225417565894,0.04482743908338858
