ID,ch,frame,time,int,delta,d
cell7_02_2_2022,ca,2,4.0,237.231396484375,-0.09157083480934239,13.0
cell7_02_2_2022,ca,2,4.0,420.231396484375,-0.07500159746024569,13.038404810405298
cell7_02_2_2022,ca,2,4.0,295.231396484375,-0.06455965846682088,13.152946437965905
cell7_02_2_2022,ca,2,4.0,181.231396484375,-0.06449435155969353,13.341664064126334
cell7_02_2_2022,ca,2,4.0,225.231396484375,-0.05488096817822538,13.601470508735444
cell7_02_2_2022,ca,2,4.0,292.231396484375,-0.030378033285739268,13.92838827718412
cell7_02_2_2022,ca,2,4.0,188.231396484375,-0.01573932189034737,14.317821063276353
cell7_02_2_2022,ca,2,4.0,548.231396484375,-0.03463121756741891,14.560219778561036
cell7_02_2_2022,ca,2,4.0,261.231396484375,-0.07674182178924606,14.866068747318506
cell7_02_2_2022,ca,2,4.0,196.231396484375,-0.0247062913020974,12.041594578792296
cell7_02_2_2022,ca,2,4.0,286.231396484375,-0.058587015372832105,12.0
cell7_02_2_2022,ca,2,4.0,242.231396484375,-0.08661262719309404,12.0
cell7_02_2_2022,ca,2,4.0,99.23139648437501,-0.09691229390467604,12.0
cell7_02_2_2022,ca,2,4.0,129.231396484375,-0.08332959161894812,12.0
cell7_02_2_2022,ca,2,4.0,348.231396484375,-0.05929442504673221,12.041594578792296
cell7_02_2_2022,ca,2,4.0,272.231396484375,-0.0425030679426514,12.165525060596439
cell7_02_2_2022,ca,2,4.0,286.231396484375,-0.03225485946893574,12.36931687685298
cell7_02_2_2022,ca,2,4.0,402.231396484375,-0.017366333971373035,12.649110640673518
cell7_02_2_2022,ca,2,4.0,313.231396484375,-0.00047181382861116744,13.0
cell7_02_2_2022,ca,2,4.0,473.231396484375,0.0015261602303962714,13.341664064126334
cell7_02_2_2022,ca,2,4.0,285.231396484375,-0.023234409594594236,13.601470508735444
cell7_02_2_2022,ca,2,4.0,178.231396484375,-0.06713608519450558,13.92838827718412
cell7_02_2_2022,ca,2,4.0,368.231396484375,-0.10061680608970634,14.317821063276353
cell7_02_2_2022,ca,2,4.0,220.231396484375,-0.09624739614062004,14.7648230602334
cell7_02_2_2022,ca,2,4.0,194.231396484375,0.061442826970914334,12.0
cell7_02_2_2022,ca,2,4.0,344.231396484375,0.053328245897944,11.704699910719626
cell7_02_2_2022,ca,2,4.0,159.231396484375,0.03693852446929864,11.40175425099138
cell7_02_2_2022,ca,2,4.0,67.23139648437501,0.005720116784919786,11.180339887498949
cell7_02_2_2022,ca,2,4.0,302.231396484375,-0.03372677367099672,11.045361017187261
cell7_02_2_2022,ca,2,4.0,363.231396484375,-0.06790781357257267,11.0
cell7_02_2_2022,ca,2,4.0,185.231396484375,-0.08669379979467344,11.0
cell7_02_2_2022,ca,2,4.0,508.231396484375,-0.0830011034318411,11.0
cell7_02_2_2022,ca,2,4.0,349.231396484375,-0.06064313269958144,11.0
cell7_02_2_2022,ca,2,4.0,386.231396484375,-0.03701961343754427,11.045361017187261
cell7_02_2_2022,ca,2,4.0,474.231396484375,-0.023785705837254187,11.180339887498949
cell7_02_2_2022,ca,2,4.0,568.231396484375,-0.015091102525882886,11.40175425099138
cell7_02_2_2022,ca,2,4.0,429.231396484375,-0.0028545622974192344,11.704699910719626
cell7_02_2_2022,ca,2,4.0,550.231396484375,0.006706586482159463,12.083045973594572
cell7_02_2_2022,ca,2,4.0,440.231396484375,0.0009371292779233938,12.36931687685298
cell7_02_2_2022,ca,2,4.0,599.231396484375,-0.025125584431080438,12.649110640673518
cell7_02_2_2022,ca,2,4.0,471.231396484375,-0.06498804999264492,13.0
cell7_02_2_2022,ca,2,4.0,184.231396484375,-0.09860465470147832,13.416407864998739
cell7_02_2_2022,ca,2,4.0,121.23139648437501,-0.10189122067614591,13.892443989449804
cell7_02_2_2022,ca,2,4.0,158.231396484375,-0.06631746374294117,14.422205101855956
cell7_02_2_2022,ca,2,4.0,161.231396484375,0.06424245736171778,11.180339887498949
cell7_02_2_2022,ca,2,4.0,377.231396484375,0.09328017268245274,11.045361017187261
cell7_02_2_2022,ca,2,4.0,446.231396484375,0.09479637398188855,11.0
cell7_02_2_2022,ca,2,4.0,222.231396484375,0.07733602056609667,11.0
cell7_02_2_2022,ca,2,4.0,213.231396484375,0.05434750586075653,10.770329614269007
cell7_02_2_2022,ca,2,4.0,349.231396484375,0.03078222989136511,10.44030650891055
cell7_02_2_2022,ca,2,4.0,701.231396484375,8.511398833860336e-05,10.198039027185569
cell7_02_2_2022,ca,2,4.0,364.231396484375,-0.033732824062522995,10.04987562112089
cell7_02_2_2022,ca,2,4.0,265.231396484375,-0.057507696156804504,10.0
cell7_02_2_2022,ca,2,4.0,387.231396484375,-0.06497876589317095,10.0
cell7_02_2_2022,ca,2,4.0,224.231396484375,-0.05523142828565968,10.0
cell7_02_2_2022,ca,2,4.0,466.231396484375,-0.035360569381687974,10.0
cell7_02_2_2022,ca,2,4.0,589.231396484375,-0.020942169151676373,10.04987562112089
cell7_02_2_2022,ca,2,4.0,503.231396484375,-0.018036009597903975,10.198039027185569
cell7_02_2_2022,ca,2,4.0,391.231396484375,-0.016818099564335283,10.44030650891055
cell7_02_2_2022,ca,2,4.0,426.231396484375,-0.010003248920620744,10.770329614269007
cell7_02_2_2022,ca,2,4.0,579.231396484375,-0.0049197712663847796,11.180339887498949
cell7_02_2_2022,ca,2,4.0,362.231396484375,-0.01315293949361095,11.40175425099138
cell7_02_2_2022,ca,2,4.0,463.231396484375,-0.03817320465623189,11.704699910719626
cell7_02_2_2022,ca,2,4.0,489.231396484375,-0.07226702331248748,12.083045973594572
cell7_02_2_2022,ca,2,4.0,477.231396484375,-0.09768778079109533,12.529964086141668
cell7_02_2_2022,ca,2,4.0,518.231396484375,-0.09631222567820631,13.038404810405298
cell7_02_2_2022,ca,2,4.0,412.231396484375,-0.06029410653833608,13.601470508735444
cell7_02_2_2022,ca,2,4.0,326.231396484375,0.005112690598716952,14.212670403551895
cell7_02_2_2022,ca,2,4.0,111.23139648437501,-0.0005935644787853705,10.770329614269007
cell7_02_2_2022,ca,2,4.0,197.231396484375,-0.0011515868673891425,10.44030650891055
