treat,group,rel_area_median,rel_area_iqr,rel_intensity_median,rel_intensity_iqr,slices
cef,Cont,0.4088623425,0.03092050974999999,0.488613071,0.022739524249999976,22
cef,TBI_3D,0.103174328,0.041851194999999994,0.140097304,0.051010597000000005,33
cef,TBI_7D,0.0499852105,0.019250404250000006,0.0797398335,0.02419118025,30
cef,TBI_14D,0.2361313725,0.033993027750000016,0.2830738695,0.037471156250000026,46
none,Cont,0.35992363800000005,0.05365138749999998,0.3980211285,0.04623917249999998,22
none,TBI_3D,0.04794734,0.032784413500000005,0.084850009,0.04304635549999999,35
none,TBI_7D,0.060176994,0.011921870999999987,0.0941362255,0.016137060499999994,36
none,TBI_14D,0.112706991,0.027170245999999995,0.140644166,0.028849366000000015,25
