,id,roi,int,index,time
0,24_03_29_02_xform_ch1,1,0.04359105584684649,0,0.0
1,24_03_29_02_xform_ch1,1,0.002192797557352892,1,10.344827586206897
2,24_03_29_02_xform_ch1,1,-0.004385356039525149,2,20.689655172413794
3,24_03_29_02_xform_ch1,1,-0.018701177859661917,3,31.03448275862069
4,24_03_29_02_xform_ch1,1,-0.022697319505012442,4,41.37931034482759
5,24_03_29_02_xform_ch1,1,-0.027734235103663817,5,51.724137931034484
6,24_03_29_02_xform_ch1,1,-0.02386042025910327,6,62.06896551724138
7,24_03_29_02_xform_ch1,1,-0.09662813146648562,7,72.41379310344828
8,24_03_29_02_xform_ch1,1,-0.1356248795658777,8,82.75862068965517
9,24_03_29_02_xform_ch1,1,-0.14771491145372537,9,93.10344827586206
10,24_03_29_02_xform_ch1,1,-0.17967647390247354,10,103.44827586206897
11,24_03_29_02_xform_ch1,1,-0.18397903023775067,11,113.79310344827587
12,24_03_29_02_xform_ch1,1,-0.20740401490107788,12,124.13793103448276
13,24_03_29_02_xform_ch1,1,-0.20074537266003176,13,134.48275862068965
14,24_03_29_02_xform_ch1,1,-0.1869483439820075,14,144.82758620689657
15,24_03_29_02_xform_ch1,1,-0.18287450290293047,15,155.17241379310346
16,24_03_29_02_xform_ch1,1,-0.18083439469431606,16,165.51724137931035
17,24_03_29_02_xform_ch1,1,-0.18370847682492863,17,175.86206896551724
18,24_03_29_02_xform_ch1,1,-0.1944688522494664,18,186.20689655172413
19,24_03_29_02_xform_ch1,1,-0.1886063303601413,19,196.55172413793105
20,24_03_29_02_xform_ch1,1,-0.19122300821286994,20,206.89655172413794
21,24_03_29_02_xform_ch1,1,-0.19144375429638028,21,217.24137931034483
22,24_03_29_02_xform_ch1,1,-0.19910252771000886,22,227.58620689655174
23,24_03_29_02_xform_ch1,1,-0.19187169886982783,23,237.93103448275863
24,24_03_29_02_xform_ch1,1,-0.20324689596739146,24,248.27586206896552
25,24_03_29_02_xform_ch1,1,-0.20143390918043907,25,258.62068965517244
26,24_03_29_02_xform_ch1,1,-0.19815021157356577,26,268.9655172413793
27,24_03_29_02_xform_ch1,1,-0.2127074993262065,27,279.3103448275862
28,24_03_29_02_xform_ch1,1,-0.20125221204310945,28,289.65517241379314
29,24_03_29_02_xform_ch1,1,-0.2015948864687751,30,300.0
