NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
910,430.39230,-31.50,430.40550,-98.59,430.42560,-31.50,0.67020,67.10,671.36,
911,431.06850,-55.37,431.07570,-93.28,431.09160,-55.37,0.54600,37.91,316.14,
912,431.61240,-54.64,431.62170,-100.00,431.63760,-54.64,0.56520,45.36,284.61,
913,432.17580,-47.28,432.18690,-79.84,432.20430,-47.28,0.34740,32.56,319.61,
914,432.52590,-48.50,432.53430,-83.28,432.54660,-48.50,0.74880,34.78,207.94,
915,433.27830,-45.50,433.28310,-89.84,433.30050,-45.50,0.68880,44.35,370.64,
916,433.96230,-47.20,433.97190,-101.41,433.98390,-47.20,0.06780,54.21,368.04,
917,434.03610,-53.96,434.03970,-87.66,434.05410,-53.96,0.04560,33.70,190.16,
918,434.07930,-46.72,434.08530,-112.50,434.10180,-46.72,0.99870,65.78,439.20,
919,435.08040,-51.24,435.08400,-96.56,435.09900,-51.24,1.54080,45.33,274.86,
920,436.62120,-75.31,436.62480,-107.66,436.63920,-75.31,0.97800,32.34,186.18,
921,437.59290,-73.29,437.60280,-114.84,437.62290,-73.29,0.19980,41.55,458.25,
922,437.79510,-77.23,437.80260,-117.34,437.82270,-77.23,0.59820,40.11,515.45,
923,438.39240,-79.01,438.40080,-113.59,438.41850,-79.01,0.03930,34.58,310.20,
924,438.43020,-84.31,438.44010,-125.31,438.45420,-84.31,1.36770,41.01,374.45,
925,439.79970,-72.06,439.80780,-117.66,439.82790,-72.06,0.90570,45.60,392.69,
926,440.70630,-54.30,440.71350,-98.44,440.73360,-54.30,0.03060,44.14,464.80,
927,440.74050,-56.39,440.74410,-112.97,440.75880,-56.39,0.47130,56.58,263.67,
928,441.21180,-60.37,441.21540,-104.06,441.22650,-60.37,0.10950,43.69,235.46,
929,441.32130,-52.63,441.32490,-93.44,441.34260,-52.63,0.07440,40.81,336.15,
930,441.39210,-55.55,441.39930,-99.53,441.41040,-55.55,0.31770,43.99,272.50,
931,441.71340,-56.38,441.71700,-102.66,441.73260,-56.38,0.15150,46.27,253.77,
932,441.86250,-45.88,441.86850,-80.00,441.88200,-45.88,0.62490,34.12,218.18,
933,442.48620,-42.31,442.49340,-79.38,442.50540,-42.31,0.03750,37.06,220.71,
934,442.52400,-43.11,442.53090,-80.31,442.54710,-43.11,0.44010,37.20,305.46,
935,442.96260,-48.79,442.97100,-86.09,442.98510,-48.79,0.90480,37.31,265.79,
936,443.87100,-47.61,443.87580,-80.00,443.88870,-47.61,1.43460,32.39,227.87,
937,445.30560,-49.05,445.31040,-85.31,445.32660,-49.05,0.65880,36.26,258.76,
938,445.96320,-48.23,445.96920,-89.69,445.98510,-48.23,1.23270,41.45,291.31,
939,447.19710,-51.81,447.20190,-86.09,447.21540,-51.81,1.25580,34.28,202.95,
940,448.44690,-56.88,448.45770,-109.84,448.46730,-56.88,0.13980,52.96,335.75,
941,448.58670,-56.61,448.59750,-97.97,448.60920,-56.61,0.69540,41.35,250.06,
942,449.28570,-48.22,449.29290,-84.84,449.30610,-48.22,1.25280,36.62,267.56,
943,450.53850,-54.03,450.54570,-88.75,450.56190,-54.03,0.13890,34.72,288.81,
944,450.68100,-49.28,450.68460,-90.47,450.70470,-49.28,0.14610,41.19,319.79,
945,450.82350,-52.32,450.83070,-87.81,450.84240,-52.32,0.27900,35.49,206.76,
946,451.10370,-48.22,451.10970,-80.63,451.12650,-48.22,0.32580,32.40,223.63,
947,451.42950,-43.82,451.43550,-100.78,451.45560,-43.82,0.09150,56.96,421.37,
948,451.51980,-52.08,451.52700,-87.97,451.54380,-52.08,0.58380,35.89,263.88,
949,452.10390,-42.98,452.11080,-75.94,452.12190,-42.98,0.54600,32.95,178.21,
950,452.64960,-40.23,452.65680,-100.63,452.67000,-40.23,0.44160,60.39,399.80,
951,453.09120,-32.37,453.09840,-75.47,453.11730,-32.37,0.15120,43.10,442.38,
952,453.24150,-46.91,453.24960,-80.00,453.26250,-46.91,1.51920,33.09,186.40,
953,454.76400,-43.60,454.76880,-99.84,454.78200,-43.60,0.63180,56.25,356.17,
954,455.38710,-52.56,455.40060,-173.13,455.42070,-52.56,1.55340,120.57,1791.14,
955,456.94800,-39.28,456.95400,-80.31,456.96750,-39.28,1.06860,41.03,228.81,
956,458.01780,-39.79,458.02260,-77.50,458.03250,-39.79,0.69780,37.71,162.47,
957,458.71560,-43.01,458.72040,-80.16,458.73690,-43.01,0.17100,37.15,270.91,
958,458.88210,-40.33,458.89140,-75.94,458.90430,-40.33,0.19950,35.61,213.42,
959,459.08250,-37.84,459.09090,-87.97,459.11100,-37.84,0.22650,50.13,442.75,
960,459.30420,-46.35,459.31740,-120.16,459.33750,-46.35,0.69630,73.80,764.96,
961,460.00770,-32.25,460.01370,-83.44,460.03380,-32.25,0.26370,51.19,507.24,
962,460.26540,-38.09,460.27740,-75.00,460.29540,-38.09,0.20490,36.91,368.47,
963,460.47540,-45.25,460.48230,-78.28,460.49340,-45.25,0.55140,33.03,160.56,
964,461.02080,-47.88,461.03370,-95.31,461.04600,-47.88,0.27450,47.43,359.68,
965,461.29530,-50.16,461.30820,-96.88,461.32470,-50.16,0.51540,46.71,412.28,
966,461.81880,-51.00,461.82360,-86.72,461.84310,-51.00,0.15090,35.72,240.55,
967,461.96850,-52.55,461.97450,-85.31,461.98680,-52.55,0.21330,32.76,186.06,
968,462.18300,-51.45,462.18780,-85.63,462.20340,-51.45,2.06430,34.18,239.33,
969,464.24160,-56.06,464.25210,-91.09,464.27220,-56.06,0.17700,35.03,326.38,
970,464.42310,-60.69,464.42910,-96.72,464.44590,-60.69,0.92310,36.03,332.20,
971,465.34620,-59.03,465.35220,-100.47,465.36390,-59.03,0.30690,41.44,248.30,
972,465.64920,-54.69,465.65910,-90.94,465.67560,-54.69,2.11320,36.25,298.70,
973,467.76630,-57.94,467.77230,-98.28,467.78160,-57.94,0.04710,40.34,212.29,
974,467.81190,-57.09,467.81940,-103.13,467.83950,-57.09,2.53290,46.04,436.66,
975,470.34750,-64.42,470.35230,-101.25,470.37240,-64.42,0.29190,36.83,368.90,
976,470.63310,-62.29,470.64420,-110.63,470.66160,-62.29,0.93090,48.33,417.22,
977,471.56910,-71.29,471.57510,-112.34,471.58500,-71.29,1.03170,41.05,198.27,
978,472.60200,-63.82,472.60680,-109.22,472.62150,-63.82,1.52430,45.40,378.20,
979,474.12510,-61.19,474.13110,-97.81,474.14100,-61.19,0.37830,36.62,171.88,
980,474.50220,-56.77,474.50940,-110.47,474.52950,-56.77,2.32620,53.70,456.28,
981,476.82570,-55.86,476.83560,-91.72,476.85570,-55.86,0.62040,35.86,432.59,
982,477.45000,-54.06,477.45600,-98.28,477.47610,-54.06,0.12990,44.22,482.42,
983,477.57990,-56.64,477.58590,-102.66,477.60090,-56.64,0.18060,46.02,383.72,
984,477.76050,-52.77,477.76650,-89.06,477.78660,-52.77,1.54590,36.29,386.74,
985,479.30640,-61.52,479.31240,-100.63,479.32740,-61.52,0.31230,39.10,237.97,
986,479.61630,-64.67,479.62470,-98.44,479.63730,-64.67,0.83130,33.77,230.22,
987,480.44520,-67.70,480.45600,-150.47,480.47430,-67.70,0.15750,82.77,774.26,
988,480.60990,-62.37,480.61350,-100.78,480.62880,-62.37,0.30270,38.41,276.83,
989,480.90300,-55.46,480.91620,-90.00,480.93630,-55.46,1.37580,34.54,355.43,
990,482.28600,-52.85,482.29200,-102.19,482.30580,-52.85,2.39370,49.34,376.12,
991,484.67850,-52.86,484.68570,-93.44,484.69770,-52.86,0.32040,40.58,239.76,
992,485.00250,-42.87,485.00610,-78.91,485.02620,-42.87,0.30750,36.03,341.75,
993,485.30880,-53.55,485.31360,-112.50,485.33010,-53.55,0.22920,58.95,425.55,
994,485.53920,-56.54,485.54280,-106.56,485.55840,-56.54,4.58910,50.02,333.79,
995,490.12470,-44.02,490.13190,-96.09,490.15200,-44.02,0.93810,52.07,436.43,
996,491.05920,-51.36,491.07000,-86.25,491.08050,-51.36,0.33600,34.89,199.03,
997,491.40120,-40.83,491.40600,-73.75,491.42220,-40.83,1.41720,32.92,220.09,
998,492.81600,-60.99,492.82320,-93.59,492.83670,-60.99,1.20210,32.61,239.65,
999,494.01930,-56.23,494.02530,-88.75,494.04480,-56.23,0.47610,32.52,300.82,
