NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
395,109.44510,53.70,109.45830,-41.41,109.47330,53.70,0.14520,95.11,1113.71,
396,109.59990,55.48,109.60350,21.25,109.61490,55.48,0.05730,34.23,189.73,
397,109.65360,56.97,109.66080,2.81,109.67520,56.97,0.50400,54.16,406.91,
398,110.15280,58.89,110.16480,7.81,110.17980,58.89,0.16650,51.08,377.79,
399,110.32410,54.37,110.33130,19.22,110.34210,54.37,0.55800,35.15,178.60,
400,110.88210,53.87,110.88930,17.97,110.89830,53.87,0.06120,35.90,173.60,
401,110.94570,51.09,110.95050,6.41,110.96550,51.09,0.08970,44.69,300.01,
402,111.02730,50.94,111.04020,-10.63,111.05520,50.94,0.64080,61.57,818.93,
403,111.67380,54.82,111.68100,8.91,111.69510,54.82,0.08190,45.91,330.10,
404,111.75450,52.67,111.76290,16.56,111.77520,52.67,0.48030,36.10,235.08,
405,112.23120,56.15,112.24320,18.75,112.25400,56.15,0.16650,37.40,242.55,
406,112.40010,56.62,112.40970,16.09,112.42470,56.62,0.65430,40.53,318.37,
407,113.05740,54.78,113.06400,10.78,113.07510,54.78,0.07290,44.00,270.38,
408,113.12970,52.39,113.13690,-66.09,113.15190,52.39,0.65580,118.48,929.24,
409,113.78670,55.96,113.79270,18.91,113.80770,55.96,0.41070,37.05,231.05,
410,114.19980,58.58,114.20340,22.97,114.21450,58.58,0.48060,35.61,211.24,
411,114.67920,53.25,114.68400,17.50,114.69840,53.25,0.64110,35.75,243.58,
412,115.32030,54.95,115.32510,17.66,115.33470,54.95,0.18000,37.29,193.93,
413,115.49550,56.97,115.50510,-3.28,115.52010,56.97,0.19500,60.25,517.67,
414,115.69530,30.42,115.70010,-25.63,115.70760,30.42,0.60660,56.05,252.61,
415,116.29950,55.51,116.30670,13.75,116.31900,55.51,0.22440,41.76,253.05,
416,116.52630,52.95,116.53110,15.94,116.54250,52.95,0.23940,37.02,211.46,
417,116.76210,56.39,116.77050,23.59,116.78550,56.39,0.41370,32.80,243.67,
418,117.17700,58.56,117.18420,14.06,117.19710,58.56,0.26460,44.50,289.92,
419,117.44280,51.11,117.44880,13.13,117.46380,51.11,0.19710,37.98,324.92,
420,117.63990,57.82,117.64590,24.38,117.65670,57.82,0.33360,33.45,198.70,
421,117.97470,55.16,117.97950,18.44,117.99420,55.16,0.49170,36.72,252.05,
422,118.46520,50.53,118.47120,0.00,118.48380,50.53,0.07830,50.53,264.14,
423,118.53690,46.80,118.54950,-19.69,118.56450,46.80,1.75710,66.48,710.14,
424,120.29820,45.26,120.30660,6.88,120.31830,45.26,0.59430,38.38,179.98,
425,120.89610,53.02,120.90090,10.47,120.91590,53.02,0.21960,42.55,319.14,
426,121.11330,44.58,121.12050,8.28,121.13370,44.58,0.33330,36.29,264.69,
427,121.44660,50.74,121.45380,-3.91,121.46490,50.74,0.20940,54.65,306.73,
428,121.65480,49.59,121.66320,14.38,121.67550,49.59,0.30030,35.22,263.75,
429,121.95750,50.35,121.96350,9.06,121.97610,50.35,0.03990,41.29,280.54,
430,121.99050,44.65,122.00340,-49.22,122.01840,44.65,0.20040,93.87,1015.80,
431,122.19900,48.95,122.20380,-26.72,122.21790,48.95,0.22500,75.66,562.37,
432,122.41620,49.29,122.42880,16.25,122.43660,49.29,0.28860,33.04,240.30,
433,122.71380,50.50,122.71740,16.56,122.73240,50.50,0.17250,33.94,274.93,
434,122.87580,35.17,122.88990,-24.84,122.90490,35.17,0.65850,60.01,904.41,
435,123.54240,43.76,123.54840,-8.28,123.56070,43.76,0.44070,52.04,351.19,
436,123.98550,49.15,123.98910,2.97,124.00410,49.15,1.35750,46.18,296.28,
437,125.33820,58.66,125.34660,24.38,125.35890,58.66,0.71430,34.29,237.17,
438,126.05490,54.43,126.06090,14.38,126.07350,54.43,0.50820,40.05,237.43,
439,126.55950,62.93,126.56910,12.34,126.58410,62.93,0.14370,50.58,550.37,
440,126.70560,55.52,126.71280,20.00,126.72780,55.52,0.18090,35.52,317.17,
441,126.88380,55.99,126.89370,17.34,126.90870,55.99,0.43800,38.65,384.13,
442,127.32690,53.34,127.33170,14.22,127.34250,53.34,0.18240,39.12,207.67,
443,127.50180,61.79,127.51410,28.13,127.52550,61.79,0.30210,33.67,274.19,
444,127.80870,54.41,127.81620,14.22,127.82670,54.41,0.94770,40.19,207.09,
445,128.75910,47.70,128.76390,15.16,128.77200,47.70,0.02940,32.55,135.77,
446,128.78970,53.43,128.79330,11.41,128.80590,53.43,0.99720,42.02,223.46,
447,129.77730,56.24,129.79050,-19.84,129.80550,56.24,0.29700,76.08,856.96,
448,130.08390,57.35,130.08750,21.72,130.09920,57.35,0.24300,35.64,177.68,
449,130.31730,57.24,130.33050,23.59,130.34100,57.24,1.64880,33.65,226.58,
450,131.96730,56.70,131.97930,6.72,131.99400,56.70,0.80430,49.98,335.59,
451,132.77880,59.87,132.78360,25.31,132.79500,59.87,0.36000,34.56,208.76,
452,133.13880,60.40,133.14360,26.41,133.15530,60.40,0.10380,33.99,225.18,
453,133.24020,65.42,133.24740,23.13,133.26240,65.42,0.53340,42.29,374.40,
454,133.77480,58.09,133.78080,14.38,133.79580,58.09,0.06390,43.72,277.86,
455,133.83630,58.61,133.84470,13.44,133.85970,58.61,0.35730,45.18,422.99,
456,134.19480,39.09,134.20200,-14.22,134.21040,39.09,0.34680,53.31,213.92,
457,134.54160,57.33,134.54880,21.25,134.55960,57.33,0.04170,36.08,181.85,
458,134.57760,62.56,134.59050,23.13,134.60460,62.56,0.20220,39.43,317.64,
459,134.78790,53.14,134.79270,15.00,134.80440,53.14,0.19080,38.14,223.88,
460,134.97750,56.95,134.98350,20.00,134.99460,56.95,0.28410,36.95,150.78,
461,135.25890,47.61,135.26760,-25.00,135.27630,47.61,0.56160,72.61,411.08,
462,135.82200,60.30,135.82920,-2.34,135.84210,60.30,0.03870,62.65,408.06,
463,135.85620,58.93,135.86790,21.72,135.87990,58.93,0.50700,37.21,247.64,
464,136.36380,56.51,136.37490,15.78,136.38780,56.51,0.54030,40.73,268.29,
465,136.91160,60.14,136.91520,17.34,136.93020,60.14,0.17040,42.79,266.25,
466,137.07600,61.74,137.08560,22.03,137.09850,61.74,0.89400,39.71,291.50,
467,137.97270,55.50,137.97960,-0.16,137.99280,55.50,0.23700,55.66,338.55,
468,138.21300,61.59,138.21660,13.44,138.23160,61.59,0.27450,48.16,268.17,
469,138.48510,55.93,138.49110,17.19,138.50280,55.93,0.16350,38.75,276.55,
470,138.64260,63.04,138.65460,29.06,138.66630,63.04,0.17370,33.97,249.64,
471,138.81990,63.31,138.82830,25.31,138.83940,63.31,0.12360,38.00,281.02,
472,138.94110,61.68,138.95190,26.88,138.96270,61.68,0.21210,34.80,244.08,
473,139.15680,61.66,139.16400,19.69,139.17720,61.66,0.13950,41.98,308.24,
474,139.29750,60.95,139.30350,22.97,139.31700,60.95,0.22620,37.99,296.03,
475,139.52490,61.04,139.52970,9.38,139.54260,61.04,0.02940,51.66,283.59,
476,139.54710,59.11,139.55910,24.22,139.57260,59.11,0.32880,34.89,313.48,
477,139.88190,61.34,139.88790,27.03,139.89900,61.34,0.08130,34.31,192.40,
478,139.96080,62.02,139.96920,23.44,139.97820,62.02,0.28290,38.58,257.59,
479,140.24490,63.73,140.25210,25.31,140.26710,63.73,0.14460,38.42,260.95,
480,140.38710,58.64,140.39670,24.22,140.40840,58.64,0.59160,34.42,170.34,
481,140.97510,56.23,140.98830,-8.59,141.00330,56.23,0.03990,64.82,587.41,
482,141.02340,58.53,141.02820,11.41,141.03990,58.53,0.20190,47.12,289.08,
483,141.22410,58.02,141.23010,12.50,141.24060,58.02,0.66120,45.52,254.71,
484,141.88290,58.36,141.89130,-28.28,141.90630,58.36,0.48090,86.64,638.01,
485,142.36740,54.83,142.37220,14.22,142.38180,54.83,0.14400,40.61,183.24,
486,142.51020,59.62,142.51620,-10.63,142.53120,59.62,0.35610,70.25,422.29,
487,142.86600,59.05,142.87230,19.38,142.88610,59.05,0.12090,39.68,251.19,
488,142.98450,56.63,142.99320,-18.59,143.00640,56.63,0.15360,75.23,558.97,
489,143.14080,61.64,143.14680,-2.97,143.16180,61.64,0.08100,64.60,449.22,
490,143.21820,62.56,143.22780,18.44,143.23770,62.56,0.17550,44.12,254.42,
491,143.39850,65.08,143.40330,31.87,143.41710,65.08,0.20490,33.20,220.26,
492,143.60220,62.41,143.60820,18.28,143.61690,62.41,0.21750,44.12,217.58,
493,143.81730,63.34,143.82570,-15.94,143.84070,63.34,0.44100,79.28,554.19,
494,144.26070,64.19,144.26670,17.97,144.28170,64.19,0.14400,46.22,341.67,
495,144.40590,58.53,144.41070,-7.03,144.42570,58.53,0.57840,65.56,472.13,
496,144.97590,63.11,144.98910,-46.25,145.00410,63.11,0.05040,109.36,1335.92,
497,145.02990,57.69,145.03950,1.25,145.05210,57.69,0.01950,56.44,372.95,
498,145.05210,53.20,145.05900,16.72,145.07130,53.20,0.19140,36.48,217.28,
499,145.24440,61.51,145.25040,22.97,145.26210,61.51,0.17190,38.55,197.85,
500,145.41510,65.10,145.42230,27.81,145.43670,65.10,0.43110,37.29,280.40,
501,145.84740,60.81,145.85340,15.94,145.86840,60.81,0.22230,44.87,287.05,
502,146.07090,59.96,146.07570,23.13,146.09070,59.96,0.91050,36.84,304.16,
503,146.98140,62.87,146.98620,19.53,147.00120,62.87,0.59160,43.34,274.09,
504,147.57180,60.72,147.57780,-14.69,147.59220,60.72,1.12380,75.41,537.91,
505,148.69800,573.98,148.70160,426.88,148.71660,573.98,2.47140,147.10,2091.28,
506,151.16340,269.84,151.17300,234.22,151.18530,269.84,1.90950,35.62,223.15,
507,153.07500,259.54,153.08250,225.94,153.09090,259.54,1.10190,33.60,182.81,
508,154.17600,261.01,154.18440,226.56,154.19550,261.01,0.70620,34.45,197.37,
509,154.88220,256.04,154.89060,202.66,154.90560,256.04,1.68720,53.39,355.30,
510,156.57060,250.66,156.57780,212.19,156.59040,250.66,0.24060,38.47,233.29,
511,156.81120,256.47,156.81840,215.16,156.83340,256.47,0.88050,41.31,384.54,
512,157.69290,256.11,157.69890,202.34,157.71390,256.11,0.34590,53.77,368.03,
513,158.03880,254.09,158.04480,222.03,158.05410,254.09,0.09570,32.06,161.29,
514,158.13570,248.67,158.14050,215.16,158.15370,248.67,0.88050,33.52,255.87,
515,159.01260,254.06,159.02100,217.19,159.03120,254.06,0.19500,36.87,198.80,
516,159.21120,247.82,159.21600,208.91,159.22950,247.82,0.46890,38.91,269.63,
517,159.67170,248.96,159.68490,211.41,159.69480,248.96,0.17670,37.55,310.26,
518,159.85560,249.25,159.86160,199.22,159.87660,249.25,0.23340,50.04,377.48,
519,160.08450,241.33,160.09500,193.91,160.11000,241.33,0.04440,47.43,349.40,
520,160.12680,240.41,160.13940,205.16,160.15260,240.41,0.72300,35.26,261.53,
521,160.85400,237.97,160.86240,203.75,160.87500,237.97,0.49020,34.22,132.96,
522,161.34030,242.22,161.35260,201.25,161.36520,242.22,0.96810,40.97,348.39,
523,162.31470,233.70,162.32070,201.41,162.32850,233.70,0.27360,32.30,107.26,
524,162.58590,238.31,162.59430,106.88,162.60930,238.31,0.10800,131.44,1257.83,
525,162.68940,234.47,162.70230,163.75,162.71730,234.47,1.11630,70.72,818.07,
526,163.80780,240.91,163.81860,202.19,163.82970,240.91,0.72000,38.73,233.54,
527,164.53140,244.11,164.53860,211.09,164.55150,244.11,0.64740,33.01,198.13,
528,165.17250,234.88,165.18600,194.38,165.20100,234.88,0.60000,40.51,414.08,
529,165.78240,239.88,165.78600,205.00,165.80100,239.88,2.52660,34.88,382.68,
530,168.30450,240.08,168.31260,198.91,168.32580,240.08,0.17910,41.17,281.06,
531,168.48810,235.32,168.49170,190.78,168.50310,235.32,0.74460,44.54,220.94,
532,169.23150,221.45,169.23630,184.06,169.24830,221.45,0.07950,37.39,254.64,
533,169.30530,228.74,169.31580,182.81,169.33080,228.74,0.64920,45.92,381.94,
