NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
293,122.2674,-31.15,122.2752,-42.43,122.2878,-31.15,0.6792,11.28,117.79
294,122.9514,-31.19,122.9544,-53.85,122.967,-31.19,0.0636,22.66,203.53
295,123.0114,-33.41,123.018,-43.75,123.0306,-33.41,1.275,10.34,79.49
296,124.2843,-30.6,124.293,-45.41,124.3056,-30.6,0.258,14.81,123.35
297,124.5462,-30.37,124.551,-48.81,124.5636,-30.37,0.6165,18.44,122.15
298,125.1645,-30.63,125.1675,-51.87,125.1801,-30.63,0.3222,21.24,126.08
299,125.4819,-29.74,125.4897,-45.05,125.5023,-29.74,0.057,15.31,152.8
300,125.5428,-31.92,125.5467,-67.16,125.5593,-31.92,0.0291,35.23,288.61
301,125.5674,-23.97,125.5758,-38.41,125.5884,-23.97,0.0246,14.44,179.63
302,125.5917,-30.01,125.6004,-37.63,125.6064,-30.01,0.3681,7.62,56.99
303,125.9598,-28.71,125.9685,-42.52,125.9811,-28.71,0.2166,13.81,113.8
304,126.1797,-26.94,126.1851,-37.99,126.1977,-26.94,0.633,11.05,116.21
305,126.8103,-28.62,126.8181,-52.05,126.8307,-28.62,0.1362,23.43,202.97
306,126.9507,-27.64,126.9543,-41.97,126.9669,-27.64,0.0777,14.32,138.09
307,127.0269,-29.04,127.032,-41.9,127.0446,-29.04,0.1323,12.86,89.21
308,127.1568,-29.52,127.1643,-46.91,127.1769,-29.52,0.7497,17.39,174.41
309,127.9101,-29.35,127.914,-40.23,127.9266,-29.35,0.4152,10.88,91.46
310,128.3205,-28.97,128.3292,-40.88,128.3418,-28.97,0.3672,11.91,111.78
311,128.6904,-27.14,128.6964,-47.29,128.709,-27.14,0.2412,20.15,166.74
312,128.9304,-29.21,128.9376,-43.84,128.9502,-29.21,1.0299,14.63,142.44
313,129.9591,-27.65,129.9675,-43.69,129.9801,-27.65,0.0528,16.04,172.05
314,130.014,-28.12,130.0203,-48.42,130.0329,-28.12,0.3876,20.3,169.06
315,130.4004,-29.09,130.4079,-45.64,130.4205,-29.09,0.2631,16.56,135.08
316,130.6644,-27.22,130.671,-39.43,130.6836,-27.22,0.066,12.21,89.32
317,130.7292,-26.4,130.737,-41.55,130.7496,-26.4,0.6135,15.15,136.75
318,131.3442,-28.19,131.3505,-51.36,131.3631,-28.19,0.0276,23.17,183.04
319,131.3694,-24.95,131.3781,-79.95,131.3907,-24.95,0.0294,55,398.03
320,131.4,-25.04,131.4075,-34.68,131.4177,-25.04,2.2302,9.65,115.22
321,133.6308,-26.99,133.6377,-39.74,133.6503,-26.99,0.2181,12.75,134.76
322,133.848,-27.68,133.8558,-43.22,133.8684,-27.68,0.3867,15.54,154.74
323,134.2395,-28.62,134.2425,-45.85,134.2551,-28.62,1.1112,17.23,116.81
324,135.348,-27.34,135.3537,-43.11,135.3663,-27.34,0.2952,15.77,111.6
325,135.6429,-28.65,135.6489,-46.31,135.6615,-28.65,0.2043,17.66,219.79
326,135.8484,-29.56,135.8532,-54.36,135.8658,-29.56,0.0819,24.8,171.92
327,135.9273,-29.86,135.9351,-42.64,135.9474,-29.86,0.1713,12.78,74.56
