NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
0,0.06210,-150.60,0.07290,-196.69,0.08190,-150.60,0.02820,46.09,255.90,
1,0.09360,-163.21,0.10110,-198.63,0.10770,-163.21,0.08460,35.42,186.92,
2,0.17100,-158.09,0.18570,-210.56,0.20070,-158.09,0.08130,52.47,907.30,
3,0.25470,-155.56,0.26700,-187.94,0.27420,-155.56,0.01950,32.37,197.38,
4,0.27420,-161.20,0.28650,-205.19,0.29580,-161.20,0.04170,43.98,339.84,
5,0.32100,-159.11,0.32820,-203.31,0.34320,-159.11,0.02490,44.20,377.41,
6,0.34680,-164.77,0.35310,-220.19,0.36150,-164.77,0.04500,55.42,307.00,
7,0.39090,-165.80,0.39810,-210.44,0.40620,-165.80,0.13140,44.64,260.08,
8,0.51630,-161.75,0.52950,-214.25,0.54000,-161.75,0.02220,52.50,404.45,
9,0.54000,-159.55,0.55170,-271.50,0.56580,-159.55,0.03300,111.95,1028.86,
10,0.57390,-170.70,0.58470,-205.69,0.59670,-170.70,0.06600,34.99,213.95,
11,0.63720,-148.83,0.65070,-206.13,0.66090,-148.83,0.02280,57.29,379.80,
12,0.66570,-170.12,0.67350,-208.56,0.68040,-170.12,0.03870,38.44,200.35,
13,0.70710,-166.34,0.71220,-219.81,0.72270,-166.34,0.08640,53.47,205.92,
14,0.78600,-148.26,0.79860,-201.31,0.81360,-148.26,0.15390,53.06,528.27,
15,0.94500,-178.20,0.95250,-215.56,0.96000,-178.20,0.06810,37.36,213.77,
16,1.00980,-153.64,1.02060,-231.12,1.03470,-153.64,0.04800,77.48,871.79,
17,1.05900,-141.26,1.06860,-190.25,1.08360,-141.26,0.06540,48.99,493.58,
18,1.11930,-156.57,1.13400,-229.38,1.14390,-156.57,0.02640,72.80,886.45,
19,1.14930,-155.48,1.16040,-198.13,1.16910,-155.48,0.08340,42.65,187.98,
20,1.23030,-141.47,1.24380,-184.69,1.25880,-141.47,0.03660,43.21,530.79,
21,1.26840,-139.07,1.28040,-191.81,1.29540,-139.07,0.08010,52.74,636.80,
22,1.35330,-140.86,1.36050,-195.13,1.37550,-140.86,0.04080,54.27,538.07,
23,1.39500,-181.45,1.40130,-223.69,1.41210,-181.45,0.14850,42.24,286.06,
24,1.53690,-149.96,1.54980,-196.81,1.56180,-149.96,0.05100,46.85,473.93,
25,1.59120,-141.70,1.60080,-200.50,1.61580,-141.70,0.05580,58.80,435.35,
26,1.64310,-144.26,1.65660,-194.56,1.67160,-144.26,0.05340,50.30,597.27,
27,1.70340,-182.05,1.71000,-218.00,1.71750,-182.05,0.03570,35.95,263.32,
28,1.73460,-161.96,1.74570,-215.38,1.76070,-161.96,0.04230,53.41,549.81,
29,1.77900,-171.53,1.78800,-222.13,1.79850,-171.53,0.01980,50.60,384.45,
30,1.79850,-179.21,1.80780,-219.94,1.81500,-179.21,0.03960,40.72,203.93,
31,1.83870,-155.08,1.84740,-190.50,1.86240,-155.08,0.07920,35.42,448.05,
32,1.92060,-177.55,1.92660,-219.50,1.93410,-177.55,0.22410,41.95,218.94,
33,2.14290,-174.04,2.15070,-218.25,2.15880,-174.04,0.01290,44.21,363.37,
34,2.15880,-185.32,2.16360,-217.63,2.17110,-185.32,0.15540,32.30,118.40,
35,2.30760,-141.00,2.31900,-189.63,2.33400,-141.00,0.15330,48.62,479.09,
36,2.45880,-150.88,2.47230,-204.75,2.48730,-150.88,0.02070,53.87,657.92,
37,2.48940,-171.39,2.49300,-215.13,2.50050,-171.39,0.09510,43.73,199.96,
38,2.58360,-150.86,2.58810,-191.44,2.59680,-150.86,0.04590,40.58,154.64,
39,2.62980,-158.92,2.63400,-192.06,2.64390,-158.92,0.06870,33.15,81.27,
40,2.69520,-144.41,2.70270,-191.62,2.71170,-144.41,0.01380,47.21,296.37,
41,2.71170,-161.73,2.71650,-194.56,2.72610,-161.73,0.03180,32.83,231.82,
42,2.73540,-143.39,2.74830,-178.13,2.76300,-143.39,0.18630,34.74,324.01,
43,2.92830,-170.63,2.93460,-207.63,2.93760,-170.63,0.01530,36.99,159.03,
44,2.93760,-177.97,2.94990,-218.19,2.95710,-177.97,0.05790,40.22,233.71,
45,2.99460,-162.88,3.00780,-242.69,3.02280,-162.88,0.07020,79.81,820.91,
46,3.06720,-149.81,3.07800,-222.75,3.09300,-149.81,0.02430,72.94,865.94,
47,3.09540,-177.87,3.10230,-227.81,3.11400,-177.87,0.03720,49.94,248.71,
48,3.12630,-168.73,3.13950,-241.69,3.15150,-168.73,0.07080,72.96,554.21,
49,3.20490,-160.26,3.21030,-195.00,3.22050,-160.26,0.15720,34.74,161.13,
50,3.36150,-145.55,3.36750,-184.19,3.38250,-145.55,0.06030,38.64,320.48,
51,3.41430,-138.70,3.42780,-185.31,3.44280,-138.70,0.08760,46.62,666.96,
52,3.51180,-157.19,3.51540,-200.31,3.52410,-157.19,0.16620,43.12,195.11,
53,3.67440,-142.64,3.68160,-191.19,3.69660,-142.64,0.03210,48.55,449.18,
54,3.70140,-155.08,3.71370,-221.94,3.72510,-155.08,0.06900,66.86,553.11,
55,3.77460,-150.80,3.78270,-210.50,3.79170,-150.80,0.05130,59.70,493.08,
56,3.82770,-146.95,3.83400,-203.88,3.84900,-146.95,0.07950,56.93,452.31,
57,3.90030,-134.70,3.91350,-171.81,3.92730,-134.70,0.08790,37.11,424.99,
58,3.99540,-152.17,4.00140,-190.88,4.00890,-152.17,0.01680,38.70,178.82,
59,4.00890,-156.78,4.01820,-239.50,4.03170,-156.78,0.16350,82.72,775.73,
60,4.17150,-161.39,4.18170,-225.88,4.19130,-161.39,0.03570,64.49,487.03,
61,4.20900,-136.83,4.21740,-187.50,4.23090,-136.83,0.02490,50.67,468.42,
62,4.23090,-157.28,4.24230,-196.94,4.25070,-157.28,0.02130,39.66,248.02,
63,4.25340,-155.13,4.26360,-191.06,4.27230,-155.13,0.08760,35.93,155.62,
64,4.33830,-158.23,4.35120,-209.13,4.36350,-158.23,0.03690,50.89,429.37,
65,4.37550,-177.90,4.38810,-227.13,4.39830,-177.90,0.05400,49.23,295.63,
66,4.43490,-145.81,4.44210,-196.75,4.45050,-145.81,0.04740,50.94,268.27,
67,4.47630,-154.58,4.48950,-213.00,4.49820,-154.58,0.21870,58.42,428.11,
68,4.69830,-160.57,4.70820,-199.50,4.72320,-160.57,0.03240,38.93,307.78,
69,4.73130,-175.12,4.74060,-220.13,4.74750,-175.12,0.12870,45.01,350.94,
70,4.85610,-148.86,4.86930,-197.13,4.88430,-148.86,0.03210,48.27,615.31,
71,4.89540,-152.61,4.90140,-204.44,4.91640,-152.61,0.07500,51.83,573.38,
72,4.96320,-152.91,4.97640,-200.56,4.99140,-152.91,0.12450,47.65,529.51,
73,5.08800,-146.79,5.10090,-195.81,5.11590,-146.79,0.06180,49.02,531.01,
74,5.15520,-158.79,5.16270,-236.87,5.17290,-158.79,0.05520,78.08,550.91,
75,5.20590,-144.13,5.21790,-177.19,5.22990,-144.13,0.16440,33.06,267.46,
76,5.37450,-145.32,5.38230,-177.69,5.39220,-145.32,0.03660,32.37,249.94,
77,5.41290,-136.87,5.41890,-174.69,5.42850,-136.87,0.03540,37.82,197.98,
78,5.44950,-143.57,5.45430,-196.62,5.46840,-143.57,0.23940,53.06,400.39,
79,5.68410,-136.92,5.69370,-175.31,5.70090,-136.92,0.04740,38.39,171.96,
80,5.73000,-133.97,5.74110,-175.63,5.74770,-133.97,0.01920,41.65,325.27,
81,5.74770,-143.09,5.76030,-241.38,5.77530,-143.09,0.16470,98.28,816.73,
82,5.92020,-139.21,5.92500,-185.94,5.93400,-139.21,0.06540,46.73,231.14,
83,5.98200,-143.48,5.99040,-219.13,6.00540,-143.48,0.08250,75.64,890.00,
84,6.05910,-146.01,6.07290,-187.13,6.08550,-146.01,0.16800,41.12,404.84,
85,6.22920,-140.29,6.24090,-189.56,6.25590,-140.29,0.12330,49.27,397.64,
86,6.35700,-130.13,6.36420,-173.25,6.37890,-130.13,0.04170,43.12,269.90,
87,6.39360,-133.78,6.40590,-173.81,6.42090,-133.78,0.04530,40.04,410.81,
88,6.44190,-149.53,6.45120,-188.94,6.46350,-149.53,0.08790,39.40,254.80,
89,6.52860,-162.33,6.53910,-241.25,6.55410,-162.33,0.03480,78.92,1039.65,
90,6.56100,-159.10,6.57390,-200.75,6.58290,-159.10,0.04080,41.65,355.04,
91,6.60180,-151.20,6.61470,-191.62,6.62970,-151.20,0.08400,40.43,439.23,
92,6.69150,-150.27,6.69870,-209.38,6.70590,-150.27,0.19830,59.10,256.02,
93,6.88530,-153.14,6.89700,-196.19,6.90720,-153.14,0.09930,43.05,447.98,
94,6.98310,-149.44,6.99630,-204.69,7.00560,-149.44,0.20010,55.24,353.57,
95,7.18890,-157.29,7.19640,-214.00,7.21140,-157.29,0.06030,56.71,607.11,
96,7.24290,-137.90,7.25670,-191.88,7.27170,-137.90,0.09180,53.97,869.38,
97,7.34370,-135.63,7.34850,-199.63,7.36350,-135.63,0.04380,63.99,840.39,
98,7.37940,-155.93,7.39230,-204.75,7.40250,-155.93,0.32370,48.82,335.60,
99,7.70520,-143.77,7.71600,-191.94,7.72740,-143.77,0.10830,48.17,384.24,
100,7.81140,-145.00,7.82430,-190.63,7.83090,-145.00,0.01380,45.63,381.55,
101,7.83090,-155.49,7.83810,-218.69,7.84770,-155.49,0.05640,63.20,424.25,
102,7.88130,-148.72,7.89450,-195.94,7.90950,-148.72,0.06330,47.22,444.72,
103,7.95180,-137.76,7.95780,-171.19,7.96650,-137.76,0.06360,33.43,153.37,
104,8.01390,-143.89,8.02140,-203.81,8.03460,-143.89,0.04920,59.92,418.36,
105,8.05710,-143.18,8.07060,-191.81,8.08560,-143.18,0.04200,48.63,740.43,
106,8.10810,-164.66,8.11260,-198.88,8.12160,-164.66,0.19200,34.21,133.96,
107,8.29140,-141.92,8.30460,-220.88,8.31960,-141.92,0.06270,78.95,707.29,
108,8.36250,-142.62,8.36730,-220.13,8.38230,-142.62,0.14670,77.50,611.17,
109,8.50200,-150.19,8.51400,-239.00,8.52900,-150.19,0.04980,88.81,1049.41,
110,8.55630,-147.64,8.56380,-198.06,8.57280,-147.64,0.03180,50.42,293.83,
111,8.58870,-150.27,8.59560,-200.75,8.61060,-150.27,0.07620,50.48,367.76,
112,8.66010,-138.74,8.67180,-210.75,8.68680,-138.74,0.10950,72.01,612.90,
113,8.76810,-143.53,8.78130,-180.06,8.78850,-143.53,0.04170,36.53,242.38,
114,8.81130,-183.43,8.82300,-265.75,8.83170,-183.43,0.10440,82.32,691.78,
115,8.91300,-151.30,8.92740,-205.13,8.94240,-151.30,0.03300,53.82,709.01,
116,8.95440,-153.34,8.96040,-205.06,8.97120,-153.34,0.15690,51.73,390.56,
