ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,16,-5.0,down,648.433,0.057834189829810485,0.0491547905046213
cell4_01_17_03,17_03,cell4_17_03,1,10,21,17,-4.0,cell,619.42,0.0050243102890462485,619.42
cell4_01_17_03,17_03,cell4_17_03,1,10,21,17,-4.0,up,453.965,0.006590035839979335,-0.04498782228825312
cell4_01_17_03,17_03,cell4_17_03,1,10,21,17,-4.0,down,636.96,0.03911748099494649,0.03392424347671918
cell4_01_17_03,17_03,cell4_17_03,1,10,21,18,-3.0,cell,615.592,-0.0011867146371531696,615.592
cell4_01_17_03,17_03,cell4_17_03,1,10,21,18,-3.0,up,451.273,0.0022579890576875593,-0.044747582428149135
cell4_01_17_03,17_03,cell4_17_03,1,10,21,18,-3.0,down,626.787,0.022521553253547353,0.02373793248363535
cell4_01_17_03,17_03,cell4_17_03,1,10,21,19,-2.0,cell,618.752,0.0039404637240772625,618.752
cell4_01_17_03,17_03,cell4_17_03,1,10,21,19,-2.0,up,486.817,0.05968950403392636,0.02522900070754316
cell4_01_17_03,17_03,cell4_17_03,1,10,21,19,-2.0,down,611.2,-0.002906612057097301,-0.006818749469151
cell4_01_17_03,17_03,cell4_17_03,1,10,21,20,-1.0,cell,611.113,-0.008454003206757908,611.113
cell4_01_17_03,17_03,cell4_17_03,1,10,21,20,-1.0,up,476.384,0.04336513868957132,0.015798125079125883
cell4_01_17_03,17_03,cell4_17_03,1,10,21,20,-1.0,down,603.84,-0.014913495786252695,-0.0065131147436900206
cell4_01_17_03,17_03,cell4_17_03,1,10,21,21,0.0,cell,606.663,-0.01567423855722496,606.663
cell4_01_17_03,17_03,cell4_17_03,1,10,21,21,0.0,up,466.104,0.026736425330043202,0.0011682863977426135
cell4_01_17_03,17_03,cell4_17_03,1,10,21,21,0.0,down,594.139,-0.030739416853716898,-0.015303634515935628
cell4_01_17_03,17_03,cell4_17_03,1,10,21,22,1.0,cell,601.134,-0.024645178164580443,601.134
cell4_01_17_03,17_03,cell4_17_03,1,10,21,22,1.0,up,468.107,0.03031603602524562,0.014718564377232313
cell4_01_17_03,17_03,cell4_17_03,1,10,21,22,1.0,down,594.24,-0.030574648476455392,-0.00607784299579788
cell4_01_17_03,17_03,cell4_17_03,1,10,21,23,2.0,cell,597.161,-0.03109146918646939,597.161
cell4_01_17_03,17_03,cell4_17_03,1,10,21,23,2.0,up,532.64,0.13858406694342065,0.16228893623698165
