ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_03_3_04,3_04,cell4_3_04,3,50,21,1,-20.0,cell,826.768,0.007446963809223149,826.768
cell4_03_3_04,3_04,cell4_3_04,3,50,21,1,-20.0,up,553.242,0.017654238669082004,0.0021716069527705317
cell4_03_3_04,3_04,cell4_3_04,3,50,21,1,-20.0,down,1061.604,0.005972036243284797,-0.0014720016042379114
cell4_03_3_04,3_04,cell4_3_04,3,50,21,2,-19.0,cell,823.37,0.0033063768694483082,823.37
cell4_03_3_04,3_04,cell4_3_04,3,50,21,2,-19.0,up,517.727,-0.025406793931272608,-0.058291726541152854
cell4_03_3_04,3_04,cell4_3_04,3,50,21,2,-19.0,down,1055.743,0.0004181742529173938,-0.0028866498793379113
cell4_03_3_04,3_04,cell4_3_04,3,50,21,3,-18.0,cell,834.777,0.017206222432135602,834.777
cell4_03_3_04,3_04,cell4_3_04,3,50,21,3,-18.0,up,584.606,0.055056135901679064,0.048825902008609603
cell4_03_3_04,3_04,cell4_3_04,3,50,21,3,-18.0,down,1071.93,0.015756915771101367,-0.00143276827665161
cell4_03_3_04,3_04,cell4_3_04,3,50,21,4,-17.0,cell,819.105,-0.00189068119357097,819.105
cell4_03_3_04,3_04,cell4_3_04,3,50,21,4,-17.0,up,550.515,0.014489823488669777,0.006561211268124768
cell4_03_3_04,3_04,cell4_3_04,3,50,21,4,-17.0,down,1051.973,-0.0031542638470117373,-0.0012739543725957803
cell4_03_3_04,3_04,cell4_3_04,3,50,21,5,-16.0,cell,819.053,-0.001954045090236178,819.053
cell4_03_3_04,3_04,cell4_3_04,3,50,21,5,-16.0,up,533.97,-0.00570996953404442,-0.0236276703203693
cell4_03_3_04,3_04,cell4_3_04,3,50,21,5,-16.0,down,1054.115,-0.0011245125446116247,0.0008231617490064469
cell4_03_3_04,3_04,cell4_3_04,3,50,21,6,-15.0,cell,824.526,0.004715005033774227,824.526
cell4_03_3_04,3_04,cell4_3_04,3,50,21,6,-15.0,up,577.515,0.04714064428373011,0.048985595370863846
cell4_03_3_04,3_04,cell4_3_04,3,50,21,6,-15.0,down,1061.378,0.0057578794765515365,0.001029983793774605
cell4_03_3_04,3_04,cell4_3_04,3,50,21,7,-14.0,cell,815.363,-0.006450444680515402,815.363
cell4_03_3_04,3_04,cell4_3_04,3,50,21,7,-14.0,up,556.697,0.022137998720208118,0.022535728529433856
cell4_03_3_04,3_04,cell4_3_04,3,50,21,7,-14.0,down,1047.918,-0.006996766896139834,-0.0005578529981401226
cell4_03_3_04,3_04,cell4_3_04,3,50,21,8,-13.0,cell,813.386,-0.008859491290266776,813.386
