TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
12.7484,-30,12.753,-36.09,12.7566,-29.84,5.6786,6.09,28.91,180313_s47,-70ctrl
18.4296,-32.81,18.4316,-39.53,18.4422,-32.34,2.0258,6.72,40.31,180313_s47,-70ctrl
20.4526,-30.62,20.4574,-45,20.4676,-34.38,8.797,14.38,135.66,180313_s47,-70ctrl
29.253,-30.94,29.2544,-35.16,29.2568,-29.84,9.7108,4.22,4.84,180313_s47,-70ctrl
38.9606,-30.62,38.9652,-35.31,38.9692,-29.84,1.2428,4.69,19.97,180313_s47,-70ctrl
40.203,-33.18,40.208,-42.19,40.2172,-35.47,0.2682,9.01,77.56,180313_s47,-70ctrl
40.4748,-29.74,40.4762,-37.03,40.49,-30.47,0,7.29,59.89,180313_s47,-70ctrl
42.3818,-30.94,40.4762,-37.03,42.3912,-30.78,2.357,6.09,31.53,180313_s47,-70ctrl
42.8264,-34.84,42.8332,-41.56,42.843,-35,0.1636,6.72,57.72,180313_s47,-70ctrl
42.9926,-32.29,42.9968,-39.38,43.0018,-30.62,0.5694,7.08,30.49,180313_s47,-70ctrl
43.5628,-30.42,43.5662,-42.97,43.5756,-32.5,0,12.55,83.61,180313_s47,-70ctrl
48.003,-31.35,43.5662,-42.97,48.0108,-31.25,0,11.61,28.04,180313_s47,-70ctrl
48.3388,-32.76,43.5662,-42.97,48.3542,-31.09,12.7576,10.21,26.06,180313_s47,-70ctrl
56.3206,-31.67,56.3238,-38.91,56.3372,-32.5,5.8958,7.24,86.38,180313_s47,-70ctrl
62.2168,-30.94,62.2196,-41.25,62.228,-31.09,0,10.31,56.78,180313_s47,-70ctrl
64.1998,-32.14,62.2196,-41.25,64.2074,-30.62,17.7388,9.11,11.88,180313_s47,-70ctrl
79.9512,-29.64,79.9584,-36.88,79.964,-30.94,6.121,7.24,66.15,180313_s47,-70ctrl
86.0756,-32.24,86.0794,-37.5,86.0866,-31.56,0,5.26,20.42,180313_s47,-70ctrl
205.2386,-31.56,205.2408,-37.81,205.2538,-31.09,3.8964,6.25,57.91,180313_s47,-70mid
209.1296,-35.16,209.1372,-49.06,209.1452,-40.94,4.0348,13.91,145.78,180313_s47,-70mid
213.1682,-31.15,213.172,-37.66,213.1796,-31.87,28.8764,6.51,43.9,180313_s47,-70mid
242.0446,-29.79,242.0484,-36.88,242.0568,-31.25,2.3628,7.08,51.61,180313_s47,-70mid
244.4088,-31.15,244.4112,-38.44,244.421,-31.56,6.8924,7.29,46.01,180313_s47,-70mid
251.3014,-32.19,251.3036,-39.53,251.3116,-32.5,3.311,7.34,37.94,180313_s47,-70mid
254.6098,-30.94,254.6146,-37.97,254.6166,-29.84,1.5594,7.03,21.22,180313_s47,-70mid
256.1712,-32.14,256.174,-35.63,256.1754,-30.78,0.5596,3.49,5.85,180313_s47,-70mid
256.729,-31.41,256.7336,-37.97,256.7374,-30.94,14.3134,6.56,23.63,180313_s47,-70mid
271.0402,-32.71,271.047,-43.91,271.0552,-34.38,0,11.2,104.71,180313_s47,-70mid
276.9622,-31.87,271.047,-43.91,276.9734,-30.94,0,12.03,14.84,180313_s47,-70mid
280.7654,-30.26,271.047,-43.91,280.7748,-31.25,11.5226,13.65,37.13,180313_s47,-70mid
282.5638,-32.34,282.5696,-36.72,282.5738,-30.78,6.3176,4.38,16.94,180313_s47,-70mid
288.8844,-32.4,288.8872,-38.44,288.9,-32.81,5.1376,6.04,53.24,180313_s47,-70mid
294.0186,-32.97,294.0248,-36.72,294.0312,-32.5,3.643,3.75,29,180313_s47,-70mid
297.6652,-30.89,297.6678,-37.66,297.677,-30.78,0,6.77,32.31,180313_s47,-70mid
339.5944,4.9,339.6,2.19,339.603,7.34,1.2164,2.71,8.8,180313_s47,-40mid
340.813,8.23,340.8164,0,340.8298,5.94,17.7162,8.23,105.68,180313_s47,-40mid
358.5252,4.06,358.5326,-2.34,358.5406,4.69,24.6912,6.41,58.5,180313_s47,-40mid
383.2176,2.24,383.2238,-2.19,383.2402,0.16,10.9864,4.43,66.94,180313_s47,-40mid
394.208,7.24,394.2102,-2.81,394.2234,3.59,0.711,10.05,107.75,180313_s47,-40mid
394.9184,5.26,394.9212,0.16,394.9274,5.78,3.196,5.1,21.58,180313_s47,-40mid
398.1142,5.52,398.1172,0,398.125,5.63,0,5.52,39.2,180313_s47,-40mid
508.7254,3.75,508.7292,-3.75,508.7408,1.87,5.8598,7.5,78.66,180313_s47,-40post
514.5854,4.95,514.589,-3.75,514.5948,5,43.8018,8.7,46.59,180313_s47,-40post
558.3878,3.91,558.3908,-3.75,558.3988,2.66,2.5036,7.66,49.72,180313_s47,-40post
560.8896,3.54,560.8944,-2.66,560.8952,4.06,0,6.2,16.17,180313_s47,-40post
612.0862,-38.65,612.0922,-49.53,612.1016,-41.88,7.1296,10.89,113.91,180313_s47,-70post
619.217,-39.48,619.2218,-44.06,619.2306,-38.44,1.7176,4.58,21.25,180313_s47,-70post
