TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
0.2646,-18.85,0.2664,-34.53,0.2722,-17.81,0,15.68,43.19,180213_s50,-70ctrl
2.6936,-17.03,0.2664,-34.53,2.6996,-17.19,0,17.5,29.91,180213_s50,-70ctrl
2.872,-15.42,0.2664,-34.53,2.8814,-16.88,2.9546,19.11,61.19,180213_s50,-70ctrl
3.2196,-19.69,3.221,-34.69,3.2294,-17.5,1.4446,15,50.75,180213_s50,-70ctrl
4.6602,-18.13,4.6656,-25.78,4.6714,-15.94,1.2178,7.66,22.31,180213_s50,-70ctrl
5.8798,-18.18,5.8834,-28.75,5.8914,-16.72,2.462,10.57,52.85,180213_s50,-70ctrl
8.3432,-18.49,8.3454,-33.44,8.351,-17.97,0.3962,14.95,44.02,180213_s50,-70ctrl
8.7398,-19.38,8.7416,-31.56,8.7458,-17.66,0.6108,12.19,34.03,180213_s50,-70ctrl
9.3506,-18.39,9.3524,-30.31,9.3578,-17.66,0.072,11.93,29.98,180213_s50,-70ctrl
9.4228,-18.23,9.4244,-31.25,9.432,-16.72,1.071,13.02,49.52,180213_s50,-70ctrl
10.4934,-17.92,10.4954,-28.75,10.5,-16.25,0,10.83,24.45,180213_s50,-70ctrl
10.7516,-16.09,10.4954,-28.75,10.7622,-18.44,0.4418,12.66,92.31,180213_s50,-70ctrl
10.9358,-21.61,10.9372,-37.97,10.9458,-17.19,2.6952,16.35,29.25,180213_s50,-70ctrl
13.6304,-17.19,13.6324,-26.72,13.6368,-17.03,0.3452,9.53,30.38,180213_s50,-70ctrl
13.9722,-18.65,13.9776,-30.47,13.9856,-18.44,0.4086,11.82,80.39,180213_s50,-70ctrl
14.3838,-20.31,14.3862,-27.81,14.3886,-15.16,0.2226,7.5,5.59,180213_s50,-70ctrl
14.6064,-20.94,14.6088,-25.94,14.623,-18.91,0.1524,5,51.38,180213_s50,-70ctrl
14.7562,-18.75,14.7612,-28.91,14.7698,-17.5,1.985,10.16,42,180213_s50,-70ctrl
16.7438,-18.91,16.7462,-37.34,16.7498,-18.28,2.7178,18.44,53.22,180213_s50,-70ctrl
19.4628,-19.22,19.464,-30.94,19.4712,-16.09,2.5396,11.72,30.66,180213_s50,-70ctrl
22.002,-18.44,22.0036,-27.19,22.0096,-17.03,0,8.75,20.53,180213_s50,-70ctrl
22.3074,-17.08,22.0036,-27.19,22.3196,-14.84,1.3094,10.1,59.73,180213_s50,-70ctrl
