TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
1.0928,-58.33,1.0952,-69.69,1.1024,-57.03,0.4694,11.35,49.99,210213_s22,-70ctrl
1.563,-56.41,1.5646,-107.66,1.5742,-58.75,4.4656,51.25,222.22,210213_s22,-70ctrl
6.027,-55.26,6.0302,-66.56,6.0412,-52.97,3.8658,11.3,84.37,210213_s22,-70ctrl
9.893,-58.91,9.896,-83.75,9.9078,-57.97,0.6824,24.84,128.88,210213_s22,-70ctrl
10.5752,-56.72,10.5784,-69.06,10.5824,-54.22,4.0912,12.34,34.03,210213_s22,-70ctrl
14.665,-58.33,14.6696,-67.19,14.6784,-56.88,2.2742,8.85,66.82,210213_s22,-70ctrl
16.9426,-56.98,16.9438,-73.59,16.9538,-55.47,1.8798,16.61,71.19,210213_s22,-70ctrl
18.8182,-58.33,18.8236,-68.28,18.834,-54.84,0.423,9.95,64.42,210213_s22,-70ctrl
19.2436,-56.82,19.2466,-73.28,19.2592,-58.91,0,16.46,146.45,210213_s22,-70ctrl
22.7298,-56.88,19.2466,-73.28,22.7398,-55.63,3.9754,16.41,43.47,210213_s22,-70ctrl
23.22,-55.89,23.222,-68.13,23.231,-55,1.0906,12.24,50.58,210213_s22,-70ctrl
24.3108,-59.11,24.3126,-101.56,24.323,-59.69,3.4836,42.45,185.17,210213_s22,-70ctrl
27.7942,-56.61,27.7962,-77.81,27.8026,-56.41,0.1076,21.2,65.8,210213_s22,-70ctrl
27.9024,-57.34,27.9038,-75.78,27.9172,-57.5,0.0618,18.44,89.28,210213_s22,-70ctrl
27.963,-56.51,27.9656,-72.34,27.9722,-60.16,0.0204,15.83,83.05,210213_s22,-70ctrl
27.9848,-57.19,27.986,-83.13,27.9902,-59.53,0.0072,25.94,66.16,210213_s22,-70ctrl
27.9908,-62.08,27.9932,-70.94,27.9974,-56.25,0.0828,8.85,17.61,210213_s22,-70ctrl
28.0724,-58.39,28.076,-72.5,28.0826,-56.41,0,14.11,54.26,210213_s22,-70ctrl
28.1686,-60.26,28.076,-72.5,28.1828,-53.28,0.2576,12.24,16.16,210213_s22,-70ctrl
28.332,-58.7,28.3336,-108.75,28.3416,-59.22,6.215,50.05,184.32,210213_s22,-70ctrl
34.5464,-61.04,34.5486,-70.16,34.5602,-56.56,2.8298,9.11,39.26,210213_s22,-70ctrl
37.3764,-53.96,37.3784,-105.94,37.3876,-59.37,0.69,51.98,247.22,210213_s22,-70ctrl
38.067,-58.96,38.0684,-98.75,38.0762,-58.13,0.796,39.79,135.07,210213_s22,-70ctrl
38.8614,-55.52,38.8644,-69.06,38.8742,-53.44,0.1854,13.54,68.76,210213_s22,-70ctrl
39.0482,-58.96,39.0498,-86.09,39.0568,-58.28,2.0532,27.14,87.32,210213_s22,-70ctrl
41.1006,-56.2,41.103,-91.41,41.115,-58.59,4.0586,35.21,187.79,210213_s22,-70ctrl
45.1594,-60.57,45.1616,-92.19,45.169,-60.16,0,31.61,112.42,210213_s22,-70ctrl
46.994,-65.57,45.1616,-92.19,47.0088,-58.28,3.828,26.61,0.66,210213_s22,-70ctrl
48.9842,-64.43,48.9896,-70.31,48.9938,-58.13,0.472,5.89,0,210213_s22,-70ctrl
49.458,-57.24,49.4616,-69.69,49.4684,-56.25,1.4402,12.45,46.48,210213_s22,-70ctrl
50.8998,-58.75,50.9018,-75.16,50.9094,-56.72,0.4884,16.41,48.19,210213_s22,-70ctrl
