TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
0.9526,-26.15,0.9544,-33.44,0.9588,-25,0.927,7.29,25.29,190213_s22,-70ctrl
1.8784,-25.89,1.8814,-38.75,1.8836,-25.16,0,12.86,24.34,190213_s22,-70ctrl
2.7282,-27.34,1.8814,-38.75,2.734,-24.53,1.3494,11.41,5.78,190213_s22,-70ctrl
3.2294,-26.46,3.2308,-45.16,3.2364,-25.78,1.608,18.7,39.53,190213_s22,-70ctrl
4.8366,-25.47,4.8388,-36.88,4.8444,-25.47,0.6142,11.41,44.06,190213_s22,-70ctrl
5.4502,-25.99,5.453,-39.38,5.4592,-24.38,1.5936,13.39,60.08,190213_s22,-70ctrl
7.0438,-26.46,7.0466,-36.25,7.0536,-25,0,9.79,42.04,190213_s22,-70ctrl
11.3392,-26.46,11.3414,-48.13,11.348,-27.19,0.1978,21.67,96.06,190213_s22,-70ctrl
11.538,-26.82,11.5392,-41.72,11.5482,-25.63,0.146,14.9,47.32,190213_s22,-70ctrl
11.6838,-25.21,11.6852,-41.88,11.6906,-25.63,2.064,16.67,48.45,190213_s22,-70ctrl
13.7456,-26.98,13.7492,-35.63,13.7522,-25.16,0.0598,8.65,18.2,190213_s22,-70ctrl
13.806,-26.72,13.809,-35,13.8134,-24.84,0.6246,8.28,15.75,190213_s22,-70ctrl
14.4316,-26.61,14.4336,-39.53,14.4386,-24.69,0.8408,12.92,43.78,190213_s22,-70ctrl
15.273,-26.2,15.2744,-36.88,15.2788,-25,0.1942,10.68,20.06,190213_s22,-70ctrl
15.466,-27.34,15.4686,-43.28,15.474,-26.56,3.3708,15.94,59.19,190213_s22,-70ctrl
18.8366,-26.04,18.8394,-40.16,18.8478,-26.25,0.5578,14.11,70.41,190213_s22,-70ctrl
19.3946,-26.56,19.3972,-37.03,19.4016,-25.47,0.4276,10.47,30.59,190213_s22,-70ctrl
19.8232,-25.99,19.8248,-42.03,19.8318,-25.94,1.5392,16.04,55.7,190213_s22,-70ctrl
21.362,-25.63,21.364,-44.38,21.3734,-25.94,1.4722,18.75,96.5,190213_s22,-70ctrl
22.8334,-25.83,22.8362,-37.34,22.8416,-25.47,0.126,11.51,40.91,190213_s22,-70ctrl
22.9598,-25.52,22.9622,-44.84,22.9698,-25.31,4.1176,19.32,100.19,190213_s22,-70ctrl
27.0778,-25.26,27.0798,-38.75,27.087,-24.69,0,13.49,53.05,190213_s22,-70ctrl
27.107,-26.82,27.0798,-38.75,27.1116,-24.22,0.7396,11.93,12.53,190213_s22,-70ctrl
27.8174,-26.2,27.8194,-38.28,27.8264,-26.72,4.4996,12.08,59.6,190213_s22,-70ctrl
32.317,-25.73,32.319,-42.5,32.3274,-26.88,0.0904,16.77,88.99,190213_s22,-70ctrl
32.4056,-25.89,32.4094,-41.09,32.4158,-26.41,0.0242,15.21,73.57,190213_s22,-70ctrl
32.4306,-27.4,32.4336,-42.97,32.4402,-24.06,1.3174,15.57,47.96,190213_s22,-70ctrl
33.7494,-26.82,33.751,-43.91,33.7572,-24.84,0.9606,17.08,57.07,190213_s22,-70ctrl
34.7098,-26.67,34.7116,-48.59,34.7208,-23.91,2.5322,21.93,103.08,190213_s22,-70ctrl
37.2418,-26.67,37.2438,-47.19,37.2508,-25.63,0.8156,20.52,63.79,190213_s22,-70ctrl
38.0572,-26.72,38.0594,-34.84,38.0646,-24.84,1.0188,8.13,20.22,190213_s22,-70ctrl
39.0762,-25.47,39.0782,-39.38,39.0886,-25.16,2.6304,13.91,56.97,190213_s22,-70ctrl
41.7064,-27.34,41.7086,-35.78,41.7146,-25.63,5.913,8.44,24.5,190213_s22,-70ctrl
47.619,-25.42,47.6216,-44.06,47.6272,-26.41,1.4422,18.65,74.19,190213_s22,-70ctrl
49.061,-23.96,49.0638,-36.09,49.0696,-25.31,0.0886,12.14,58.92,190213_s22,-70ctrl
49.1488,-25.94,49.1524,-37.19,49.1576,-25,1.2428,11.25,44.25,190213_s22,-70ctrl
50.3932,-27.45,50.3952,-39.84,50.4018,-24.84,2.8454,12.4,34.65,190213_s22,-70ctrl
53.238,-25.47,53.2406,-37.5,53.2482,-25.63,0.2322,12.03,53.66,190213_s22,-70ctrl
53.4706,-25.73,53.4728,-40.63,53.48,-25.94,2.5878,14.9,62.94,190213_s22,-70ctrl
56.0584,-26.88,56.0606,-35.78,56.0664,-25.47,4.1438,8.91,25.06,190213_s22,-70ctrl
60.2018,-26.67,60.2044,-34.22,60.2082,-23.28,0.4808,7.55,15.12,190213_s22,-70ctrl
60.6828,-25.36,60.6852,-34.06,60.6904,-25.94,0,8.7,33.88,190213_s22,-70ctrl
60.7022,-26.77,60.6852,-34.06,60.7064,-25.78,8.3064,7.29,15.05,190213_s22,-70ctrl
68.9894,-25.73,68.9916,-38.13,68.9982,-22.97,3.9404,12.4,49.84,190213_s22,-70ctrl
72.9292,-25.26,72.932,-38.28,72.9362,-24.84,1.2034,13.02,35.69,190213_s22,-70ctrl
74.134,-25.42,74.1354,-43.91,74.1424,-25.47,0,18.49,56.79,190213_s22,-70ctrl
74.8394,-24.01,74.1354,-43.91,74.8478,-23.28,2.0308,19.9,35.04,190213_s22,-70ctrl
76.1648,-24.95,76.1662,-41.09,76.175,-24.69,2.2408,16.15,65.35,190213_s22,-70ctrl
78.404,-26.51,78.407,-42.81,78.4156,-26.25,0.9696,16.3,60.65,190213_s22,-70ctrl
79.3736,-25.94,79.3766,-39.06,79.382,-24.69,1.2214,13.13,24.22,190213_s22,-70ctrl
80.5964,-26.77,80.598,-35.63,80.5994,-23.91,2.02,8.85,9.96,190213_s22,-70ctrl
82.6148,-27.34,82.618,-41.72,82.627,-26.88,0,14.37,70.87,190213_s22,-70ctrl
82.9744,-25.73,82.618,-41.72,82.982,-25.31,1.4546,15.99,29.28,190213_s22,-70ctrl
84.07,-26.72,84.0726,-41.88,84.0788,-26.88,0,15.16,57.25,190213_s22,-70ctrl
85.0486,-25.63,84.0726,-41.88,85.0566,-25.16,1.3192,16.25,34.25,190213_s22,-70ctrl
85.3874,-25.26,85.3918,-31.87,85.3982,-24.84,1.213,6.61,28.32,190213_s22,-70ctrl
86.6026,-24.95,86.6048,-35.78,86.6102,-24.53,0.2446,10.83,34.78,190213_s22,-70ctrl
86.8464,-25.52,86.8494,-31.56,86.8558,-24.22,0.4336,6.04,22.69,190213_s22,-70ctrl
87.2814,-27.08,87.283,-46.09,87.2908,-26.56,1.3692,19.01,63.59,190213_s22,-70ctrl
88.649,-24.22,88.6522,-35.78,88.6616,-24.22,3.2366,11.56,60.59,190213_s22,-70ctrl
91.8858,-24.84,91.8888,-32.34,91.8956,-23.91,1.6828,7.5,33.66,190213_s22,-70ctrl
93.57,-26.3,93.5716,-37.97,93.5818,-25.16,1.211,11.67,54.06,190213_s22,-70ctrl
94.78,-24.64,94.7826,-39.53,94.7922,-25.31,0.0482,14.9,82.55,190213_s22,-70ctrl
94.8284,-26.77,94.8308,-35.94,94.8392,-24.84,4.2804,9.17,29.8,190213_s22,-70ctrl
199.531,-25.36,199.534,-34.06,199.5432,-25.31,0.3312,8.7,74.35,190213_s22,-70mid
199.8626,-24.38,199.8652,-37.34,199.8738,-24.06,0.157,12.97,51.66,190213_s22,-70mid
200.0198,-24.22,200.0222,-34.69,200.0278,-24.22,0,10.47,32.84,190213_s22,-70mid
200.0428,-25.42,200.0222,-34.69,200.0514,-23.75,0.688,9.27,15.52,190213_s22,-70mid
200.7068,-24.74,200.7102,-30.94,200.7166,-22.5,0.2196,6.2,23.6,190213_s22,-70mid
