TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
1.209,-21.61,1.2112,-44.06,1.2114,-17.81,0,22.45,6.9,180313_s30,-70ctrl
1.7996,-25.83,1.8048,-30.62,1.8192,-23.91,0.1136,4.79,36.63,180313_s30,-70ctrl
1.9136,-22.24,1.9184,-29.69,1.9298,-22.03,1.2128,7.45,55.21,180313_s30,-70ctrl
3.1238,-20.16,3.1312,-34.69,3.141,-24.53,1.1238,14.53,164.84,180313_s30,-70ctrl
4.2474,-21.77,4.255,-37.03,4.268,-25.78,1.1396,15.26,201.1,180313_s30,-70ctrl
5.3894,-23.39,5.3946,-30.16,5.4022,-23.44,0,6.77,46.27,180313_s30,-70ctrl
6.0356,-20.78,5.3946,-30.16,6.0566,-25,0,9.37,186.53,180313_s30,-70ctrl
6.167,-25.63,5.3946,-30.16,6.1804,-20.94,1.1252,4.53,0,180313_s30,-70ctrl
6.515,-22.76,6.5198,-33.75,6.5338,-24.06,0.3766,10.99,101.27,180313_s30,-70ctrl
6.8918,-22.66,6.8964,-31.56,6.9072,-22.97,0.513,8.91,69.53,180313_s30,-70ctrl
7.4066,-21.82,7.4094,-28.28,7.425,-21.72,0,6.46,78.38,180313_s30,-70ctrl
9.1128,-23.23,9.116,-35,9.133,-22.81,1.2168,11.77,155.69,180313_s30,-70ctrl
10.3286,-21.88,10.3328,-32.03,10.344,-22.03,2.4256,10.16,90.69,180313_s30,-70ctrl
12.7554,-22.86,12.7584,-28.91,12.7714,-21.88,0.2508,6.04,61.28,180313_s30,-70ctrl
13.0038,-20.68,13.0092,-27.66,13.0126,-21.72,0.675,6.98,37.97,180313_s30,-70ctrl
13.6778,-21.56,13.6842,-33.13,13.6954,-22.81,0.8512,11.56,108.34,180313_s30,-70ctrl
14.5318,-20.99,14.5354,-32.03,14.5518,-22.81,0,11.04,119.23,180313_s30,-70ctrl
15.2602,-20.68,14.5354,-32.03,15.2748,-22.5,0,11.35,81.95,180313_s30,-70ctrl
18.9706,-26.46,14.5354,-32.03,18.9928,-23.75,4.477,5.57,33.36,180313_s30,-70ctrl
19.0104,-22.97,19.0124,-29.22,19.0336,-22.5,3.0944,6.25,79.75,180313_s30,-70ctrl
22.0972,-20.1,22.1068,-39.22,22.1206,-27.5,0.1524,19.11,304.45,180313_s30,-70ctrl
22.254,-24.17,22.2592,-30.62,22.2736,-22.5,2.7406,6.46,55.75,180313_s30,-70ctrl
24.9946,-21.35,24.9998,-25.94,25.0016,-20,0.3356,4.58,11.34,180313_s30,-70ctrl
25.3302,-20.63,25.3354,-35.63,25.3484,-24.84,0.2826,15,174.63,180313_s30,-70ctrl
25.6138,-22.4,25.618,-30.78,25.6318,-23.75,0.1672,8.39,106.08,180313_s30,-70ctrl
25.7796,-22.86,25.7852,-27.97,25.7968,-21.41,0.8064,5.1,41.81,180313_s30,-70ctrl
26.589,-21.67,26.5916,-31.41,26.6126,-22.81,0,9.74,106.49,180313_s30,-70ctrl
26.7048,-21.15,26.5916,-31.41,26.7148,-21.72,1.3184,10.26,42.03,180313_s30,-70ctrl
27.9052,-20.47,27.91,-34.38,27.9194,-24.53,0.032,13.91,133.84,180313_s30,-70ctrl
27.9362,-23.8,27.942,-38.75,27.9548,-24.69,2.0496,14.95,159.77,180313_s30,-70ctrl
29.9888,-22.81,29.9916,-33.91,30.0102,-23.75,0,11.09,134.25,180313_s30,-70ctrl
30.2856,-24.01,29.9916,-33.91,30.3034,-22.97,0,9.9,68.59,180313_s30,-70ctrl
34.4812,-23.96,29.9916,-33.91,34.4944,-22.03,8.8568,9.95,23.61,180313_s30,-70ctrl
38.8438,-21.46,38.8484,-38.75,38.8636,-25.78,2.3644,17.29,195.96,180313_s30,-70ctrl
41.209,-21.98,41.2128,-35.16,41.2282,-25.47,0,13.18,170.17,180313_s30,-70ctrl
44.9198,-23.8,41.2128,-35.16,44.937,-22.5,5.2792,11.35,53.16,180313_s30,-70ctrl
46.4862,-24.69,46.492,-36.09,46.5056,-25.47,2.7824,11.41,125.16,180313_s30,-70ctrl
49.2706,-22.03,49.2744,-32.34,49.2902,-23.91,0.6264,10.31,112.97,180313_s30,-70ctrl
