TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
1.7152,-69.48,1.72,-82.03,1.7322,-72.81,10.0428,12.55,149.49,190313_s12,-70ctrl
11.7574,-82.14,11.7628,-86.56,11.7768,-78.75,1.7762,4.43,9.18,190313_s12,-70ctrl
13.5356,-75.94,13.539,-85.63,13.5538,-76.56,5.387,9.69,123.5,190313_s12,-70ctrl
18.9218,-78.75,18.926,-87.97,18.9444,-78.91,8.7504,9.22,122.91,190313_s12,-70ctrl
27.6726,-77.34,27.6764,-85.16,27.6888,-75.78,2.5666,7.81,50.69,190313_s12,-70ctrl
30.2322,-88.44,30.243,-127.03,30.2574,-99.38,1.5152,38.59,639,190313_s12,-70ctrl
31.753,-76.72,31.7582,-82.34,31.766,-74.38,0,5.63,34.22,190313_s12,-70ctrl
33.2472,-73.85,31.7582,-82.34,33.267,-73.91,0,8.49,94.01,190313_s12,-70ctrl
33.8156,-76.98,31.7582,-82.34,33.83,-72.5,2.1174,5.36,0.54,190313_s12,-70ctrl
33.872,-74.17,33.8756,-79.69,33.8856,-70.31,4.587,5.52,8.34,190313_s12,-70ctrl
38.458,-74.69,38.4626,-82.03,38.4714,-73.91,0,7.34,48.84,190313_s12,-70ctrl
43.84,-75.05,38.4626,-82.03,43.8564,-74.38,6.3014,6.98,73.01,190313_s12,-70ctrl
44.7584,-77.76,44.764,-81.25,44.771,-73.44,0,3.49,7.17,190313_s12,-70ctrl
46.2312,-81.41,44.764,-81.25,46.2426,-80.63,2.5342,0.16,33.88,190313_s12,-70ctrl
47.2926,-94.11,47.2982,-101.09,47.3102,-91.88,0.0666,6.98,99.48,190313_s12,-70ctrl
47.3596,-88.23,47.3648,-96.56,47.3748,-82.81,0.3658,8.33,39.43,190313_s12,-70ctrl
47.7266,-87.19,47.7306,-94.69,47.744,-88.28,0.1446,7.5,99.63,190313_s12,-70ctrl
47.8698,-85.05,47.8752,-92.97,47.8904,-84.38,0.6362,7.92,113.17,190313_s12,-70ctrl
48.5062,-86.88,48.5114,-93.28,48.5232,-83.13,0,6.41,37.31,190313_s12,-70ctrl
