TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,Sample,Group
0.0416,-31.15,0.0434,-46.75,0.0488,-31.06,0.7676,15.6,49,110213_s23,-70ctrl
0.809,-35.4,0.811,-69.5,0.8176,-34.5,0,34.1,122.28,110213_s23,-70ctrl
1.0178,-34.27,0.811,-69.5,1.0224,-30.13,0.5148,35.23,3.96,110213_s23,-70ctrl
1.3242,-34.75,1.3258,-51.31,1.333,-34.5,0.2834,16.56,46.29,110213_s23,-70ctrl
1.6068,-38.73,1.6092,-54.13,1.6204,-34.63,0.1484,15.4,35.7,110213_s23,-70ctrl
1.7524,-37.38,1.7576,-43.44,1.7664,-33.19,1.0402,6.06,0,110213_s23,-70ctrl
2.7956,-35.65,2.7978,-69.88,2.804,-36.56,1.2718,34.23,116.32,110213_s23,-70ctrl
4.0674,-34.25,4.0696,-48.31,4.0792,-32.75,0,14.06,45.53,110213_s23,-70ctrl
4.2856,-31.96,4.0696,-48.31,4.3014,-32.19,0.2946,16.35,81.3,110213_s23,-70ctrl
4.3614,-36.08,4.3642,-56.37,4.3686,-34.63,0.5702,20.29,52.81,110213_s23,-70ctrl
4.932,-34.79,4.9344,-49.56,4.94,-32.38,0.4002,14.77,30.61,110213_s23,-70ctrl
5.3326,-34.25,5.3346,-51,5.3408,-33.75,0.717,16.75,38.99,110213_s23,-70ctrl
6.05,-35.46,6.0516,-43.69,6.0602,-32.88,0.6246,8.23,21.11,110213_s23,-70ctrl
6.6734,-34.42,6.6762,-49.06,6.6804,-32.06,0.0844,14.65,40.91,110213_s23,-70ctrl
6.7596,-37.31,6.7606,-67.69,6.7662,-34.31,0.0536,30.38,65.19,110213_s23,-70ctrl
6.811,-33.29,6.8142,-65.81,6.8208,-37.06,0.2164,32.52,163.51,110213_s23,-70ctrl
7.0274,-32.46,7.0306,-44.25,7.0424,-31.94,1.631,11.79,53.57,110213_s23,-70ctrl
8.6596,-37.83,8.6616,-58.06,8.67,-37.31,0.0902,20.23,73.65,110213_s23,-70ctrl
8.7498,-36.69,8.7518,-49.13,8.754,-35.25,0.6378,12.44,15.16,110213_s23,-70ctrl
9.3856,-35.21,9.3896,-44.13,9.3958,-35.44,0,8.92,41.06,110213_s23,-70ctrl
9.5618,-35.54,9.3896,-44.13,9.5678,-31.56,1.511,8.58,12.58,110213_s23,-70ctrl
10.8988,-35.52,10.9006,-69.75,10.9074,-35.5,0.3596,34.23,111.69,110213_s23,-70ctrl
11.2564,-36.85,11.2602,-47.75,11.2644,-34.44,1.5132,10.9,32.22,110213_s23,-70ctrl
12.7716,-34.79,12.7734,-54.38,12.7822,-33.13,0.3308,19.58,60.68,110213_s23,-70ctrl
13.1004,-37.58,13.1042,-48.06,13.116,-33,0.05,10.48,17.18,110213_s23,-70ctrl
13.151,-34.75,13.1542,-52.19,13.1656,-37,1.6064,17.44,148.34,110213_s23,-70ctrl
14.7576,-34.48,14.7606,-76.5,14.768,-35.75,0,42.02,178.97,110213_s23,-70ctrl
15.447,-32.21,14.7606,-76.5,15.4598,-31.75,0.7254,44.29,55.7,110213_s23,-70ctrl
15.484,-32.42,15.486,-58.19,15.493,-33.81,0.278,25.77,100.82,110213_s23,-70ctrl
15.7584,-32.73,15.764,-46.25,15.7668,-31.63,0.5342,13.52,27.25,110213_s23,-70ctrl
16.2962,-34.71,16.2982,-41,16.304,-32.31,0.6568,6.29,12.98,110213_s23,-70ctrl
16.9522,-32.96,16.955,-72.56,16.9628,-36.25,0.6834,39.6,188.43,110213_s23,-70ctrl
17.6332,-38.65,17.6384,-45.94,17.6414,-34.19,0.1528,7.29,0.61,110213_s23,-70ctrl
17.7886,-34.67,17.7912,-51.44,17.799,-33.5,2.4946,16.77,63.96,110213_s23,-70ctrl
20.2834,-33.19,20.2858,-53.19,20.2928,-30.19,0.9762,20,65.81,110213_s23,-70ctrl
21.2602,-36.73,21.262,-52.5,21.268,-33.06,0.3566,15.77,46.98,110213_s23,-70ctrl
21.6172,-37.23,21.6186,-47.19,21.6266,-32.06,0.0522,9.96,10.52,110213_s23,-70ctrl
