ID,stim,mask_region,int,delta
cell4_02_2_2022,1,1,465.8503156278896,0.05609536837425928
cell4_02_2_2022,1,1,480.35884883057344,0.07660207855986105
cell4_02_2_2022,1,1,529.8177343693015,0.10021005594472522
cell4_02_2_2022,1,1,559.3254432597846,0.0934594332070837
cell4_02_2_2022,1,1,567.9144321498529,0.06596327792972173
cell4_02_2_2022,1,1,536.735441202633,0.09678466318955421
cell4_02_2_2022,1,1,592.5386041274647,0.13741093129992427
cell4_02_2_2022,1,1,622.5512558443031,0.1395824583148284
cell4_02_2_2022,1,1,625.8056026494852,0.11028827339761516
cell4_02_2_2022,1,1,613.7265590473224,0.07054078941513087
cell4_02_2_2022,1,1,578.1103006646083,0.08769198292578137
cell4_02_2_2022,1,1,635.6972085965856,0.14521308430138224
cell4_02_2_2022,1,1,665.5875262943279,0.15913422615398617
cell4_02_2_2022,1,1,667.6947581929021,0.1322859927643125
cell4_02_2_2022,1,1,653.0790482444337,0.084156851109806
cell4_02_2_2022,1,1,647.5897592327368,0.10407885376504275
cell4_02_2_2022,1,1,676.018860723976,0.12892401850758822
cell4_02_2_2022,1,1,682.3405796847861,0.11214813372047386
cell4_02_2_2022,1,1,674.8084442763474,0.07057681257826129
cell4_02_2_2022,1,1,664.835016189973,0.062150089558601566
cell4_02_2_2022,1,1,677.6353683198723,0.06219862592102115
cell4_02_2_2022,1,1,682.08775197676,0.04326990438655447
cell4_02_2_2022,1,2,562.5082804317213,0.05523733771944032
cell4_02_2_2022,1,2,481.99163683923524,0.0783155626433249
cell4_02_2_2022,1,2,388.76405112255173,0.09061076338345198
cell4_02_2_2022,1,2,291.8486130659253,0.10095194796599492
cell4_02_2_2022,1,2,658.4329780667173,0.05094827438214285
cell4_02_2_2022,1,2,606.5351151276477,0.0804682629277177
cell4_02_2_2022,1,2,534.9312537975728,0.10529922274384186
cell4_02_2_2022,1,2,445.2925160567799,0.12452332589030075
cell4_02_2_2022,1,2,344.1947917586668,0.1413033707286103
cell4_02_2_2022,1,2,244.265179063739,0.1647416747159834
cell4_02_2_2022,1,2,159.26696671257955,0.2061556019843416
cell4_02_2_2022,1,2,678.7345387674051,0.04689059333536959
cell4_02_2_2022,1,2,638.0027788124977,0.06882383182388808
cell4_02_2_2022,1,2,578.2301412188486,0.0939786595154651
cell4_02_2_2022,1,2,497.1989921131005,0.12157190090403362
cell4_02_2_2022,1,2,398.0517277096597,0.15237342547837207
cell4_02_2_2022,1,2,292.79309760357427,0.19216915670424276
cell4_02_2_2022,1,2,197.33384064448387,0.24557223980831186
cell4_02_2_2022,1,2,123.17531553478402,0.3056579374923616
cell4_02_2_2022,1,2,609.2733028303686,0.06063063091382513
cell4_02_2_2022,1,2,540.4317756089857,0.09608677280271395
cell4_02_2_2022,1,2,448.4529051556986,0.13992963591994562
cell4_02_2_2022,1,2,342.80351970218663,0.1957960372412518
cell4_02_2_2022,1,2,239.30585839689664,0.25997204374989114
cell4_02_2_2022,1,2,152.72212653152383,0.31337268272962415
cell4_02_2_2022,1,2,572.4895539816847,0.06490264265835782
cell4_02_2_2022,1,2,491.2256451414955,0.11882043687381379
cell4_02_2_2022,1,2,388.6964097770744,0.18185127298099818
cell4_02_2_2022,1,2,279.8074575995976,0.24184821109522053
cell4_02_2_2022,1,2,182.1663311193918,0.2734446343829778
cell4_02_2_2022,1,2,526.410485943705,0.10314213884416867
cell4_02_2_2022,1,2,428.49301155738976,0.16714609753381696
cell4_02_2_2022,1,2,316.6067238901973,0.2136425447817884
cell4_02_2_2022,1,2,211.27509015693636,0.2244064001703329
cell4_02_2_2022,1,2,561.4246686557713,0.10273286452160137
cell4_02_2_2022,1,2,466.53727929506795,0.16419808549600867
cell4_02_2_2022,1,2,352.3720446282675,0.19719809836155913
cell4_02_2_2022,1,2,242.5730418616757,0.20083836560624033
cell4_02_2_2022,1,2,153.25580442892485,0.18991340443702864
cell4_02_2_2022,1,2,659.9055871946658,0.05038099420509137
cell4_02_2_2022,1,2,604.4909151148162,0.12184671948385835
cell4_02_2_2022,1,2,509.03333360585884,0.17329395079569274
cell4_02_2_2022,1,2,391.3019382294577,0.19045798820854995
cell4_02_2_2022,1,2,277.9516418885787,0.19213633018005902
cell4_02_2_2022,1,2,183.54795964493238,0.20183058167340623
cell4_02_2_2022,1,2,704.2169989945672,0.08585458590657102
cell4_02_2_2022,1,2,650.9584257820109,0.1481569102309709
cell4_02_2_2022,1,2,553.3901503819687,0.17789383296957564
cell4_02_2_2022,1,2,431.52418362729765,0.17102253392512493
cell4_02_2_2022,1,2,314.13622403844545,0.16220063861882647
cell4_02_2_2022,1,2,214.45211268903958,0.1792827399500098
cell4_02_2_2022,1,2,741.8929139405494,0.05000357797557728
cell4_02_2_2022,1,2,737.0172662177456,0.11362373615632967
