"","group","day","int","clst","int_sd","clst_sd"
"1","cef","3d",14664858.1818182,576.909090909091,10541781.0370901,290.606075141403
"2","cef","7d",7619385.25,589.25,2898472.07324421,202.013557150819
"3","cef","14d",23265099.0909091,1377.54545454545,6708630.58469249,320.720864190767
"4","cont","1d",37541252.35,617.7,21295635.378142,132.53404726413
"5","TBI","3d",9875756.71428571,629,4380139.71040733,292.305205792393
"6","TBI","7d",10920554,603.666666666667,9191242.95907691,368.304933186516
"7","TBI","14d",19546001.6153846,1221.84615384615,11025776.7359974,508.693890624779
