"","id","roi","int","index_app","i_app"
"94","24_05_30_cell2_ch1",2,441.0087,38,"25"
"95","24_05_30_cell2_ch1",2,436.2438,39,"25"
"96","24_05_30_cell2_ch1",2,431.0236,40,"25"
"97","24_05_30_cell2_ch1",2,427.2321,41,"25"
"98","24_05_30_cell2_ch1",2,423.2665,42,"25"
"99","24_05_30_cell2_ch1",2,420.2535,43,"25"
"100","24_05_30_cell2_ch1",2,416.1404,44,"25"
"101","24_05_30_cell2_ch1",2,413.9271,45,"25"
"102","24_05_30_cell2_ch1",2,410.4863,46,"25"
"103","24_05_30_cell2_ch1",2,407.2473,47,"25"
"104","24_05_30_cell2_ch1",2,404.4559,48,"25"
"105","24_05_30_cell2_ch1",2,402.7307,49,"25"
"106","24_05_30_cell2_ch1",2,399.3688,50,"25"
"107","24_05_30_cell2_ch1",2,398.2494,51,"25"
"108","24_05_30_cell2_ch1",2,395.4772,52,"25"
"109","24_05_30_cell2_ch1",2,393.6452,53,"25"
"110","24_05_30_cell2_ch1",2,391.789,54,"25"
"111","24_05_30_cell2_ch1",3,164.245,0,"25"
"112","24_05_30_cell2_ch1",3,163.2071,1,"25"
"113","24_05_30_cell2_ch1",3,163.1375,2,"25"
"114","24_05_30_cell2_ch1",3,162.501,3,"25"
"115","24_05_30_cell2_ch1",3,164.105,4,"25"
"116","24_05_30_cell2_ch1",3,192.2894,5,"25"
"117","24_05_30_cell2_ch1",3,227.004,6,"25"
"118","24_05_30_cell2_ch1",3,261.4299,7,"25"
"119","24_05_30_cell2_ch1",3,291.5062,8,"25"
"120","24_05_30_cell2_ch1",3,318.266,9,"25"
"121","24_05_30_cell2_ch1",3,342.4333,10,"25"
"122","24_05_30_cell2_ch1",3,361.6666,11,"25"
"123","24_05_30_cell2_ch1",3,379.7858,12,"25"
"124","24_05_30_cell2_ch1",3,395.9069,13,"25"
"125","24_05_30_cell2_ch1",3,409.7925,14,"25"
"126","24_05_30_cell2_ch1",3,422.875,15,"25"
"127","24_05_30_cell2_ch1",3,434.7983,16,"25"
"128","24_05_30_cell2_ch1",3,447.3041,17,"25"
"129","24_05_30_cell2_ch1",3,456.539,18,"25"
"130","24_05_30_cell2_ch1",3,469.3277,19,"25"
"131","24_05_30_cell2_ch1",3,479.5019,20,"25"
"132","24_05_30_cell2_ch1",3,490.2377,21,"25"
"133","24_05_30_cell2_ch1",3,469.4327,22,"25"
"134","24_05_30_cell2_ch1",3,418.075,23,"25"
"135","24_05_30_cell2_ch1",3,372.5414,24,"25"
"136","24_05_30_cell2_ch1",3,336.1523,25,"25"
"137","24_05_30_cell2_ch1",3,304.8096,26,"25"
"138","24_05_30_cell2_ch1",3,281.2393,27,"25"
"139","24_05_30_cell2_ch1",3,263.9162,28,"25"
"140","24_05_30_cell2_ch1",3,249.9068,29,"25"
"141","24_05_30_cell2_ch1",3,237.3162,30,"25"
"142","24_05_30_cell2_ch1",3,228.5234,31,"25"
"143","24_05_30_cell2_ch1",3,221.5377,32,"25"
"144","24_05_30_cell2_ch1",3,214.9025,33,"25"
"145","24_05_30_cell2_ch1",3,209.0612,34,"25"
"146","24_05_30_cell2_ch1",3,204.0281,35,"25"
"147","24_05_30_cell2_ch1",3,201.2066,36,"25"
"148","24_05_30_cell2_ch1",3,198.2969,37,"25"
"149","24_05_30_cell2_ch1",3,195.0124,38,"25"
"150","24_05_30_cell2_ch1",3,192.4551,39,"25"
"151","24_05_30_cell2_ch1",3,189.8005,40,"25"
"152","24_05_30_cell2_ch1",3,188.1581,41,"25"
"153","24_05_30_cell2_ch1",3,186.572,42,"25"
"154","24_05_30_cell2_ch1",3,185.6841,43,"25"
"155","24_05_30_cell2_ch1",3,183.4434,44,"25"
"156","24_05_30_cell2_ch1",3,182.0165,45,"25"
"157","24_05_30_cell2_ch1",3,180.7284,46,"25"
"158","24_05_30_cell2_ch1",3,180.3259,47,"25"
"159","24_05_30_cell2_ch1",3,178.9636,48,"25"
"160","24_05_30_cell2_ch1",3,178.7514,49,"25"
"161","24_05_30_cell2_ch1",3,177.1436,50,"25"
"162","24_05_30_cell2_ch1",3,176.6099,51,"25"
"163","24_05_30_cell2_ch1",3,176.2812,52,"25"
"164","24_05_30_cell2_ch1",3,175.6902,53,"25"
"165","24_05_30_cell2_ch1",3,175.0204,54,"25"
"166","24_05_30_cell2_ch1",4,304.0061,0,"25"
"167","24_05_30_cell2_ch1",4,302.6099,1,"25"
"168","24_05_30_cell2_ch1",4,302.3405,2,"25"
"169","24_05_30_cell2_ch1",4,301.6321,3,"25"
"170","24_05_30_cell2_ch1",4,307.0369,4,"25"
"171","24_05_30_cell2_ch1",4,398.7079,5,"25"
"172","24_05_30_cell2_ch1",4,479.0407,6,"25"
"173","24_05_30_cell2_ch1",4,548.1174,7,"25"
"174","24_05_30_cell2_ch1",4,605.7656,8,"25"
"175","24_05_30_cell2_ch1",4,655.098,9,"25"
"176","24_05_30_cell2_ch1",4,698.95,10,"25"
"177","24_05_30_cell2_ch1",4,735.4556,11,"25"
"178","24_05_30_cell2_ch1",4,769.6084,12,"25"
"179","24_05_30_cell2_ch1",4,799.8334,13,"25"
"180","24_05_30_cell2_ch1",4,827.5886,14,"25"
"181","24_05_30_cell2_ch1",4,853.0809,15,"25"
"182","24_05_30_cell2_ch1",4,876.9449,16,"25"
"183","24_05_30_cell2_ch1",4,901.5389,17,"25"
"184","24_05_30_cell2_ch1",4,920.2209,18,"25"
"185","24_05_30_cell2_ch1",4,943.7537,19,"25"
"186","24_05_30_cell2_ch1",4,964.58,20,"25"
"187","24_05_30_cell2_ch1",4,982.7353,21,"25"
"188","24_05_30_cell2_ch1",4,893.6472,22,"25"
"189","24_05_30_cell2_ch1",4,784.292,23,"25"
"190","24_05_30_cell2_ch1",4,705.7807,24,"25"
"191","24_05_30_cell2_ch1",4,646.5479,25,"25"
"192","24_05_30_cell2_ch1",4,597.4497,26,"25"
"193","24_05_30_cell2_ch1",4,560.7531,27,"25"
"194","24_05_30_cell2_ch1",4,532.0696,28,"25"
"195","24_05_30_cell2_ch1",4,508.5737,29,"25"
"196","24_05_30_cell2_ch1",4,487.2944,30,"25"
"197","24_05_30_cell2_ch1",4,470.1014,31,"25"
"198","24_05_30_cell2_ch1",4,455.5963,32,"25"
"199","24_05_30_cell2_ch1",4,442.4162,33,"25"
"200","24_05_30_cell2_ch1",4,430.1706,34,"25"
"201","24_05_30_cell2_ch1",4,419.9997,35,"25"
"202","24_05_30_cell2_ch1",4,411.9552,36,"25"
"203","24_05_30_cell2_ch1",4,404.5485,37,"25"
"204","24_05_30_cell2_ch1",4,397.3678,38,"25"
"205","24_05_30_cell2_ch1",4,391.2826,39,"25"
"206","24_05_30_cell2_ch1",4,385.1153,40,"25"
"207","24_05_30_cell2_ch1",4,380.3426,41,"25"
"208","24_05_30_cell2_ch1",4,376.1779,42,"25"
"209","24_05_30_cell2_ch1",4,373.1907,43,"25"
"210","24_05_30_cell2_ch1",4,368.4783,44,"25"
"211","24_05_30_cell2_ch1",4,364.9762,45,"25"
"212","24_05_30_cell2_ch1",4,361.7908,46,"25"
"213","24_05_30_cell2_ch1",4,359.9655,47,"25"
"214","24_05_30_cell2_ch1",4,356.8555,48,"25"
"215","24_05_30_cell2_ch1",4,355.402,49,"25"
"216","24_05_30_cell2_ch1",4,352.323,50,"25"
"217","24_05_30_cell2_ch1",4,350.7402,51,"25"
"218","24_05_30_cell2_ch1",4,349.1115,52,"25"
"219","24_05_30_cell2_ch1",4,347.1055,53,"25"
"220","24_05_30_cell2_ch1",4,345.4404,54,"25"
"221","24_05_30_cell2_ch1",5,542.0622,0,"25"
"222","24_05_30_cell2_ch1",5,539.9466,1,"25"
"223","24_05_30_cell2_ch1",5,539.7949,2,"25"
"224","24_05_30_cell2_ch1",5,538.634,3,"25"
"225","24_05_30_cell2_ch1",5,554.8575,4,"25"
"226","24_05_30_cell2_ch1",5,786.4962,5,"25"
"227","24_05_30_cell2_ch1",5,952.7451,6,"25"
"228","24_05_30_cell2_ch1",5,1083.8443,7,"25"
"229","24_05_30_cell2_ch1",5,1192.1325,8,"25"
"230","24_05_30_cell2_ch1",5,1282.9032,9,"25"
"231","24_05_30_cell2_ch1",5,1360.5666,10,"25"
"232","24_05_30_cell2_ch1",5,1427.6656,11,"25"
"233","24_05_30_cell2_ch1",5,1489.992,12,"25"
"234","24_05_30_cell2_ch1",5,1544.2978,13,"25"
"235","24_05_30_cell2_ch1",5,1593.6427,14,"25"
"236","24_05_30_cell2_ch1",5,1640.4302,15,"25"
"237","24_05_30_cell2_ch1",5,1684.4693,16,"25"
"238","24_05_30_cell2_ch1",5,1725.2704,17,"25"
"239","24_05_30_cell2_ch1",5,1761.7364,18,"25"
"240","24_05_30_cell2_ch1",5,1801.62,19,"25"
"241","24_05_30_cell2_ch1",5,1837.4293,20,"25"
"242","24_05_30_cell2_ch1",5,1868.7308,21,"25"
"243","24_05_30_cell2_ch1",5,1648.9886,22,"25"
"244","24_05_30_cell2_ch1",5,1424.6849,23,"25"
"245","24_05_30_cell2_ch1",5,1276.2754,24,"25"
"246","24_05_30_cell2_ch1",5,1170.5207,25,"25"
"247","24_05_30_cell2_ch1",5,1087.4586,26,"25"
"248","24_05_30_cell2_ch1",5,1023.7824,27,"25"
"249","24_05_30_cell2_ch1",5,973.4196,28,"25"
"250","24_05_30_cell2_ch1",5,932.8139,29,"25"
"251","24_05_30_cell2_ch1",5,897.0601,30,"25"
"252","24_05_30_cell2_ch1",5,865.6381,31,"25"
"253","24_05_30_cell2_ch1",5,839.4967,32,"25"
"254","24_05_30_cell2_ch1",5,817.0179,33,"25"
"255","24_05_30_cell2_ch1",5,796.3076,34,"25"
"256","24_05_30_cell2_ch1",5,778.3771,35,"25"
"257","24_05_30_cell2_ch1",5,762.6897,36,"25"
"258","24_05_30_cell2_ch1",5,749.181,37,"25"
"259","24_05_30_cell2_ch1",5,736.6697,38,"25"
"260","24_05_30_cell2_ch1",5,725.4033,39,"25"
"261","24_05_30_cell2_ch1",5,715.0982,40,"25"
"262","24_05_30_cell2_ch1",5,706.5184,41,"25"
"263","24_05_30_cell2_ch1",5,698.6589,42,"25"
"264","24_05_30_cell2_ch1",5,691.7947,43,"25"
"265","24_05_30_cell2_ch1",5,684.2106,44,"25"
"266","24_05_30_cell2_ch1",5,678.8626,45,"25"
"267","24_05_30_cell2_ch1",5,673.024,46,"25"
"268","24_05_30_cell2_ch1",5,668.3125,47,"25"
"269","24_05_30_cell2_ch1",5,662.877,48,"25"
"270","24_05_30_cell2_ch1",5,659.6509,49,"25"
"271","24_05_30_cell2_ch1",5,654.8198,50,"25"
"272","24_05_30_cell2_ch1",5,651.664,51,"25"
"273","24_05_30_cell2_ch1",5,647.8699,52,"25"
"274","24_05_30_cell2_ch1",5,644.3061,53,"25"
"275","24_05_30_cell2_ch1",5,641.1348,54,"25"
"276","24_05_30_cell3_ch1",1,70.5549,0,"25"
"277","24_05_30_cell3_ch1",1,70.4402,1,"25"
"278","24_05_30_cell3_ch1",1,70.4142,2,"25"
"279","24_05_30_cell3_ch1",1,70.1548,3,"25"
"280","24_05_30_cell3_ch1",1,70.6344,4,"25"
"281","24_05_30_cell3_ch1",1,91.3915,5,"25"
"282","24_05_30_cell3_ch1",1,112.7329,6,"25"
"283","24_05_30_cell3_ch1",1,130.4006,7,"25"
"284","24_05_30_cell3_ch1",1,145.3565,8,"25"
"285","24_05_30_cell3_ch1",1,158.6193,9,"25"
"286","24_05_30_cell3_ch1",1,170.1166,10,"25"
"287","24_05_30_cell3_ch1",1,179.3897,11,"25"
"288","24_05_30_cell3_ch1",1,187.2331,12,"25"
"289","24_05_30_cell3_ch1",1,194.6414,13,"25"
"290","24_05_30_cell3_ch1",1,202.3255,14,"25"
"291","24_05_30_cell3_ch1",1,208.5094,15,"25"
"292","24_05_30_cell3_ch1",1,213.6822,16,"25"
"293","24_05_30_cell3_ch1",1,219.8281,17,"25"
