cell,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,10,20,21,1.0,down,567.557,-0.02983036129420456,0.0022604447954037384
cell4_01_17_03,10,20,22,2.0,cell,690.404,-0.02986097049594424,690.404
cell4_01_17_03,10,20,22,2.0,up,470.591,0.0011245315515555512,0.031804506209223274
cell4_01_17_03,10,20,22,2.0,down,564.904,-0.03436534201241699,-0.004701728707859945
cell4_01_17_03,10,20,23,3.0,cell,689.987,-0.03044692882657851,689.987
cell4_01_17_03,10,20,23,3.0,up,475.399,0.011352960798395954,0.04297634255962391
cell4_01_17_03,10,20,23,3.0,down,563.852,-0.036163608019035745,-0.005954838678359196
cell4_01_17_03,10,20,24,4.0,cell,683.306,-0.03983490869940156,683.306
cell4_01_17_03,10,20,24,4.0,up,509.3,0.08347317292342447,0.12827650352998965
cell4_01_17_03,10,20,24,4.0,down,541.582,-0.0742314635013539,-0.0358804569930469
cell4_01_17_03,10,20,25,5.0,cell,672.75,-0.05466794500197925,672.75
cell4_01_17_03,10,20,25,5.0,up,509.844,0.08463046608280073,0.1472041473160694
cell4_01_17_03,10,20,25,5.0,down,533.602,-0.08787230260099017,-0.03518145847921489
cell4_01_17_03,10,20,26,6.0,cell,673.055,-0.05423936636686316,673.055
cell4_01_17_03,10,20,26,6.0,up,505.719,0.07585503541657428,0.13740679290868296
cell4_01_17_03,10,20,26,6.0,down,539.011,-0.07862627519623674,-0.02584296299733349
cell4_01_17_03,10,20,27,7.0,cell,682.972,-0.040304237434250156,682.972
cell4_01_17_03,10,20,27,7.0,up,516.518,0.09882858105647237,0.1448264733193944
cell4_01_17_03,10,20,27,7.0,down,543.105,-0.07162808029975662,-0.03269640766953606
cell4_01_17_03,10,20,28,8.0,cell,682.453,-0.041033523701874054,682.453
cell4_01_17_03,10,20,28,8.0,up,513.166,0.09169761291266854,0.1382619780664292
cell4_01_17_03,10,20,28,8.0,down,537.291,-0.08156640592949153,-0.04232374961368002
cell4_01_17_03,10,20,29,9.0,cell,682.871,-0.040446160195386986,682.871
cell4_01_17_03,10,20,29,9.0,up,484.024,0.02970158855505124,0.07296443982197609
cell4_01_17_03,10,20,29,9.0,down,568.356,-0.028464568005907683,0.012426905736921949
cell4_01_17_03,10,20,30,10.0,cell,670.769,-0.057451598366455026,670.769
cell4_01_17_03,10,20,30,10.0,up,475.051,0.010612633556736095,0.07207299249131012
cell4_01_17_03,10,20,30,10.0,down,562.668,-0.03818751196564839,0.020378107705877585
cell4_01_17_03,10,20,31,11.0,cell,674.944,-0.05158498918084864,674.944
cell4_01_17_03,10,20,31,11.0,up,487.121,0.036290075530397446,0.09251199438152342
cell4_01_17_03,10,20,31,11.0,down,554.379,-0.05235654897027052,-0.0008724635926889705
cell4_01_17_03,10,20,32,12.0,cell,679.092,-0.04575631974326884,679.092
cell4_01_17_03,10,20,32,12.0,up,477.905,0.016684167889199155,0.06529542522285087
cell4_01_17_03,10,20,32,12.0,down,559.306,-0.04393444192216174,0.0018501387981132433
cell4_01_17_03,10,20,33,13.0,cell,690.172,-0.03018697129380305,690.172
cell4_01_17_03,10,20,33,13.0,up,472.536,0.005262280071752004,0.03641733079035662
cell4_01_17_03,10,20,33,13.0,down,564.166,-0.03562686322238325,-0.005667872427818686
cell4_01_17_03,10,20,34,14.0,cell,693.157,-0.025992521373076026,693.157
cell4_01_17_03,10,20,34,14.0,up,467.221,-0.006044729380610059,0.02034688562839715
cell4_01_17_03,10,20,34,14.0,down,566.972,-0.030830347619177956,-0.005025622367549179
cell4_01_17_03,10,20,35,15.0,cell,678.272,-0.04690856394259744,678.272
cell4_01_17_03,10,20,35,15.0,up,480.283,0.02174307070720809,0.07189051416374848
cell4_01_17_03,10,20,35,15.0,down,563.82,-0.03621830812570082,0.01115675338657987
cell4_01_17_03,10,20,36,16.0,cell,682.447,-0.04104195475699106,682.447
cell4_01_17_03,10,20,36,16.0,up,467.283,-0.005912831998475237,0.03649725083140886
cell4_01_17_03,10,20,36,16.0,down,562.209,-0.038972116620627564,0.0020993106766163277
cell4_01_17_03,10,20,37,17.0,cell,696.099,-0.021858494014021127,696.099
cell4_01_17_03,10,20,37,17.0,up,471.925,0.003962452644584909,0.026263957429129493
cell4_01_17_03,10,20,37,17.0,down,566.125,-0.03227819106747264,-0.010710903393183447
cell4_01_17_03,10,20,38,18.0,cell,679.608,-0.045031249003203516,679.608
cell4_01_17_03,10,20,38,18.0,up,496.559,0.05636826089472363,0.10603654598791973
cell4_01_17_03,10,20,38,18.0,down,558.201,-0.045823304980444735,-0.0008883422888198224
cell4_01_17_03,10,20,39,19.0,cell,690.42,-0.029838487682298857,690.42
cell4_01_17_03,10,20,39,19.0,up,469.538,-0.0011155965676047923,0.029471870372540548
cell4_01_17_03,10,20,39,19.0,down,563.47,-0.03681659054235158,-0.007251284647286417
cell4_01_17_03,10,20,40,20.0,cell,694.158,-0.024585940344383352,694.158
cell4_01_17_03,10,20,40,20.0,up,461.777,-0.017626170482897788,0.007003701321924616
cell4_01_17_03,10,20,40,20.0,down,563.541,-0.0366952246806881,-0.012472760459391044
cell4_01_17_03,10,20,41,21.0,cell,683.357,-0.039763244730906824,683.357
cell4_01_17_03,10,20,41,21.0,up,460.856,-0.019585484820738876,0.020880011612297356
cell4_01_17_03,10,20,41,21.0,down,565.828,-0.03278587643245915,0.007206885265346584
cell4_01_17_03,10,20,42,22.0,cell,672.223,-0.05540847267642592,672.223
cell4_01_17_03,10,20,42,22.0,up,465.947,-0.008755007845767026,0.04925308360472534
cell4_01_17_03,10,20,42,22.0,down,552.174,-0.05612572819517008,-0.0008182700622788173
cell4_01_17_03,10,20,43,23.0,cell,678.63,-0.04640551098728084,678.63
cell4_01_17_03,10,20,43,23.0,up,469.403,-0.0014027924803176382,0.047055996797108514
cell4_01_17_03,10,20,43,23.0,down,562.124,-0.03911741377895689,0.007583326653621678
cell4_01_17_03,10,20,44,24.0,cell,680.552,-0.04370476299812258,680.552
cell4_01_17_03,10,20,44,24.0,up,466.397,-0.007797688136724166,0.037412641121684416
cell4_01_17_03,10,20,44,24.0,down,562.528,-0.038426824932308645,0.00545983962442706
cell4_01_17_03,10,20,45,25.0,cell,691.589,-0.028195837110328914,691.589
cell4_01_17_03,10,20,45,25.0,up,477.144,0.015065233892351149,0.0443798691729414
cell4_01_17_03,10,20,45,25.0,down,562.171,-0.039037072997292324,-0.011214110563792628
cell4_01_17_03,10,20,46,26.0,cell,682.386,-0.04112767048401434,682.386
cell4_01_17_03,10,20,46,26.0,up,473.391,0.007081187518933522,0.0501394915127658
