,id,lab_id,roi,dist,index,time,abs_int,dF_int,dF/F0_int,base
0,25_09_10_cell5_3_Eapp,shaft,1,352,0,0.0,0.0737999975681305,-0.005100000184029341,-0.0649000033736229,simple
1,25_09_10_cell5_3_Eapp,shaft,1,352,1,10.0,0.07930000126361847,0.0003000000142492354,0.003800000064074993,simple
2,25_09_10_cell5_3_Eapp,shaft,1,352,2,20.0,0.0820000022649765,0.003100000089034438,0.039000000804662704,simple
3,25_09_10_cell5_3_Eapp,shaft,1,352,3,30.0,0.08070000261068344,0.0017000000225380063,0.02199999988079071,simple
4,25_09_10_cell5_3_Eapp,shaft,1,352,4,40.0,0.07320000231266022,-0.005799999926239252,-0.07320000231266022,simple
5,25_09_10_cell5_3_Eapp,shaft,1,352,5,50.0,0.08070000261068344,0.0017000000225380063,0.022099999710917473,simple
6,25_09_10_cell5_3_Eapp,shaft,1,352,6,60.0,0.0738999992609024,-0.004999999888241291,-0.06360000371932983,simple
7,25_09_10_cell5_3_Eapp,shaft,1,352,7,70.0,0.07840000092983246,-0.0005000000237487257,-0.0066999997943639755,simple
8,25_09_10_cell5_3_Eapp,shaft,1,352,8,80.0,0.08640000224113464,0.007499999832361937,0.0949999988079071,simple
9,25_09_10_cell5_3_Eapp,shaft,1,352,9,90.0,0.08009999990463257,0.0010999999940395355,0.0142000000923872,simple
10,25_09_10_cell5_3_Eapp,shaft,1,352,10,100.0,0.0925000011920929,0.013500000350177288,0.17149999737739563,simple
11,25_09_10_cell5_3_Eapp,shaft,1,352,11,110.0,0.08910000324249268,0.010200000368058681,0.1289999932050705,simple
12,25_09_10_cell5_3_Eapp,shaft,1,352,12,120.0,0.09120000153779984,0.012299999594688416,0.15530000627040863,simple
13,25_09_10_cell5_3_Eapp,shaft,1,352,13,130.0,0.08470000326633453,0.005799999926239252,0.07289999723434448,simple
14,25_09_10_cell5_3_Eapp,shaft,1,352,14,140.0,0.07900000363588333,9.999999747378752e-05,0.0012000000569969416,simple
15,25_09_10_cell5_3_Eapp,shaft,1,352,15,150.0,0.08349999785423279,0.004600000102072954,0.05779999867081642,simple
16,25_09_10_cell5_3_Eapp,shaft,1,352,16,160.0,0.0714000016450882,-0.007499999832361937,-0.09560000151395798,simple
17,25_09_10_cell5_3_Eapp,shaft,1,352,17,170.0,0.07959999889135361,0.000699999975040555,0.008299999870359898,simple
18,25_09_10_cell5_3_Eapp,shaft,1,352,18,180.0,0.07540000230073929,-0.0035000001080334187,-0.04490000009536743,simple
19,25_09_10_cell5_3_Eapp,shaft,1,352,19,190.0,0.08169999718666077,0.00279999990016222,0.03539999946951866,simple
20,25_09_10_cell5_3_Eapp,shaft,1,352,20,200.0,0.09470000118017197,0.015799999237060547,0.20000000298023224,simple
21,25_09_10_cell5_3_Eapp,shaft,1,352,22,210.0,0.0722000002861023,-0.0066999997943639755,-0.08489999920129776,simple
22,25_09_10_cell5_3_Eapp,shaft,2,318,0,0.0,0.09470000118017197,0.003599999938160181,0.039500001817941666,simple
