id,name,group,treat,cell_num,cell_area,dot_num,dot_area,dot_rel_area,dot_sum_int,dot_mean_int,dot_men_int_per_dot,dot_mean_int_dens
34,CONT_GFAP_GLT1_10_target,cont,non,35,1135,10,189,"0,167",135856,718,13585,675
35,CONT_GFAP_GLT1_10_target,cont,non,36,706,8,190,"0,269",65417,344,8177,370
36,CONT_GFAP_GLT1_10_target,cont,non,37,553,6,80,"0,145",38026,475,6337,613
37,CONT_GFAP_GLT1_10_target,cont,non,38,506,6,105,"0,208",53988,514,8998,402
38,CONT_GFAP_GLT1_10_target,cont,non,39,2455,32,444,"0,181",268045,603,8376,585
39,CONT_GFAP_GLT1_10_target,cont,non,40,2448,42,364,"0,149",229472,630,5463,474
40,CONT_GFAP_GLT1_10_target,cont,non,41,987,9,152,"0,154",272670,1793,30296,739
41,CONT_GFAP_GLT1_10_target,cont,non,42,1699,19,543,"0,32",117315,216,6174,216
42,CONT_GFAP_GLT1_10_target,cont,non,43,2646,32,515,"0,195",260204,505,8131,475
43,CONT_GFAP_GLT1_10_target,cont,non,44,3758,40,597,"0,159",281029,470,7025,440
44,CONT_GFAP_GLT1_10_target,cont,non,45,838,17,233,"0,278",62352,267,3667,249
45,CONT_GFAP_GLT1_10_target,cont,non,46,1102,14,265,"0,24",153836,580,10988,485
46,CONT_GFAP_GLT1_10_target,cont,non,47,1061,15,175,"0,165",58224,332,3881,290
47,CONT_GFAP_GLT1_10_target,cont,non,48,1018,7,60,"0,059",72955,1215,10422,793
48,CONT_GFAP_GLT1_10_target,cont,non,49,1344,19,310,"0,231",146643,473,7718,433
49,CONT_GFAP_GLT1_10_target,cont,non,50,1792,18,232,"0,129",276444,1191,15358,894
50,CONT_GFAP_GLT1_10_target,cont,non,51,509,8,65,"0,128",64201,987,8025,679
51,CONT_GFAP_GLT1_10_target,cont,non,52,878,13,163,"0,186",65432,401,5033,394
52,CONT_GFAP_GLT1_10_target,cont,non,53,714,11,114,"0,16",42564,373,3869,314
53,CONT_GFAP_GLT1_10_target,cont,non,54,1142,16,170,"0,149",53165,312,3322,251
54,CONT_GFAP_GLT1_10_target,cont,non,55,531,9,57,"0,107",7279,127,808,138
0,CONT_GFAP_GLT1_11_target,cont,non,1,1179,13,114,"0,097",53475,469,4113,443
1,CONT_GFAP_GLT1_11_target,cont,non,2,507,8,76,"0,15",30547,401,3818,339
2,CONT_GFAP_GLT1_11_target,cont,non,3,1329,19,184,"0,138",31911,173,1679,162
