"","frame","power","mean","sd","time"
"1",1,2,0.00482104456220526,0.00820105889174525,-3
"2",1,5,-0.0171672641148298,0.0105746704162548,-3
"3",1,10,0.000856933728065559,0.00414943318419386,-3
"4",1,20,-0.00374972827757439,0.00724408900793902,-3
"5",1,30,-0.00612632891160127,0.00864491306517907,-3
"6",1,50,0.000668706260119068,0.00637521153904549,-3
"7",1,100,0.0114414537987355,0.00911156343863831,-3
"8",2,2,0.0131943045026301,0.00733084059882991,-2
"9",2,5,-0.0073183760762765,0.00497100042004145,-2
"10",2,10,0.0226777336048481,0.0315875388149298,-2
"11",2,20,-0.000388340792385018,0.0108123846094199,-2
"12",2,30,-0.000188288880541997,0.00984343917889526,-2
"13",2,50,-0.00304083519324935,0.00553011013614347,-2
"14",2,100,0.00230562857239618,0.0227601629124645,-2
"15",3,2,0.00365571507710743,0.00351125949082057,-1
"16",3,5,-0.00116906888492648,0.00287762133252661,-1
"17",3,10,-0.00500402436992657,0.0140006928886269,-1
"18",3,20,-0.00623524326912101,0.00605741198070583,-1
"19",3,30,-8.67748515750374e-05,0.00626867808690967,-1
"20",3,50,-0.00672272247139763,0.0118921034024831,-1
"21",3,100,-0.00413851304002323,0.00340502361753367,-1
"22",4,2,0.0994270340061262,0.018186310852417,0
"23",4,5,0.415054341279726,0.0828384423759232,0
"24",4,10,0.884942991602664,0.304575927499601,0
"25",4,20,1.88690623095091,0.556578474814518,0
"26",4,30,2.40287820069868,0.891362560085558,0
"27",4,50,2.9201726297441,1.70336740309686,0
"28",4,100,6.15073937631092,2.28097697117207,0
"29",5,2,0.108952041361079,0.0201971382157078,1
"30",5,5,0.399811394621049,0.0781552799066361,1
"31",5,10,0.81308060986795,0.231846806576964,1
"32",5,20,1.6358547111237,0.433795004662018,1
"33",5,30,2.058476303412,0.814762619419211,1
"34",5,50,2.48593645179859,1.36079726568685,1
"35",5,100,5.62993387165791,2.27212499032271,1
"36",6,2,0.104764646949596,0.0181454241796856,2
"37",6,5,0.40182781973033,0.094847761901561,2
"38",6,10,0.736616038230986,0.185105615441304,2
"39",6,20,1.50045369713766,0.368331157367987,2
"40",6,30,1.84945067900306,0.724242727851865,2
"41",6,50,2.26972829931986,1.18447020986994,2
"42",6,100,5.19175325032487,2.11744487072599,2
"43",7,2,0.101994670048607,0.0264465936274411,3
"44",7,5,0.383722899264887,0.0958541130714181,3
"45",7,10,0.703004419960517,0.17128572160006,3
"46",7,20,1.42528692724715,0.329112884394014,3
"47",7,30,1.70506181162221,0.6589766150276,3
"48",7,50,2.08854963727191,1.04416148223792,3
"49",7,100,4.77695693771481,1.90803565449434,3
"50",8,2,0.101179792917525,0.0209313814094022,4
"51",8,5,0.377222775884766,0.101327255329744,4
"52",8,10,0.663132481219311,0.126518178429974,4
"53",8,20,1.34783124164765,0.304486556860317,4
"54",8,30,1.59514878763914,0.595069027345527,4
"55",8,50,1.95752341699591,0.9378926365345,4
"56",8,100,4.43312880820564,1.84804849795657,4
"57",9,2,0.103672668606959,0.0169695085315763,5
"58",9,5,0.380349506441901,0.100361897447354,5
"59",9,10,0.643901095565404,0.10304629163722,5
"60",9,20,1.29028682271875,0.294661267309355,5
"61",9,30,1.49573784604744,0.555167960619442,5
"62",9,50,1.82424561689043,0.845069002017381,5
"63",9,100,4.18180154484201,1.74478355955279,5
"64",10,2,0.0942053339812271,0.0187950040982338,6
"65",10,5,0.373742319740453,0.0936496253012461,6
"66",10,10,0.614215359962076,0.117047423660138,6
"67",10,20,1.23755751131614,0.280561026639011,6
"68",10,30,1.41548786579982,0.546171304633008,6
"69",10,50,1.7127542850602,0.75789930644436,6
"70",10,100,3.89681974128196,1.62865704922337,6
"71",11,2,0.102878636503086,0.0154870791318843,7
"72",11,5,0.374658851663781,0.0916650859355397,7
"73",11,10,0.578435222695753,0.0705483857704915,7
"74",11,20,1.18999292977706,0.258344970052435,7
"75",11,30,1.34447314751181,0.500833007456757,7
"76",11,50,1.64161886499159,0.697817341595431,7
"77",11,100,3.63980367932702,1.51778584961904,7
"78",12,2,0.109098265586222,0.0128633399843353,8
"79",12,5,0.373468265117863,0.0934455419469419,8
"80",12,10,0.568442859846632,0.0720358325391738,8
"81",12,20,1.11994287018589,0.230222970589953,8
"82",12,30,1.29470050902118,0.490303706213976,8
"83",12,50,1.55042614219125,0.650055980285944,8
"84",12,100,3.41339346805526,1.45956549959691,8
"85",13,2,0.102685386813828,0.0153469303668678,9
"86",13,5,0.370793167396299,0.101192596320764,9
"87",13,10,0.54980945987541,0.0490626907477333,9
"88",13,20,1.08980409037374,0.236182775093218,9
"89",13,30,1.22941894780954,0.462340991864964,9
"90",13,50,1.4798326228856,0.619730078488589,9
"91",13,100,3.23875392585376,1.39771204581615,9
"92",14,2,0.086446242817312,0.0326096307647319,10
"93",14,5,0.367435765391583,0.099781263436429,10
"94",14,10,0.539609333249746,0.0660818758377693,10
"95",14,20,1.04336332139086,0.220252578095051,10
"96",14,30,1.17092689093719,0.453468636055933,10
"97",14,50,1.41108106973572,0.561329020715042,10
"98",14,100,3.00996948555869,1.27354614179143,10
"99",15,2,0.104760344853955,0.0107718414203607,11
"100",15,5,0.356687399157199,0.101200310785109,11
"101",15,10,0.530742139419383,0.0632902847337913,11
"102",15,20,0.99773019047557,0.195600663733184,11
"103",15,30,1.12271398054128,0.438412368867303,11
"104",15,50,1.34164916851218,0.521103343921861,11
"105",15,100,2.79350775222488,1.17173303685756,11
"106",16,2,0.0976185996032179,0.016205771181145,12
"107",16,5,0.349148681079286,0.11003092383007,12
"108",16,10,0.49371936662696,0.0543862291834698,12
"109",16,20,0.965862872339035,0.195991309202014,12
"110",16,30,1.07871501457577,0.432759084691873,12
"111",16,50,1.29365774525453,0.493303777235669,12
"112",16,100,2.68702355269029,1.16023815191435,12
"113",17,2,0.091721211869588,0.0347081548635316,13
"114",17,5,0.343688627133343,0.100551224305458,13
"115",17,10,0.480375655878073,0.0618776711985082,13
"116",17,20,0.924971111013016,0.188401869418054,13
"117",17,30,1.04202922996491,0.409048477836753,13
"118",17,50,1.23404427298977,0.453156014814052,13
"119",17,100,2.50946800970697,1.06088361355654,13
"120",18,2,0.0872313858065585,0.0331563325971891,14
"121",18,5,0.346901701146174,0.110421046201324,14
"122",18,10,0.464224927271593,0.0576114275058481,14
"123",18,20,0.892362492526171,0.166110079614144,14
"124",18,30,0.998117308475224,0.410375735112267,14
"125",18,50,1.17019335980583,0.420442913557493,14
"126",18,100,2.38489967882261,1.00067288905618,14
"127",19,2,0.0820507726868039,0.0192035287044494,15
"128",19,5,0.342788553456932,0.103378970913947,15
"129",19,10,0.459087119118343,0.043280307548123,15
"130",19,20,0.848572154648496,0.168270227500987,15
"131",19,30,0.969358719902462,0.381742541419759,15
"132",19,50,1.14134795775546,0.399009684192874,15
"133",19,100,2.26188306367981,0.959914047669293,15
"134",20,2,0.0765924751451743,0.0356017928313014,16
"135",20,5,0.337738834101544,0.0987134704851351,16
"136",20,10,0.447215956315107,0.0412958260901,16
"137",20,20,0.814013748075901,0.144929616261189,16
"138",20,30,0.940913192156333,0.363146802530181,16
"139",20,50,1.09135153295202,0.36820306799779,16
"140",20,100,2.16223947815315,0.919658768307969,16
"141",21,2,0.0858273157248457,0.0364610742856919,17
"142",21,5,0.342300848526897,0.103370036825806,17
"143",21,10,0.429317134888979,0.0299586306234497,17
"144",21,20,0.796078123793915,0.148265445774272,17
"145",21,30,0.909023420616024,0.3461222043907,17
"146",21,50,1.04217423619938,0.358629717569243,17
"147",21,100,2.05108524960486,0.860756361154904,17
"148",22,2,0.0954650901763999,0.0323601280262314,18
"149",22,5,0.332925580179718,0.109111813476471,18
"150",22,10,0.422302844613585,0.0300486881840735,18
"151",22,20,0.762858927575714,0.14862593564299,18
"152",22,30,0.87277799927379,0.330928139157922,18
"153",22,50,1.01304380457895,0.336397853646992,18
"154",22,100,1.95439938358049,0.799068256735104,18
"155",23,2,0.0938958882795662,0.0355866768897446,19
"156",23,5,0.334349453291243,0.102750223655253,19
"157",23,10,0.407260480439778,0.0172720330018076,19
"158",23,20,0.73716682524985,0.129705624176744,19
"159",23,30,0.846305913397588,0.344355893220928,19
"160",23,50,0.990274805535511,0.314971885260323,19
"161",23,100,1.89034969976485,0.799505111786397,19
"162",24,2,0.0957314843223707,0.0236783934690659,20
"163",24,5,0.336395720616597,0.0999972701739547,20
"164",24,10,0.405611755953817,0.0202563429973246,20
"165",24,20,0.715026111742191,0.118385379729166,20
"166",24,30,0.814165305567509,0.332023892689056,20
"167",24,50,0.937694501839238,0.286847491064405,20
"168",24,100,1.77880537626703,0.707184400331911,20
"169",25,2,0.0917204103247144,0.0370948009997074,21
"170",25,5,0.329651986199148,0.107257233292567,21
"171",25,10,0.382879177212681,0.0144405349631579,21
"172",25,20,0.697452436937174,0.131071919753143,21
"173",25,30,0.786498558079537,0.325105790856225,21
"174",25,50,0.912314997109866,0.262477207935518,21
"175",25,100,1.72957693653494,0.678960704592975,21
"176",26,2,0.0735026679899358,0.0451460663420682,22
"177",26,5,0.333760403372152,0.110189123026233,22
"178",26,10,0.379233242281633,0.0222026002140194,22
"179",26,20,0.68296373344383,0.115618158431311,22
"180",26,30,0.763120106071164,0.331400790091358,22
"181",26,50,0.876319015636217,0.265671322266773,22
"182",26,100,1.61694224527355,0.623155511361355,22
"183",27,2,0.0885109983932155,0.0305854231353666,23
"184",27,5,0.322889223934393,0.115283517662861,23
"185",27,10,0.364475726324513,0.0270932626055859,23
"186",27,20,0.647495852254616,0.115633592019107,23
"187",27,30,0.749768755142065,0.293777700198995,23
"188",27,50,0.855323063455952,0.252763632796126,23
"189",27,100,1.58711732093469,0.65162112061962,23
"190",28,2,0.0819131668739889,0.0333666706140529,24
"191",28,5,0.328177780633504,0.111487078965571,24
"192",28,10,0.36538230417687,0.0163579391494125,24
"193",28,20,0.627980987418277,0.111863948897443,24
"194",28,30,0.715987293010619,0.304522244639716,24
"195",28,50,0.843412055226888,0.235776406599131,24
"196",28,100,1.5224129237993,0.657410586113975,24
"197",29,2,0.0862717952671218,0.0468183121384136,25
"198",29,5,0.319272634482306,0.104166910741234,25
"199",29,10,0.367173373623919,0.0367848000925248,25
"200",29,20,0.617421590730942,0.0982822055259076,25
"201",29,30,0.706254717855765,0.311983621330942,25
"202",29,50,0.805228754550196,0.218329485657089,25
"203",29,100,1.46661146463656,0.636035907595981,25
"204",30,2,0.0736248638909332,0.0472406406517303,26
"205",30,5,0.3223200037427,0.115025337838665,26
"206",30,10,0.339114411447582,0.0297141168383767,26
"207",30,20,0.61135379732137,0.098188133597515,26
"208",30,30,0.672853733976319,0.299680570412592,26
"209",30,50,0.783911758323987,0.216055166538264,26
"210",30,100,1.42008438590493,0.617133084005678,26
"211",31,2,0.0861915756873494,0.0360574974563363,27
"212",31,5,0.309617839372881,0.111790072518415,27
"213",31,10,0.323308529900493,0.0248997012973868,27
"214",31,20,0.579971308084644,0.0793294403506926,27
"215",31,30,0.669557867329142,0.286361016426237,27
"216",31,50,0.765816017734738,0.202602610960769,27
"217",31,100,1.36323194549081,0.582528454507594,27
"218",32,2,0.0810861057201664,0.0377093387647511,28
"219",32,5,0.319137063980235,0.108369347325226,28
"220",32,10,0.347381264657851,0.0177756476809454,28
"221",32,20,0.570345429453804,0.0800445837558958,28
"222",32,30,0.644912444543815,0.295576471487833,28
"223",32,50,0.742220957235139,0.194111652664928,28
"224",32,100,1.31008558987068,0.557849413095592,28
"225",33,2,0.0861557106365259,0.0209255955876121,29
"226",33,5,0.305178307170133,0.103692197302552,29
"227",33,10,0.310738095525957,0.0234889689103325,29
