"","power","mean_yfp","mean_fluo"
"1","20",0.288503246244803,1.42528692724715
"2","50",0.32070840714046,2.08854963727191
"3","20",0.272365242600717,1.34783124164765
"4","50",0.305244640079091,1.95752341699591
"5","20",0.26320962327302,1.29028682271875
"6","50",0.276748478015883,1.82424561689043
"7","20",0.263475570254201,1.23755751131614
"8","50",0.263514716758086,1.7127542850602
"9","20",0.274140793022548,1.18999292977706
"10","50",0.232172018291355,1.64161886499159
"11","20",0.212074678187649,1.11994287018589
"12","50",0.193839770666443,1.55042614219125
"13","20",0.200957773411404,1.08980409037374
"14","50",0.184431208323435,1.4798326228856
"15","20",0.211121129945758,1.04336332139086
"16","50",0.162335251523663,1.41108106973572
"17","20",0.166846160760531,0.99773019047557
"18","50",0.154251773910867,1.34164916851218
"19","20",0.163678304379636,0.965862872339035
"20","50",0.137713149238444,1.29365774525453
"21","20",0.162380880543526,0.924971111013016
"22","50",0.134750752273323,1.23404427298977
"23","20",0.153947645833817,0.892362492526171
"24","50",0.135724310650945,1.17019335980583
"25","20",0.140242049271003,0.848572154648496
"26","50",0.114175144239855,1.14134795775546
"27","20",0.135439298219471,0.814013748075901
"28","50",0.114655899149019,1.09135153295202
"29","20",0.146391204501256,0.796078123793915
"30","50",0.121356070777949,1.04217423619938
"31","20",0.142051031413707,0.762858927575714
"32","50",0.126098363965344,1.01304380457895
"33","20",0.134364961892651,0.73716682524985
"34","50",0.0849079321630787,0.990274805535511
"35","20",0.141854670983222,0.715026111742191
"36","50",0.0853340202740092,0.937694501839238
"37","20",0.116001031134993,0.697452436937174
"38","50",0.120358266658559,0.912314997109866
"39","20",0.114823688304675,0.68296373344383
"40","50",0.095851904734786,0.876319015636217
"41","20",0.111678663531123,0.647495852254616
"42","50",0.0976420900261314,0.855323063455952
"43","20",0.110446348685457,0.627980987418277
"44","50",0.0896132800915178,0.843412055226888
"45","20",0.0988576103819987,0.617421590730942
"46","50",0.118335453122094,0.805228754550196
"47","20",0.09307907663326,0.61135379732137
"48","50",0.0953196256132492,0.783911758323987
"49","20",0.0875721944675855,0.579971308084644
"50","50",0.0992842583184924,0.765816017734738
"51","20",0.103699148382029,0.570345429453804
"52","50",0.103183287447402,0.742220957235139
"53","20",0.0730176009738079,0.556553688830565
"54","50",0.0951490437497063,0.715610117432354
"55","20",0.0844162089509275,0.54162970585795
"56","50",0.0835679996455798,0.703085350019641
"57","20",0.0668325249740527,0.530008239039878
"58","50",0.0861133487692542,0.694680193830899
"59","20",0.0821680988298112,0.523548851806465
"60","50",0.0990930224252886,0.663618767613159
"61","20",0.0731945564801616,0.501284287171312
"62","50",0.102620595396709,0.657100341911198
"63","20",0.0826051947698518,0.485923200607141
"64","50",0.0878254337509479,0.633907550450205
"65","20",0.0677750032679876,0.480751883684182
"66","50",0.112775010762148,0.623982720862708
