cell,power,stimul,frame,time,mask,int,delta,rel
cell8_02_22_01,50,20,1,-19.0,cell,498.688,0.006011806549784532,498.688
cell8_02_22_01,50,20,1,-19.0,up,484.763,0.021686357970752433,0.9720767293377823
cell8_02_22_01,50,20,1,-19.0,down,492.574,0.0055715606249162825,0.987739829312115
cell8_02_22_01,50,20,2,-18.0,cell,495.67,-7.6456316310545e-05,495.67
cell8_02_22_01,50,20,2,-18.0,up,477.306,0.005969986937097029,0.9629511570197913
cell8_02_22_01,50,20,2,-18.0,down,490.548,0.0014355567314381639,0.9896665119938669
cell8_02_22_01,50,20,3,-17.0,cell,492.722,-0.006023506988692477,492.722
cell8_02_22_01,50,20,3,-17.0,up,469.094,-0.01133762187722215,0.952045981303859
cell8_02_22_01,50,20,3,-17.0,down,487.021,-0.005764683017968152,0.988429580980756
cell8_02_22_01,50,20,4,-16.0,cell,496.518,0.0016342285446730226,496.518
cell8_02_22_01,50,20,4,-16.0,up,476.184,0.0036052600630510716,0.9590468019286311
cell8_02_22_01,50,20,4,-16.0,down,492.023,0.0044467145512211296,0.9909469545917773
cell8_02_22_01,50,20,5,-15.0,cell,495.748,8.08944138270512e-05,495.748
cell8_02_22_01,50,20,5,-15.0,up,468.861,-0.01182869260953297,0.9457647837207613
cell8_02_22_01,50,20,5,-15.0,down,492.09,0.004583492567441676,0.9926212511195204
cell8_02_22_01,50,20,6,-14.0,cell,498.301,0.005231104850255434,498.301
cell8_02_22_01,50,20,6,-14.0,up,479.302,0.010176755957236067,0.9618724425598183
cell8_02_22_01,50,20,6,-14.0,down,492.719,0.005867572749572871,0.9887979353844363
cell8_02_22_01,50,20,7,-13.0,cell,495.501,-0.0004173828982755279,495.501
cell8_02_22_01,50,20,7,-13.0,up,468.58,-0.012420928127899238,0.9456691308392919
cell8_02_22_01,50,20,7,-13.0,down,488.567,-0.002608581330249935,0.9860060827324264
cell8_02_22_01,50,20,8,-12.0,cell,493.671,-0.004109073105351074,493.671
cell8_02_22_01,50,20,8,-12.0,up,473.265,-0.002546823488945815,0.9586647787696664
cell8_02_22_01,50,20,8,-12.0,down,486.995,-0.005817761054113499,0.9864768236335535
cell8_02_22_01,50,20,9,-11.0,cell,497.124,0.0028567226788194654,497.124
cell8_02_22_01,50,20,9,-11.0,up,474.469,-9.273438721697644e-06,0.9544278691030809
cell8_02_22_01,50,20,9,-11.0,down,491.96,0.004318102386715055,0.9896122496600445
cell8_02_22_01,50,20,10,-10.0,cell,493.136,-0.005188337728731028,493.136
cell8_02_22_01,50,20,10,-10.0,up,472.91,-0.003295021385814136,0.9589849453294832
cell8_02_22_01,50,20,10,-10.0,down,483.951,-0.012031974208973941,0.9813743064793485
cell8_02_22_01,50,20,11,-9.0,cell,492.185,-0.007106806246178545,492.185
cell8_02_22_01,50,20,11,-9.0,up,476.98,0.005282909431803867,0.9691071446712111
cell8_02_22_01,50,20,11,-9.0,down,484.244,-0.011433825570874677,0.9838658228105286
cell8_02_22_01,50,20,12,-8.0,cell,498.328,0.00528557241068767,498.328
cell8_02_22_01,50,20,12,-8.0,up,483.376,0.018763117173691946,0.9699956655054502
cell8_02_22_01,50,20,12,-8.0,down,490.588,0.0015172152485848612,0.9844680611966417
cell8_02_22_01,50,20,13,-7.0,cell,498.607,0.0058484038684878245,498.607
cell8_02_22_01,50,20,13,-7.0,up,489.11,0.03084809390789883,0.9809529348765661
cell8_02_22_01,50,20,13,-7.0,down,491.462,0.0033014538482392143,0.9856700768340596
cell8_02_22_01,50,20,14,-6.0,cell,495.107,-0.0012122058171758492,495.107
cell8_02_22_01,50,20,14,-6.0,up,478.212,0.007879472273893583,0.9658760631540252
cell8_02_22_01,50,20,14,-6.0,down,487.76,-0.004256041913683742,0.9851607834266127
cell8_02_22_01,50,20,15,-5.0,cell,497.853,0.0043273468104905255,497.853
cell8_02_22_01,50,20,15,-5.0,up,482.78,0.017506987746836816,0.9697239948338163
cell8_02_22_01,50,20,15,-5.0,down,490.538,0.0014151421021515187,0.985306907862361
cell8_02_22_01,50,20,16,-4.0,cell,494.288,-0.002864388483621183,494.288
cell8_02_22_01,50,20,16,-4.0,up,445.853,-0.06032034672544333,0.9020105687372544
cell8_02_22_01,50,20,16,-4.0,down,495.742,0.012038915182931405,1.0029416048943127
cell8_02_22_01,50,20,17,-3.0,cell,494.22,-0.0030015660432283296,494.22
cell8_02_22_01,50,20,17,-3.0,up,460.996,-0.028404964324659696,0.9327748775848811
cell8_02_22_01,50,20,17,-3.0,down,494.906,0.010332252174566282,1.0013880458095585
cell8_02_22_01,50,20,18,-2.0,cell,495.618,-0.00018135680306901892,495.618
cell8_02_22_01,50,20,18,-2.0,up,446.024,-0.05995994717512082,0.8999350306082508
cell8_02_22_01,50,20,18,-2.0,down,496.393,0.013367907549493128,1.001563704304525
cell8_02_22_01,50,20,19,-1.0,cell,493.707,-0.004036449691441388,493.707
cell8_02_22_01,50,20,19,-1.0,up,446.024,-0.05995994717512082,0.9034184242880899
cell8_02_22_01,50,20,19,-1.0,down,491.551,0.00348314404889052,0.9956330374088275
cell8_02_22_01,50,20,20,0.0,cell,469.032,-0.05381374797537031,469.032
cell8_02_22_01,50,20,20,0.0,up,481.959,0.01577664838534686,1.0275610192907947
cell8_02_22_01,50,20,20,0.0,down,442.459,-0.09673635404519966,0.9433450169711235
cell8_02_22_01,50,20,21,1.0,cell,459.18,-0.07368835558198697,459.18
