"","cell","power","stimul","frame","time","mask","int","delta","rel"
"61","cell8_02_22_01",50,20,21,1,"cell",459.18,-0.073688355581987,459.18
"62","cell8_02_22_01",50,20,21,1,"up",512.6,0.0803556110837827,1.11633781959145
"63","cell8_02_22_01",50,20,21,1,"down",425.551,-0.131253409243091,0.926762925214513
"64","cell8_02_22_01",50,20,22,2,"cell",456.117,-0.0798673977154692,456.117
"65","cell8_02_22_01",50,20,22,2,"up",494.629,0.0424799367045656,1.08443447624184
"66","cell8_02_22_01",50,20,22,2,"down",425.214,-0.131941382250051,0.932247646985313
"67","cell8_02_22_01",50,20,23,3,"cell",453.956,-0.0842268198671032,453.956
"68","cell8_02_22_01",50,20,23,3,"up",495.878,0.0451123287417166,1.09234815709011
"69","cell8_02_22_01",50,20,23,3,"down",420.945,-0.140656387492528,0.927281498647446
"70","cell8_02_22_01",50,20,24,4,"cell",456.078,-0.0799460730805381,456.078
"71","cell8_02_22_01",50,20,24,4,"up",501.645,0.0572668562663366,1.09991054161788
"72","cell8_02_22_01",50,20,24,4,"down",423.078,-0.136301947065683,0.927643955639167
"73","cell8_02_22_01",50,20,25,5,"cell",457.299,-0.077482928958768,457.299
"74","cell8_02_22_01",50,20,25,5,"up",505.053,0.0644495560762733,1.1044262069237
"75","cell8_02_22_01",50,20,25,5,"down",426.653,-0.129003717095701,0.932984764891242
"76","cell8_02_22_01",50,20,26,6,"cell",456.315,-0.079467968938966,456.315
"77","cell8_02_22_01",50,20,26,6,"up",476.004,0.00322589211534314,1.04314782551527
"78","cell8_02_22_01",50,20,26,6,"down",429.485,-0.123222294081717,0.941202897121506
"79","cell8_02_22_01",50,20,27,7,"cell",456.459,-0.0791774752833272,456.459
"80","cell8_02_22_01",50,20,27,7,"up",482.686,0.0173088733741449,1.05745751535187
"81","cell8_02_22_01",50,20,27,7,"down",426.497,-0.129322185312572,0.934359931560118
"82","cell8_02_22_01",50,20,28,8,"cell",458.301,-0.0754615772716151,458.301
"83","cell8_02_22_01",50,20,28,8,"up",477.808,0.00702800199126025,1.0425637299504
"84","cell8_02_22_01",50,20,28,8,"down",431.596,-0.118912765839303,0.941730434801582
"85","cell8_02_22_01",50,20,29,9,"cell",458.75,-0.0745558019147971,458.75
"86","cell8_02_22_01",50,20,29,9,"up",482.167,0.0162150291249204,1.05104523160763
"87","cell8_02_22_01",50,20,29,9,"down",430.49,-0.121170623838408,0.938397820163488
"88","cell8_02_22_01",50,20,30,10,"cell",458.178,-0.0757097072691399,458.178
"89","cell8_02_22_01",50,20,30,10,"up",470.935,-0.00745753081205388,1.02784289075425
"90","cell8_02_22_01",50,20,30,10,"down",433.191,-0.11565663246808,0.945464426489268
"91","cell8_02_22_01",50,20,31,11,"cell",459.29,-0.0734664507061518,459.29
"92","cell8_02_22_01",50,20,31,11,"up",483.976,0.0200276769993851,1.05374817653334
"93","cell8_02_22_01",50,20,31,11,"down",430.907,-0.120319333797154,0.938202442900999
"94","cell8_02_22_01",50,20,32,12,"cell",459.07,-0.0739102604578221,459.07
"95","cell8_02_22_01",50,20,32,12,"up",469.657,-0.0101510432407802,1.02306184242055
"96","cell8_02_22_01",50,20,32,12,"down",432.901,-0.116248656717393,0.942995621582765
"97","cell8_02_22_01",50,20,33,13,"cell",458.91,-0.0742330311863096,458.91
"98","cell8_02_22_01",50,20,33,13,"up",479.041,0.00962667243305953,1.04386698916999
"99","cell8_02_22_01",50,20,33,13,"down",432.71,-0.116638576136768,0.942908195506744
"100","cell8_02_22_01",50,20,34,14,"cell",459.113,-0.0738235158245411,459.113
"101","cell8_02_22_01",50,20,34,14,"up",490.224,0.0331959599842689,1.06776327396523
"102","cell8_02_22_01",50,20,34,14,"down",431.379,-0.119355763294823,0.939592213681599
"103","cell8_02_22_01",50,20,35,15,"cell",459.993,-0.07204827681786,459.993
"104","cell8_02_22_01",50,20,35,15,"up",475.143,0.00141124876547348,1.0329352837978
"105","cell8_02_22_01",50,20,35,15,"down",432.358,-0.117357171087659,0.939922998828243
"106","cell8_02_22_01",50,20,36,16,"cell",460.196,-0.0716387614560914,460.196
"107","cell8_02_22_01",50,20,36,16,"up",480.008,0.0116647213521348,1.04305122165338
"108","cell8_02_22_01",50,20,36,16,"down",433.509,-0.115007447256764,0.942009491607924
"109","cell8_02_22_01",50,20,37,17,"cell",460.491,-0.0710436529254427,460.491
"110","cell8_02_22_01",50,20,37,17,"up",485.31,0.0228392150118427,1.05389681883034
"111","cell8_02_22_01",50,20,37,17,"down",432.397,-0.117277554033441,0.938991207211433
"112","cell8_02_22_01",50,20,38,18,"cell",460.297,-0.0714350124337337,460.297
"113","cell8_02_22_01",50,20,38,18,"up",479.355,0.0102884587418389,1.04140370239215
"114","cell8_02_22_01",50,20,38,18,"down",432.88,-0.116291527438895,0.940436283529982
"115","cell8_02_22_01",50,20,39,19,"cell",458.647,-0.0747635855712609,458.647
"116","cell8_02_22_01",50,20,39,19,"up",476.873,0.00505739626288854,1.03973862251361
"117","cell8_02_22_01",50,20,39,19,"down",431.514,-0.119080165799453,0.940841213395051
"118","cell8_02_22_01",50,20,40,20,"cell",454.847,-0.0824293903728387,454.847
"119","cell8_02_22_01",50,20,40,20,"up",455.649,-0.0396742999712944,1.00176323027304
"120","cell8_02_22_01",50,20,40,20,"down",429.043,-0.124124620696188,0.94326883545456
"121","cell8_02_22_01",50,20,41,21,"cell",462.761,-0.0664643432150265,462.761
"122","cell8_02_22_01",50,20,41,21,"up",487.943,0.0283885250469257,1.05441685881049
"123","cell8_02_22_01",50,20,41,21,"down",434.175,-0.113647832946272,0.938227292273982
"124","cell8_02_22_01",50,20,42,22,"cell",461.275,-0.0694620763558541,461.275
"125","cell8_02_22_01",50,20,42,22,"up",483.061,0.0180992232652031,1.04722996043575
"126","cell8_02_22_01",50,20,42,22,"down",434.03,-0.113943845070929,0.940935450653081
"127","cell8_02_22_01",50,20,43,23,"cell",461.492,-0.0690243185553428,461.492
"128","cell8_02_22_01",50,20,43,23,"up",486.445,0.0252313406821121,1.05407027640782
"129","cell8_02_22_01",50,20,43,23,"down",433.441,-0.115146266735913,0.939216714482591
"130","cell8_02_22_01",50,20,44,24,"cell",461.039,-0.0699381631803731,461.039
"131","cell8_02_22_01",50,20,44,24,"up",474.939,0.000981298424737934,1.03014929322682
"132","cell8_02_22_01",50,20,44,24,"down",436.425,-0.109054541356773,0.946611891835615
"133","cell8_02_22_01",50,20,45,25,"cell",459.11,-0.0738295677757002,459.11
"134","cell8_02_22_01",50,20,45,25,"up",482.2,0.0162845799153335,1.05029295811461
"135","cell8_02_22_01",50,20,45,25,"down",432.212,-0.117655224675244,0.941412733331881
"136","cell8_02_22_01",50,20,46,26,"cell",458.645,-0.074767620205367,458.645
"137","cell8_02_22_01",50,20,46,26,"up",470.327,-0.00873895143542287,1.02547067993764
"138","cell8_02_22_01",50,20,46,26,"down",435.748,-0.11043661175948,0.950076856828266
"139","cell8_02_22_01",50,20,47,27,"cell",461.727,-0.0685502490478769,461.727
"140","cell8_02_22_01",50,20,47,27,"up",484.184,0.0204660577389587,1.04863696513308
"141","cell8_02_22_01",50,20,47,27,"down",435.792,-0.110346787390619,0.94383044526311
"142","cell8_02_22_01",50,20,48,28,"cell",459.847,-0.0723428051076048,459.847
"143","cell8_02_22_01",50,20,48,28,"up",482.731,0.0174037153610719,1.04976437815186
"144","cell8_02_22_01",50,20,48,28,"down",432.553,-0.116959085816569,0.940645475560349
"145","cell8_02_22_01",50,20,49,29,"cell",462.151,-0.067694906617385,462.151
"146","cell8_02_22_01",50,20,49,29,"up",479.837,0.0113043218018123,1.03826887748809
"147","cell8_02_22_01",50,20,49,29,"down",437.089,-0.107699009972138,0.945770970959708
"148","cell8_02_22_01",50,20,50,30,"cell",458.909,-0.0742350485033627,458.909
"149","cell8_02_22_01",50,20,50,30,"up",488.906,0.0304181435671632,1.06536590042906
"150","cell8_02_22_01",50,20,50,30,"down",432.158,-0.117765463673392,0.941707397327139
"151","cell8_02_22_01",50,20,51,31,"cell",459.674,-0.0726918009577819,459.674
"152","cell8_02_22_01",50,20,51,31,"up",470.412,-0.0085598054601164,1.02336003341499
"153","cell8_02_22_01",50,20,51,31,"down",435.336,-0.11127769448609,0.947053781593042
"154","cell8_02_22_01",50,20,52,32,"cell",460.764,-0.0704929253699609,460.764
"155","cell8_02_22_01",50,20,52,32,"up",475.551,0.0022711494469448,1.03209235096492
"156","cell8_02_22_01",50,20,52,32,"down",434.414,-0.113159923306321,0.942812372494379
"157","cell8_02_22_01",50,20,53,33,"cell",457.346,-0.0773881150572747,457.346
"158","cell8_02_22_01",50,20,53,33,"up",478.347,0.00816399823467451,1.04591928211901
"159","cell8_02_22_01",50,20,53,33,"down",430.771,-0.120596972755452,0.941893008794217
"160","cell8_02_22_01",50,20,54,34,"cell",458.543,-0.0749733865447778,458.543
"161","cell8_02_22_01",50,20,54,34,"up",479.127,0.00980792600807556,1.04489001031528
"162","cell8_02_22_01",50,20,54,34,"down",432.232,-0.117614395416671,0.942620430363128
"163","cell8_02_22_01",50,20,55,35,"cell",459.768,-0.0725021731547956,459.768
"164","cell8_02_22_01",50,20,55,35,"up",479.404,0.0103917311276038,1.04270849645908
"165","cell8_02_22_01",50,20,55,35,"down",435.938,-0.110048733803033,0.948169511579753
"166","cell8_02_22_01",50,20,56,36,"cell",462.591,-0.0668072871140445,462.591
"167","cell8_02_22_01",50,20,56,36,"up",476.845,0.00499838347102294,1.03081339671546
"168","cell8_02_22_01",50,20,56,36,"down",436.161,-0.109593487569941,0.942865295693172
"169","cell8_02_22_01",50,20,57,37,"cell",459.965,-0.0721047616953453,459.965
"170","cell8_02_22_01",50,20,57,37,"up",482.633,0.017197170589542,1.04928201058776
"171","cell8_02_22_01",50,20,57,37,"down",433.263,-0.115509647137216,0.941947756894546
"172","cell8_02_22_01",50,20,58,38,"cell",461.512,-0.0689839722142819,461.512
"173","cell8_02_22_01",50,20,58,38,"up",478.604,0.00870565136001305,1.03703478999463
"174","cell8_02_22_01",50,20,58,38,"down",435.897,-0.110132433783108,0.944497651198669
"175","cell8_02_22_01",50,20,59,39,"cell",456.851,-0.0783866869985329,456.851
"176","cell8_02_22_01",50,20,59,39,"up",472.098,-0.00500639234991879,1.0333741197896
"177","cell8_02_22_01",50,20,59,39,"down",432.053,-0.117979817280902,0.945719720434015
"178","cell8_02_22_01",50,20,60,40,"cell",458.771,-0.0745134382566831,458.771
"179","cell8_02_22_01",50,20,60,40,"up",468.42,-0.0127581440814173,1.02103227972126
"180","cell8_02_22_01",50,20,60,40,"down",432.481,-0.117106071147433,0.942694721331558
"181","cell8_02_22_01",50,20,61,41,"cell",460.618,-0.0707874536597057,460.618
"182","cell8_02_22_01",50,20,61,41,"up",482.976,0.0179200772898966,1.04853913655133
"183","cell8_02_22_01",50,20,61,41,"down",433.095,-0.115852612909232,0.940247667264414
"184","cell8_02_22_01",50,20,62,42,"cell",459.381,-0.0732828748543247,459.381
"185","cell8_02_22_01",50,20,62,42,"up",491.008,0.0348483181565079,1.06884699193045
"186","cell8_02_22_01",50,20,62,42,"down",430.752,-0.120635760551097,0.937679181333142
"187","cell8_02_22_01",50,20,63,43,"cell",459.571,-0.0728995846142457,459.571
"188","cell8_02_22_01",50,20,63,43,"up",467.09,-0.0155612516950371,1.01636091050132
"189","cell8_02_22_01",50,20,63,43,"down",433.662,-0.114695103428678,0.943623509751486
"190","cell8_02_22_01",50,20,64,44,"cell",459.669,-0.0727018875430472,459.669
"191","cell8_02_22_01",50,20,64,44,"up",477.163,0.00566860017864024,1.03805781986603
"192","cell8_02_22_01",50,20,64,44,"down",433.435,-0.115158515513485,0.942928498550044
"193","cell8_02_22_01",50,20,65,45,"cell",457.862,-0.0763471794579026,457.862
"194","cell8_02_22_01",50,20,65,45,"up",472.682,-0.00377555411957752,1.0323678313553
"195","cell8_02_22_01",50,20,65,45,"down",433.118,-0.115805659261872,0.945957515583298
"196","cell8_02_22_01",50,20,66,46,"cell",459.71,-0.0726191775438722,459.71
"197","cell8_02_22_01",50,20,66,46,"up",477.98,0.00739050914129232,1.03974244632486
"198","cell8_02_22_01",50,20,66,46,"down",434.093,-0.113815232906423,0.944275739052881
"199","cell8_02_22_01",50,20,67,47,"cell",458.36,-0.0753425555654853,458.36
"200","cell8_02_22_01",50,20,67,47,"up",468.902,-0.0117422810214439,1.02299938912645
"201","cell8_02_22_01",50,20,67,47,"down",431.824,-0.118447312291567,0.942106641068156
"202","cell8_02_22_01",50,20,68,48,"cell",457.349,-0.0773820631061156,457.349
"203","cell8_02_22_01",50,20,68,48,"up",487.302,0.0270375536331437,1.06549265440615
"204","cell8_02_22_01",50,20,68,48,"down",429.692,-0.122799711255483,0.939527581781091
"205","cell8_02_22_01",50,20,69,49,"cell",462.707,-0.0665732783358911,462.707
"206","cell8_02_22_01",50,20,69,49,"up",477.739,0.00688257761130552,1.0324870814576
"207","cell8_02_22_01",50,20,69,49,"down",437.144,-0.107586729511061,0.944753375246106
"208","cell8_02_22_01",50,20,70,50,"cell",457.488,-0.0771016560357421,457.488
"209","cell8_02_22_01",50,20,70,50,"up",473.392,-0.00227915832584076,1.03476375336621
"210","cell8_02_22_01",50,20,70,50,"down",431.671,-0.118759656119653,0.943567918721365
"211","cell8_02_22_01",50,20,71,51,"cell",459.55,-0.0729419482723597,459.55
"212","cell8_02_22_01",50,20,71,51,"up",484.135,0.0203627853531937,1.05349798716135
"213","cell8_02_22_01",50,20,71,51,"down",430.071,-0.122025996805519,0.935852464367316
"214","cell8_02_22_01",50,20,72,52,"cell",458.9,-0.0742532043568401,458.9
"215","cell8_02_22_01",50,20,72,52,"up",490.318,0.0333940743569608,1.06846371758553
"216","cell8_02_22_01",50,20,72,52,"down",432.095,-0.117894075837898,0.941588581390281
"217","cell8_02_22_01",50,20,73,53,"cell",458.755,-0.0745457153295319,458.755
"218","cell8_02_22_01",50,20,73,53,"up",473.016,-0.00307161581660837,1.031086309686
"219","cell8_02_22_01",50,20,73,53,"down",433.881,-0.1142480230473,0.945779337554904
"220","cell8_02_22_01",50,20,74,54,"cell",459.476,-0.0730912297342852,459.476
"221","cell8_02_22_01",50,20,74,54,"up",469.845,-0.00975481449539625,1.02256701111701
"222","cell8_02_22_01",50,20,74,54,"down",433.722,-0.114572615652958,0.943949194299593
"223","cell8_02_22_01",50,20,75,55,"cell",458.884,-0.0742854814296888,458.884
"224","cell8_02_22_01",50,20,75,55,"up",484.498,0.021127844047738,1.05581802808553
"225","cell8_02_22_01",50,20,75,55,"down",432.711,-0.11663653467384,0.942963799130063
"226","cell8_02_22_01",50,20,76,56,"cell",455.578,-0.0809547316070615,455.578
"227","cell8_02_22_01",50,20,76,56,"up",469.714,-0.0100309100573393,1.03102871517062
"228","cell8_02_22_01",50,20,76,56,"down",430.831,-0.120474484979732,0.945679993327158
"229","cell8_02_22_01",50,20,77,57,"cell",457.452,-0.0771742794496518,457.452
"230","cell8_02_22_01",50,20,77,57,"up",479.731,0.0110809162326066,1.0487023775172
"231","cell8_02_22_01",50,20,77,57,"down",432.347,-0.117379627179874,0.945119925150617
"232","cell8_02_22_01",50,20,78,58,"cell",459.644,-0.0727523204693733,459.644
"233","cell8_02_22_01",50,20,78,58,"up",475.482,0.00212572506699018,1.03445710158296
"234","cell8_02_22_01",50,20,78,58,"down",432.983,-0.116081256757242,0.941996414616529
"235","cell8_02_22_01",50,20,79,59,"cell",458.569,-0.0749209363013985,458.569
"236","cell8_02_22_01",50,20,79,59,"up",475.873,0.00294979655340009,1.03773477928076
"237","cell8_02_22_01",50,20,79,59,"down",435.417,-0.111112335988868,0.949512505206414
"238","cell8_02_22_01",50,20,80,60,"cell",461.577,-0.0688528466058339,461.577
"239","cell8_02_22_01",50,20,80,60,"up",485.012,0.0222111502984151,1.05077159390524
"240","cell8_02_22_01",50,20,80,60,"down",435.547,-0.110846945808142,0.94360637553431
"241","cell8_02_22_01",50,20,81,61,"cell",460.885,-0.0702488300065423,460.885
"242","cell8_02_22_01",50,20,81,61,"up",491.571,0.0360348967929499,1.06658060036669
"243","cell8_02_22_01",50,20,81,61,"down",435.303,-0.111345062762736,0.944493745728327
"244","cell8_02_22_01",50,20,82,62,"cell",458.626,-0.0748059492293749,458.626
"245","cell8_02_22_01",50,20,82,62,"up",491.122,0.0350885845233896,1.07085511942193
"246","cell8_02_22_01",50,20,82,62,"down",433.199,-0.11564030076465,0.94455831112933
"247","cell8_02_22_01",50,20,83,63,"cell",460.699,-0.0706240509784089,460.699
"248","cell8_02_22_01",50,20,83,63,"up",481.416,0.0146322217430946,1.04496862376519
"249","cell8_02_22_01",50,20,83,63,"down",434.557,-0.112867994107521,0.943255791742548
"250","cell8_02_22_01",50,20,84,64,"cell",456.89,-0.0783080116334641,456.89
"251","cell8_02_22_01",50,20,84,64,"up",470.102,-0.00921316137005783,1.02891724485106
"252","cell8_02_22_01",50,20,84,64,"down",431.874,-0.118345239145133,0.945247214865723
"253","cell8_02_22_01",50,20,85,65,"cell",459.139,-0.0737710655811619,459.139
"254","cell8_02_22_01",50,20,85,65,"up",482.486,0.0168873534322472,1.05084952487155
"255","cell8_02_22_01",50,20,85,65,"down",431.618,-0.118867853654872,0.940059546237632
"256","cell8_02_22_01",50,20,86,66,"cell",459.855,-0.0723266665711804,459.855
"257","cell8_02_22_01",50,20,86,66,"up",480.102,0.0118628357248267,1.04402909612813
"258","cell8_02_22_01",50,20,86,66,"down",434.276,-0.113441645190477,0.94437594459123
"259","cell8_02_22_01",50,20,87,67,"cell",459.29,-0.0734664507061518,459.29
"260","cell8_02_22_01",50,20,87,67,"up",474.886,0.000869595640135052,1.03395675934595
"261","cell8_02_22_01",50,20,87,67,"down",435.485,-0.110973516509719,0.948170001524091
"262","cell8_02_22_01",50,20,88,68,"cell",460.188,-0.0716548999925159,460.188
"263","cell8_02_22_01",50,20,88,68,"up",481.273,0.0143308349846378,1.04581823081002
"264","cell8_02_22_01",50,20,88,68,"down",433.222,-0.115593347117291,0.941402209531757
"265","cell8_02_22_01",50,20,89,69,"cell",455.491,-0.0811302381906765,455.491
"266","cell8_02_22_01",50,20,89,69,"up",475.861,0.00292450535688622,1.04472097143522
"267","cell8_02_22_01",50,20,89,69,"down",429.194,-0.123816359793959,0.942266696817281
"268","cell8_02_22_01",50,20,90,70,"cell",460.085,-0.0718626836489797,460.085
"269","cell8_02_22_01",50,20,90,70,"up",492.922,0.0388822640004688,1.0713715943793
"270","cell8_02_22_01",50,20,90,70,"down",431.319,-0.119478251070543,0.937476770596738
"271","cell8_02_22_01",50,20,91,71,"cell",458.225,-0.0756148933676466,458.225
"272","cell8_02_22_01",50,20,91,71,"up",470.004,-0.0094197061415876,1.02570571225926
