"","cell","stimul","frame","time","mask","int","delta"
"81","cell7_01",10,27,3.4,"down",1409.564,-0.156275873231282
"82","cell7_01",10,28,3.6,"cell",1013.833,-0.0715921292109752
"83","cell7_01",10,28,3.6,"up",1729.947,0.198188034846315
"84","cell7_01",10,28,3.6,"down",1405.281,-0.158839552805215
"85","cell7_01",10,29,3.8,"cell",1012.221,-0.0730683027895743
"86","cell7_01",10,29,3.8,"up",1717.007,0.189225590811375
"87","cell7_01",10,29,3.8,"down",1406.246,-0.158261931794511
"88","cell7_01",10,30,4,"cell",1018.574,-0.0672506038163483
"89","cell7_01",10,30,4,"up",1750.23,0.212236354194126
"90","cell7_01",10,30,4,"down",1417.17,-0.151723142239144
"91","cell7_01",10,31,4.2,"cell",1017.714,-0.06803814058905
"92","cell7_01",10,31,4.2,"up",1739.05,0.204492913366412
"93","cell7_01",10,31,4.2,"down",1399.96,-0.162024549072526
"94","cell7_01",10,32,4.4,"cell",1016.516,-0.0691351976282324
"95","cell7_01",10,32,4.4,"up",1720.684,0.191772337852834
"96","cell7_01",10,32,4.4,"down",1415.237,-0.152880179973538
"97","cell7_01",10,33,4.6,"cell",1015.21,-0.0703311546342189
"98","cell7_01",10,33,4.6,"up",1711.511,0.185418976250631
"99","cell7_01",10,33,4.6,"down",1413.236,-0.15407792053563
"100","cell7_01",10,34,4.8,"cell",1015.705,-0.0698778631196987
"101","cell7_01",10,34,4.8,"up",1716.89,0.189144554802713
"102","cell7_01",10,34,4.8,"down",1419.918,-0.150078269143378
"103","cell7_01",10,35,5,"cell",1015.835,-0.0697588168633601
"104","cell7_01",10,35,5,"up",1711.762,0.185592822730753
"105","cell7_01",10,35,5,"down",1417.196,-0.15170757939326
"106","cell7_01",10,36,5.2,"cell",1019.433,-0.0664639827840799
"107","cell7_01",10,36,5.2,"up",1700.184,0.177573720950495
"108","cell7_01",10,36,5.2,"down",1423.571,-0.147891689296641
"109","cell7_01",10,37,5.4,"cell",1021.076,-0.0649594212520461
"110","cell7_01",10,37,5.4,"up",1696.872,0.175279778551445
"111","cell7_01",10,37,5.4,"down",1428.711,-0.144815034379524
"112","cell7_01",10,38,5.6,"cell",1012.324,-0.0729739815249368
"113","cell7_01",10,38,5.6,"up",1705.865,0.18150846937109
"114","cell7_01",10,38,5.6,"down",1414.728,-0.153184852610272
"115","cell7_01",10,39,5.8,"cell",1018.564,-0.0672597612206821
"116","cell7_01",10,39,5.8,"up",1697.316,0.175587299815085
"117","cell7_01",10,39,5.8,"down",1427.075,-0.14579429652824
"118","cell7_01",10,40,6,"cell",1015.174,-0.0703641212898205
"119","cell7_01",10,40,6,"up",1681.319,0.164507530323051
"120","cell7_01",10,40,6,"down",1419.861,-0.150112387690124
"121","cell7_01",10,41,6.2,"cell",1025.393,-0.0610061698011699
"122","cell7_01",10,41,6.2,"up",1697.206,0.175511112114634
"123","cell7_01",10,41,6.2,"down",1431.574,-0.143101325619269
"124","cell7_01",10,42,6.4,"cell",1016.419,-0.0692240244502696
"125","cell7_01",10,42,6.4,"up",1707.585,0.182699767959969
"126","cell7_01",10,42,6.4,"down",1416.399,-0.152184640476712
"127","cell7_01",10,43,6.6,"cell",1017.351,-0.0683705543663649
"128","cell7_01",10,43,6.6,"up",1674.184,0.159565719025579
"129","cell7_01",10,43,6.6,"down",1425.547,-0.146708913009438
"130","cell7_01",10,44,6.8,"cell",1018.619,-0.0672093954968464
"131","cell7_01",10,44,6.8,"up",1700.468,0.177770423740752
"132","cell7_01",10,44,6.8,"down",1432.965,-0.142268713364462
"133","cell7_01",10,45,7,"cell",1024.947,-0.0614145900344549
"134","cell7_01",10,45,7,"up",1703.894,0.180143324302089
"135","cell7_01",10,45,7,"down",1436.029,-0.140434691834103
"136","cell7_01",10,46,7.2,"cell",1021.2,-0.0648458694383077
"137","cell7_01",10,46,7.2,"up",1687.188,0.168572490449872
"138","cell7_01",10,46,7.2,"down",1441.697,-0.137041991431336
"139","cell7_01",10,47,7.4,"cell",1019.373,-0.0665189272100823
"140","cell7_01",10,47,7.4,"up",1679.39,0.163171475103314
"141","cell7_01",10,47,7.4,"down",1443.11,-0.136196210614627
"142","cell7_01",10,48,7.6,"cell",1020.524,-0.0654649099712687
"143","cell7_01",10,48,7.6,"up",1691.138,0.171308321511542
"144","cell7_01",10,48,7.6,"down",1431.635,-0.143064812788541
"145","cell7_01",10,49,7.8,"cell",1021.756,-0.0643367177573517
"146","cell7_01",10,49,7.8,"up",1679.408,0.163183942181569
"147","cell7_01",10,49,7.8,"down",1443.58,-0.135914882246719
"148","cell7_01",10,50,8,"cell",1023.077,-0.0631270246448645
"149","cell7_01",10,50,8,"up",1683.457,0.165988342173646
