cell,power,stimul,frame,time,mask,int,delta,rel
cell2_01_27_01,20,20,21,1.0,down,164.025,-0.11996956846451659,0.7559243453494696
cell2_01_27_01,20,20,22,2.0,cell,219.026,-0.008274716044798866,219.026
cell2_01_27_01,20,20,22,2.0,up,190.515,0.10447960207080863,0.8698282395697313
cell2_01_27_01,20,20,22,2.0,down,165.523,-0.11193246688585391,0.7557230648416169
cell2_01_27_01,20,20,23,3.0,cell,223.305,0.011100118404281616,223.305
cell2_01_27_01,20,20,23,3.0,up,193.08,0.11934977071533348,0.8646470074561698
cell2_01_27_01,20,20,23,3.0,down,170.242,-0.08661398734666208,0.7623743310718524
cell2_01_27_01,20,20,24,4.0,cell,225.316,0.020205701969857874,225.316
cell2_01_27_01,20,20,24,4.0,up,190.979,0.10716956630124132,0.8476051412238812
cell2_01_27_01,20,20,24,4.0,down,175.552,-0.0581246619910552,0.7791368566812832
cell2_01_27_01,20,20,25,5.0,cell,216.856,-0.018100233865435696,216.856
cell2_01_27_01,20,20,25,5.0,up,187.563,0.08736586412202231,0.8649195779687903
cell2_01_27_01,20,20,25,5.0,down,162.288,-0.12928895794524897,0.7483675803298042
cell2_01_27_01,20,20,26,6.0,cell,206.951,-0.06294896843382607,206.951
cell2_01_27_01,20,20,26,6.0,up,167.883,-0.026725722203219757,0.8112210136699026
cell2_01_27_01,20,20,26,6.0,down,169.215,-0.09212406967061837,0.8176573198486599
cell2_01_27_01,20,20,27,7.0,cell,221.076,0.0010074551682449976,221.076
cell2_01_27_01,20,20,27,7.0,up,176.228,0.021653052587641317,0.7971376359261069
cell2_01_27_01,20,20,27,7.0,down,184.148,-0.012005219287326997,0.8329624201632018
cell2_01_27_01,20,20,28,8.0,cell,216.366,-0.02031889917977294,216.366
cell2_01_27_01,20,20,28,8.0,up,173.15,0.003808850214211653,0.8002643668598578
cell2_01_27_01,20,20,28,8.0,down,185.632,-0.004043230807530227,0.8579536526071564
cell2_01_27_01,20,20,29,9.0,cell,208.001,-0.058194685617388865,208.001
cell2_01_27_01,20,20,29,9.0,up,165.336,-0.04149153878708111,0.7948807938423373
cell2_01_27_01,20,20,29,9.0,down,166.79,-0.10513473143848032,0.8018711448502651
cell2_01_27_01,20,20,30,10.0,cell,219.501,-0.006123969056410662,219.501
cell2_01_27_01,20,20,30,10.0,up,174.605,0.012243975117830838,0.7954633464084445
cell2_01_27_01,20,20,30,10.0,down,177.072,-0.049969525542745835,0.8067024751595665
cell2_01_27_01,20,20,31,11.0,cell,212.39,-0.038321783444681706,212.39
cell2_01_27_01,20,20,31,11.0,up,170.674,-0.01054535546369991,0.8035877395357598
cell2_01_27_01,20,20,31,11.0,down,172.094,-0.07667759741095888,0.8102735533688027
cell2_01_27_01,20,20,32,12.0,cell,214.414,-0.029157337329949535,214.414
cell2_01_27_01,20,20,32,12.0,up,171.292,-0.006962601380925565,0.7988844012051453
cell2_01_27_01,20,20,32,12.0,down,175.292,-0.059519619541423846,0.8175398994468646
cell2_01_27_01,20,20,33,13.0,cell,226.656,0.026273072421311,226.656
cell2_01_27_01,20,20,33,13.0,up,185.151,0.07338268799313605,0.8168810885218128
cell2_01_27_01,20,20,33,13.0,down,185.969,-0.0022351512133985496,0.8204900818862063
cell2_01_27_01,20,20,34,14.0,cell,216.628,-0.019132592419862086,216.628
cell2_01_27_01,20,20,34,14.0,up,173.878,0.008029311334372936,0.8026570895729084
cell2_01_27_01,20,20,34,14.0,down,177.042,-0.050130482183172995,0.8172627730487287
cell2_01_27_01,20,20,35,15.0,cell,216.652,-0.01902392309834352,216.652
cell2_01_27_01,20,20,35,15.0,up,174.492,0.011588876070333261,0.8054022118420324
cell2_01_27_01,20,20,35,15.0,down,176.423,-0.05345155419732001,0.8143151228698559
cell2_01_27_01,20,20,36,16.0,cell,223.616,0.012508291695626363,223.616
cell2_01_27_01,20,20,36,16.0,up,174.034,0.008933695860121842,0.7782716800228963
cell2_01_27_01,20,20,36,16.0,down,186.332,-0.00028757586422994687,0.8332677447052088
cell2_01_27_01,20,20,37,17.0,cell,211.135,-0.044004283382423216,211.135
cell2_01_27_01,20,20,37,17.0,up,163.948,-0.049538242131564686,0.7765079214720441
cell2_01_27_01,20,20,37,17.0,down,173.323,-0.07008374037479291,0.8209107916735738
cell2_01_27_01,20,20,38,18.0,cell,213.966,-0.031185831331629287,213.966
cell2_01_27_01,20,20,38,18.0,up,171.489,-0.0058205260503324235,0.8014778048848883
cell2_01_27_01,20,20,38,18.0,down,172.341,-0.07535238773810854,0.8054597459409439
cell2_01_27_01,20,20,39,19.0,cell,217.163,-0.016710172127677333,217.163
cell2_01_27_01,20,20,39,19.0,up,176.533,0.023421240282214307,0.8129055133701413
cell2_01_27_01,20,20,39,19.0,down,177.071,-0.04997489076409343,0.8153829151374773
cell2_01_27_01,20,20,40,20.0,cell,217.923,-0.013268976946256205,217.923
cell2_01_27_01,20,20,40,20.0,up,175.547,0.017705066292545216,0.8055459956039518
cell2_01_27_01,20,20,40,20.0,down,180.093,-0.03376119185173115,0.8264065747993556
cell2_01_27_01,20,20,41,21.0,cell,225.071,0.019096369312689185,225.071
cell2_01_27_01,20,20,41,21.0,up,182.921,0.060454627144289896,0.8127257620928506
cell2_01_27_01,20,20,41,21.0,down,184.639,-0.009370895605669111,0.820358908966504
cell2_01_27_01,20,20,42,22.0,cell,212.949,-0.03579069383097838,212.949
cell2_01_27_01,20,20,42,22.0,up,169.53,-0.017177508652524993,0.7961061099136413
cell2_01_27_01,20,20,42,22.0,down,173.743,-0.06783034740881277,0.815890189669827
cell2_01_27_01,20,20,43,23.0,cell,215.566,-0.023941209897058432,215.566
cell2_01_27_01,20,20,43,23.0,up,173.518,0.005942270121106397,0.8049414100553891
cell2_01_27_01,20,20,43,23.0,down,176.472,-0.05318865835128895,0.81864486978466
cell2_01_27_01,20,20,44,24.0,cell,219.608,-0.005639484997973737,219.608
cell2_01_27_01,20,20,44,24.0,up,174.725,0.012939655522253074,0.7956221995555717
cell2_01_27_01,20,20,44,24.0,down,176.768,-0.051600552832407706,0.8049251393391862
cell2_01_27_01,20,20,45,25.0,cell,221.011,0.0007131424224655659,221.011
cell2_01_27_01,20,20,45,25.0,up,180.639,0.047225104786861004,0.8173303591223967
cell2_01_27_01,20,20,45,25.0,down,183.087,-0.017697719137100835,0.8284067308866979
cell2_01_27_01,20,20,46,26.0,cell,219.856,-0.004516568675615294,219.856
cell2_01_27_01,20,20,46,26.0,up,175.28,0.016157177392705828,0.7972491085073867
cell2_01_27_01,20,20,46,26.0,down,176.624,-0.05237314470645809,0.8033622007131941
cell2_01_27_01,20,20,47,27.0,cell,215.373,-0.0248150923576036,215.373
cell2_01_27_01,20,20,47,27.0,up,172.634,0.0008174244751960435,0.8015582268900929
