px,int
0,2711.125
1,2681.873
2,2772.131
3,2827.745
4,2792.123
5,2854.209
6,3431.734
7,4714.138
8,5382.958
9,4454.208
10,3364.452
11,2915.951
12,2783.272
13,2744.115
14,2771.471
15,2802.489
16,2770.031
