px,int
0,2499.281
1,2523.502
2,2497.225
3,2513.039
4,2739.277
5,3224.843
6,3856.168
7,3920.231
8,3443.371
9,2895.023
10,2594.894
11,2533.66
12,2547.35
13,2574.057
14,2597.427
