px,int
0,2639.319
1,2650.095
2,2699.273
3,2716.312
4,2771.531
5,3022.554
6,3635.825
7,4351.05
8,4319.771
9,3528.543
10,3041.394
11,2950.219
12,2807.089
13,2787.455
14,2794.545
15,2738.979
